要分析的学习器类型: ensemble, gp, net, svm, tree
总迭代次数 (MaxObjectiveEvaluations): 150
总时间 (MaxTime): Inf

|================================================================================================================================================|
| Iter | Eval   | log(1+valLoss)| Time for training | Observed min    | Estimated min   | Learner      | Hyperparameter:                 Value   |
|      | result |               | & validation (sec)| validation loss | validation loss |              |                                         |
|================================================================================================================================================|
|    1 | Best   |        0.3229 |            1.0723 |          0.3229 |          0.3229 |         tree | MinLeafSize:                       1088 |
|    2 | Best   |       0.20791 |            135.09 |         0.20791 |         0.20791 |           gp | Sigma:                        0.0077147 |
|    3 | Accept |       0.31117 |             7.563 |         0.20791 |         0.20791 |     ensemble | Method:                             Bag |
|      |        |               |                   |                 |                 |              | NumLearningCycles:                  226 |
|      |        |               |                   |                 |                 |              | MinLeafSize:                        916 |
|    4 | Best   |       0.19585 |            11.222 |         0.19585 |         0.20791 |     ensemble | Method:                         LSBoost |
|      |        |               |                   |                 |                 |              | NumLearningCycles:                  276 |
|      |        |               |                   |                 |                 |              | MinLeafSize:                       1171 |
|    5 | Accept |       0.26454 |           0.18005 |         0.19585 |         0.20791 |         tree | MinLeafSize:                        358 |
|    6 | Accept |       0.32765 |            7.5031 |         0.19585 |         0.19798 |     ensemble | Method:                             Bag |
|      |        |               |                   |                 |                 |              | NumLearningCycles:                  278 |
|      |        |               |                   |                 |                 |              | MinLeafSize:                       1447 |
|    7 | Best   |       0.09327 |            16.036 |         0.09327 |         0.09327 |          net | Activations:                       tanh |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                      1.1763e-08 |
|      |        |               |                   |                 |                 |              | LayerSizes:                 [ 8  5  2 ] |
|    8 | Accept |       0.26872 |             7.315 |         0.09327 |         0.09327 |     ensemble | Method:                             Bag |
|      |        |               |                   |                 |                 |              | NumLearningCycles:                  241 |
|      |        |               |                   |                 |                 |              | MinLeafSize:                        182 |
|    9 | Accept |       0.36112 |           0.68023 |         0.09327 |        0.095534 |          net | Activations:                       none |
|      |        |               |                   |                 |                 |              | Standardize:                       true |
|      |        |               |                   |                 |                 |              | Lambda:                          6.5924 |
|      |        |               |                   |                 |                 |              | LayerSizes:                [ 187   12 ] |
|   10 | Best   |      0.082458 |            13.095 |        0.082458 |        0.082478 |     ensemble | Method:                         LSBoost |
|      |        |               |                   |                 |                 |              | NumLearningCycles:                  286 |
|      |        |               |                   |                 |                 |              | MinLeafSize:                         36 |
|   11 | Accept |      0.098855 |           0.64474 |        0.082458 |        0.082478 |         tree | MinLeafSize:                          4 |
