,theta,x,y
0,1.15,0.84,0.0
1,1.91,2.52,0.03
2,9.76,8.27,0.23
3,-0.38,15.6,1.49
4,-3.25,26.12,1.42
5,-3.25,32.85,1.03
6,-3.83,38.59,0.71
7,-4.02,49.93,-0.05
8,-4.78,56.08,-0.48
9,-4.59,63.77,-1.13
10,-0.77,72.72,-1.85
11,-1.34,78.19,-1.92
12,-1.53,86.75,-2.12
13,-1.72,97.27,-2.4
14,-5.55,102.31,-2.55
15,-7.27,112.51,-3.54
16,-7.27,118.91,-4.36
17,-7.46,124.34,-5.05
18,-6.89,135.6,-6.53
19,-7.27,141.17,-7.2
20,-8.8,146.18,-7.84
21,-9.57,157.0,-9.52
22,-16.27,164.61,-10.8
23,-16.84,169.59,-12.25
24,-16.84,180.33,-15.5
25,-17.03,185.84,-17.17
26,-20.86,190.4,-18.57
27,-21.82,203.64,-23.61
28,-26.03,207.54,-25.18
29,-29.47,213.85,-28.26
30,-29.66,218.12,-30.67
31,-30.24,230.19,-37.54
32,-30.62,235.28,-40.51
33,-34.83,237.7,-41.94
34,-37.32,249.79,-50.35
35,-37.89,254.58,-54.01
36,-38.85,255.14,-54.44
37,-42.87,265.3,-62.63
38,-44.21,267.05,-64.25
39,-52.25,272.48,-69.53
40,-55.5,275.31,-73.19
41,-51.1,282.86,-84.18
42,-53.78,286.74,-88.98
43,-56.65,288.48,-91.36
44,-57.8,296.34,-103.31
45,-58.56,299.18,-107.82
46,-62.58,300.58,-110.09
47,-73.11,304.39,-117.44
48,-71.0,305.73,-121.87
49,-65.45,309.34,-132.35
50,-72.53,311.38,-136.82
51,-73.68,315.84,-151.0
52,-73.87,317.54,-156.79
53,-75.98,317.97,-158.27
54,-86.7,320.21,-167.26
55,-85.93,320.45,-171.46
56,-84.97,321.02,-179.43
57,-90.52,321.67,-186.84
58,-90.14,321.56,-199.19
59,-90.52,321.56,-199.47
60,-95.69,321.45,-211.39
61,-94.92,320.78,-218.09
62,-99.9,320.47,-221.72
63,-103.15,317.89,-236.51
64,-103.92,315.78,-245.53
65,-103.92,315.78,-245.53
66,-111.38,314.06,-252.47
67,-113.49,310.74,-260.96
68,-113.3,310.23,-262.12
69,-118.27,305.35,-273.46
70,-119.23,302.49,-278.77
71,-123.25,300.78,-281.83
72,-125.35,292.7,-294.15
73,-125.55,289.21,-299.07
74,-127.46,288.56,-299.99
75,-130.71,279.94,-311.23
76,-130.14,276.74,-314.96
77,-136.84,273.94,-318.28
78,-141.05,262.89,-328.64
79,-141.43,258.3,-332.35
80,-141.62,257.97,-332.61
81,-147.55,254.56,-335.31
82,-157.89,248.41,-339.23
83,-169.75,239.31,-342.92
84,-169.75,232.96,-344.07
