,theta,x,y
85,3.06,2.81,0.0
86,4.78,8.27,0.29
87,-1.34,14.14,0.78
88,1.53,20.73,0.63
89,-1.91,27.74,0.82
90,-5.74,35.04,0.57
91,-3.64,42.99,-0.23
92,-8.23,50.55,-0.71
93,-10.33,57.91,-1.77
94,-9.57,65.36,-3.13
95,-14.35,72.7,-4.37
96,-18.95,79.49,-6.11
97,-16.27,86.92,-8.66
98,-21.05,93.79,-10.66
99,-24.69,100.47,-13.23
100,-22.77,107.1,-16.28
101,-27.18,113.17,-18.83
102,-30.81,119.29,-21.97
103,-29.47,125.68,-25.78
104,-34.64,132.64,-29.71
105,-36.17,138.64,-33.86
106,-35.98,144.42,-38.08
107,-41.15,150.2,-42.28
108,-44.78,156.02,-47.36
109,-43.06,161.09,-52.4
110,-47.65,166.63,-57.57
111,-52.06,171.45,-62.86
112,-49.57,175.85,-68.5
113,-54.35,180.67,-74.16
114,-58.37,184.84,-79.98
115,-56.07,188.81,-86.43
116,-60.86,192.96,-92.6
117,-65.45,196.38,-98.72
118,-65.45,199.41,-105.36
119,-65.26,202.73,-112.63
120,-70.62,205.78,-119.26
121,-75.21,208.2,-126.14
122,-72.34,210.17,-133.6
123,-76.36,212.34,-140.42
124,-81.91,214.03,-147.37
125,-82.48,215.04,-154.46
126,-81.53,215.97,-161.55
127,-86.89,217.09,-169.04
128,-89.57,217.49,-176.33
129,-88.61,217.54,-184.04
130,-93.97,217.74,-192.18
131,-97.8,217.24,-199.45
132,-95.69,216.23,-206.82
133,-101.05,215.51,-214.08
134,-102.58,214.22,-220.69
135,-103.15,212.6,-227.94
136,-108.13,210.87,-235.32
137,-108.7,208.47,-242.65
138,-108.9,206.0,-249.96
139,-113.68,203.68,-256.73
140,-119.04,200.75,-263.41
141,-116.55,197.0,-270.16
142,-121.53,193.74,-276.68
143,-124.4,189.86,-283.02
144,-123.63,185.58,-289.27
145,-128.22,181.69,-295.11
146,-132.43,177.35,-300.62
147,-130.33,172.33,-306.11
148,-134.92,167.43,-311.89
149,-138.56,162.58,-316.75
150,-137.03,157.32,-321.4
151,-142.39,152.39,-325.99
152,-143.73,146.72,-330.35
153,-144.3,140.5,-334.92
154,-149.66,134.58,-339.18
155,-149.66,127.8,-343.14
156,-149.47,121.14,-347.04
157,-154.44,114.62,-350.89
158,-159.8,107.53,-354.28
159,-159.8,100.42,-356.89
160,-160.19,92.78,-359.7
161,-164.59,85.79,-362.22
162,-169.75,78.35,-364.28
163,-175.3,70.76,-365.65
164,179.91,63.34,-366.26
165,174.55,55.77,-366.24
166,169.96,48.79,-365.58
167,164.98,41.6,-364.31
168,157.9,34.15,-362.31
169,153.12,24.14,-358.24
