,theta,x,y
340,-0.49800000000000005,2.8939999999999997,0.0
341,-1.0720000000000003,9.082,-0.064
342,-2.908,16.240000000000002,-0.21599999999999997
343,-2.3340000000000005,23.592,-0.59
344,-3.9799999999999995,30.784,-0.892
345,-4.670000000000001,37.772,-1.3940000000000001
346,-5.054,45.378,-2.018
347,-7.502,52.75,-2.6659999999999995
348,-8.496,60.20399999999999,-3.6479999999999997
349,-10.45,67.606,-4.75
350,-12.592,75.112,-6.134
351,-14.508000000000001,82.394,-7.756
352,-16.726,89.76599999999999,-9.663999999999998
353,-18.984,96.77400000000002,-11.774000000000001
354,-20.898,103.78,-14.178
355,-22.580000000000002,110.58,-16.778
356,-24.154000000000003,116.97599999999997,-19.436
357,-26.374000000000002,123.476,-22.35
358,-29.163999999999998,129.522,-25.348
359,-31.386000000000003,135.648,-28.756000000000007
360,-33.184000000000005,141.894,-32.572
361,-35.446,148.152,-36.67
362,-37.358000000000004,154.18400000000003,-40.964
363,-39.958,160.246,-45.592
364,-43.56,165.738,-50.196
365,-44.09400000000001,171.18200000000002,-55.378
366,-46.468,176.626,-60.64
367,-49.912,181.646,-65.906
368,-52.89799999999999,186.414,-71.562
369,-52.974000000000004,190.74200000000002,-77.29400000000001
370,-55.077999999999996,195.172,-83.184
371,-59.826,199.33599999999998,-89.16199999999999
372,-60.016,202.99399999999997,-95.436
373,-61.548,206.72400000000002,-101.89200000000001
374,-65.338,210.28400000000002,-108.47
375,-68.934,213.32399999999998,-115.09400000000001
376,-69.00999999999999,215.962,-121.954
377,-71.422,218.698,-129.09
378,-74.78999999999999,221.006,-135.94199999999998
379,-77.05,222.942,-143.062
380,-78.694,224.558,-150.078
381,-81.376,225.93800000000002,-156.99600000000004
382,-83.364,227.03799999999995,-164.262
383,-85.432,227.908,-171.666
384,-88.14999999999999,228.498,-179.17399999999998
385,-90.636,228.744,-186.88199999999998
386,-92.398,228.66400000000004,-194.39600000000002
387,-95.76799999999999,228.35,-201.948
388,-98.44800000000001,227.58800000000002,-209.53000000000003
389,-99.47800000000001,226.53000000000003,-216.71599999999998
390,-102.35000000000001,225.346,-223.76399999999998
391,-104.304,223.792,-230.796
392,-105.41199999999999,221.94400000000002,-238.05
393,-108.35999999999999,220.01999999999998,-244.996
394,-111.114,217.71600000000004,-251.96400000000003
395,-114.06199999999998,214.998,-258.996
396,-115.516,211.97599999999997,-265.748
397,-118.272,208.78400000000002,-272.422
398,-120.41600000000001,205.248,-278.97999999999996
399,-122.86600000000001,201.42000000000002,-285.51000000000005
400,-125.352,197.512,-291.56
401,-127.268,193.33200000000002,-297.466
402,-129.68,188.93599999999998,-303.236
403,-131.93800000000002,184.374,-308.736
404,-134.082,179.798,-313.812
405,-134.69400000000002,174.726,-319.03799999999995
406,-139.058,169.71999999999997,-324.092
407,-141.89000000000001,164.426,-328.682
408,-141.81199999999998,158.598,-333.24799999999993
409,-146.33,153.046,-337.61199999999997
410,-148.014,146.934,-341.68
411,-148.014,140.616,-345.6360000000001
412,-151.88,134.45999999999998,-349.486
413,-155.4,127.72799999999998,-353.066
414,-155.706,120.85,-356.21000000000004
415,-158.808,113.772,-359.382
416,-162.024,106.71399999999998,-362.122
417,-162.71,99.35600000000002,-364.508
418,-165.658,92.008,-366.796
419,-96.34,84.654,-368.66999999999996
420,-97.562,77.288,-370.18999999999994
421,45.712,70.03400000000002,-371.53200000000004
422,44.676,62.19,-372.678
423,43.184,55.266000000000005,-373.71000000000004
424,41.998000000000005,48.062,-374.174
