,theta,x,y
104,-5.36,5.599999999999994,-10.47
105,-8.04,13.70999999999998,-11.23
106,-10.73,21.769999999999982,-12.37
107,-13.6,29.629999999999995,-13.86
108,-14.17,37.41,-15.74
109,-14.75,44.079999999999984,-17.43
110,-15.71,50.47,-19.11
111,-17.81,57.09,-20.97
112,-19.92,64.16999999999999,-23.25
113,-22.41,71.16999999999999,-25.78
114,-24.9,78.31,-28.73
115,-27.58,85.44,-32.04
116,-29.5,91.66,-35.29
117,-30.07,97.89999999999998,-38.81
118,-32.37,103.72999999999999,-42.19
119,-34.29,109.88999999999999,-46.1
120,-36.39,116.73999999999998,-50.77
121,-39.46,123.75,-55.93
122,-42.71,129.70999999999998,-60.84
123,-45.4,134.25,-65.03
124,-48.46,138.39,-69.23
125,-50.76,142.67000000000002,-74.06
126,-51.72,147.38,-79.82
127,-52.67,152.51,-86.33
128,-54.21,156.94,-92.13
129,-56.7,161.28999999999996,-98.17
130,-60.34,165.69,-104.86
131,-63.78,169.57999999999998,-111.69
132,-66.66,172.62,-117.86
133,-69.15,175.12,-123.66
134,-70.49,177.37,-129.57
135,-71.64,179.70999999999998,-136.18
136,-73.36,182.24,-143.78
137,-76.04,184.81,-152.39
138,-79.11,186.90999999999997,-160.84
139,-82.17,188.28999999999996,-168.01
140,-85.04,189.23000000000002,-174.82
141,-87.92,189.76999999999998,-181.12
142,-90.02,190.0,-187.43
143,-91.56,190.0,-194.45
144,-92.71,189.78999999999996,-202.31
145,-94.24,189.39,-210.73
146,-96.34,188.75,-219.27
147,-99.41,187.82,-227.64
148,-103.43,186.64999999999998,-234.71
149,-107.07,185.12,-241.12
150,-109.18,183.34999999999997,-246.9
151,-111.48,181.13,-253.26
152,-113.2,178.51,-259.93
153,-114.73,175.52999999999997,-266.89
154,-117.03,172.34999999999997,-273.78
155,-119.33,168.90999999999997,-280.53
156,-121.63,165.46999999999997,-286.65
157,-124.31,161.64,-292.87
158,-127.18,157.59999999999997,-298.79
159,-130.44,153.45,-304.27
160,-133.31,149.17000000000002,-309.29
161,-134.65,144.64,-314.09
162,-134.84,139.20999999999998,-319.59
163,-135.04,133.17000000000002,-325.66
164,-136.19,127.00999999999999,-331.81
165,-138.87,120.53,-338.03
166,-142.12,114.28999999999999,-343.48
167,-145.38,107.97,-348.39
168,-150.36,101.95999999999998,-352.54
169,-155.34,95.62,-356.15
