,theta,x,y
340,-0.11399999999999999,-0.08399999999999999,0.0
341,0.22800000000000004,0.336,-0.002
342,1.188,1.936,0.006
343,0.07799999999999993,11.222000000000001,0.22199999999999998
344,-1.0360000000000003,25.436,0.21799999999999997
345,-2.376,39.42399999999999,-0.07000000000000002
346,-3.3320000000000007,48.870000000000005,-0.484
347,-3.716,53.522000000000006,-0.766
348,-2.8739999999999997,56.153999999999996,-0.9559999999999998
349,-1.7619999999999998,58.592000000000006,-1.084
350,-2.184,63.948,-1.206
351,-3.678,74.846,-1.718
352,-4.863999999999999,87.742,-2.62
353,-5.362,99.34799999999998,-3.594
354,-5.518000000000001,107.846,-4.4
355,-5.784000000000001,113.282,-4.973999999999999
356,-5.708,117.128,-5.42
357,-5.364,120.89000000000001,-5.851999999999999
358,-6.32,127.726,-6.447999999999999
359,-7.965999999999999,137.176,-7.384
360,-9.616,146.98399999999998,-8.686
361,-11.148,155.828,-10.18
362,-12.834,163.254,-11.669999999999998
363,-14.404,169.458,-13.124
364,-15.552000000000001,175.154,-14.622
365,-16.856,181.246,-16.362000000000002
366,-18.464000000000002,188.014,-18.375999999999998
367,-19.881999999999998,195.54799999999997,-20.816
368,-21.490000000000002,203.41199999999998,-23.582
369,-23.674,210.996,-26.544
370,-26.24,217.88199999999998,-29.577999999999996
371,-28.883999999999997,223.72400000000002,-32.474000000000004
372,-31.028,229.368,-35.588
373,-32.638,235.498,-39.30800000000001
374,-34.056,242.164,-43.596000000000004
375,-35.664,249.01799999999997,-48.254000000000005
376,-37.772000000000006,255.95,-53.230000000000004
377,-40.45,262.212,-58.02
378,-43.672,267.588,-62.48
379,-47.35,272.36,-66.954
380,-50.068,276.928,-71.90599999999999
381,-51.64,281.48999999999995,-77.39000000000001
382,-52.902,286.06600000000003,-83.232
383,-54.66799999999999,290.46000000000004,-89.11
384,-56.775999999999996,294.832,-95.30999999999999
385,-59.762000000000015,299.296,-102.09599999999999
386,-62.86400000000001,303.29200000000003,-108.874
387,-65.624,306.704,-115.42999999999999
388,-68.114,309.492,-121.516
389,-70.33399999999999,311.912,-127.48599999999999
390,-72.096,314.176,-133.926
391,-74.01,316.45799999999997,-141.076
392,-76.578,318.63800000000003,-148.808
393,-78.952,320.546,-156.81400000000002
394,-81.52000000000001,322.072,-164.528
395,-84.162,323.18,-171.698
396,-86.92,323.928,-178.718
397,-89.25800000000001,324.296,-185.574
398,-91.02000000000001,324.37199999999996,-192.688
399,-92.514,324.212,-200.114
400,-94.42999999999999,323.854,-207.67400000000004
401,-96.80199999999999,323.236,-215.552
402,-99.44800000000001,322.28599999999994,-223.644
403,-102.70400000000002,321.07,-231.19
404,-105.88200000000002,319.51800000000003,-238.212
405,-108.104,317.72200000000004,-244.56599999999997
406,-110.28799999999998,315.642,-250.86599999999999
407,-112.43199999999999,313.15999999999997,-257.588
408,-114.388,310.302,-264.56
409,-116.726,307.202,-271.428
410,-119.25399999999999,303.924,-277.93
411,-121.55199999999999,300.38800000000003,-284.234
412,-123.96600000000001,296.708,-290.226
413,-126.494,292.692,-296.17199999999997
414,-128.984,288.556,-301.78000000000003
415,-131.43400000000003,284.15999999999997,-307.22799999999995
416,-133.35000000000002,279.454,-312.558
417,-134.57800000000003,274.448,-317.854
418,-135.996,268.86600000000004,-323.498
419,-137.56599999999997,262.90999999999997,-329.236
420,-139.902,256.67199999999997,-334.922
421,-142.466,250.34,-340.23400000000004
422,-145.648,244.23000000000002,-344.91999999999996
423,-149.592,238.112,-349.11199999999997
424,-153.656,231.974,-352.798
