,theta,x,y
347,-3.83,5.350000000000001,3.940000000000011
348,-8.42,13.190000000000005,3.4200000000000115
349,-8.99,20.27000000000001,2.3700000000000117
350,-7.27,26.230000000000004,1.4300000000000113
351,-12.44,33.32000000000001,0.5200000000000111
352,-15.31,40.58,-1.0799999999999894
353,-14.16,47.35000000000001,-2.929999999999989
354,-18.95,55.10000000000001,-4.889999999999988
355,-19.71,61.74000000000001,-7.1599999999999895
356,-19.14,68.47,-9.579999999999988
357,-24.69,75.5,-12.009999999999987
358,-28.32,82.0,-14.99999999999999
359,-26.6,88.05000000000001,-18.259999999999987
360,-31.39,94.45000000000002,-21.469999999999988
361,-32.15,100.91,-25.40999999999999
362,-31.77,106.85,-29.14999999999999
363,-37.13,113.05000000000001,-32.98999999999999
364,-40.38,118.75999999999999,-37.30999999999999
365,-40.0,124.74000000000001,-42.39999999999999
366,-44.97,130.33,-47.07999999999999
367,-47.27,135.29,-52.03999999999999
368,-46.7,140.15,-57.29999999999998
369,-52.44,145.15,-62.609999999999985
370,-52.63,149.68,-68.49999999999999
371,-52.63,154.28,-74.51999999999998
372,-57.8,158.79,-80.42999999999999
373,-62.01,162.38,-86.13
374,-59.33,165.81,-92.57
375,-63.35,169.74,-99.21
376,-67.94,173.02,-105.72999999999999
377,-68.9,175.70000000000002,-112.35999999999999
378,-68.71,178.28,-119.02999999999999
379,-74.64,180.78,-125.44
380,-75.98,182.67000000000002,-132.33999999999997
381,-75.6,184.51,-139.69
382,-80.76,186.36,-146.89
383,-83.82,187.62,-154.64
384,-81.53,188.34,-161.33999999999997
385,-86.31,189.4,-168.41
386,-90.33,189.84,-175.26999999999998
387,-88.42,189.8,-182.57
388,-94.35,190.0,-190.0
389,-95.88,189.45000000000002,-197.26999999999998
390,-95.69,188.69,-204.67
391,-101.43,187.93,-212.20999999999998
392,-102.77,186.41,-219.76999999999998
393,-102.77,184.73000000000002,-227.16
394,-108.51,183.06,-234.54999999999998
395,-110.62,180.96,-240.79999999999998
396,-110.23,178.39000000000001,-247.63
397,-116.36,175.87,-254.46999999999997
398,-116.74,172.76,-260.76
399,-116.55,169.16,-267.9
400,-121.33,165.83,-274.55
401,-124.78,162.04,-280.78
402,-123.06,157.64000000000001,-287.12
403,-128.03,153.66,-293.22999999999996
404,-132.24,149.68,-298.32
405,-130.33,144.59,-303.92
406,-135.5,140.14000000000001,-309.15999999999997
407,-136.26,135.14000000000001,-314.08
408,-136.26,129.87,-319.12
409,-142.0,124.6,-324.17
410,-144.49,118.74000000000001,-328.75
411,-144.3,112.69,-333.06
412,-149.28,106.99000000000001,-337.15999999999997
413,-150.42,100.72,-340.88
414,-150.62,93.75999999999999,-344.83
415,-155.78,87.03999999999999,-348.62
416,-159.99,80.13,-351.71999999999997
417,-157.12,72.88000000000001,-354.36
418,-160.95,66.16000000000001,-357.2
419,-165.93,59.0,-359.67
420,-165.93,51.650000000000006,-361.51
421,-162.48,44.03,-363.43
422,-167.46,37.34,-365.53999999999996
423,-173.01,32.28,-366.65999999999997
424,-170.52,27.680000000000007,-367.22999999999996
