,theta,x,y
340,-2.2979999999999996,2.6959999999999993,0.0
341,-4.976000000000001,8.974,-0.25
342,-0.9559999999999998,16.208000000000002,-0.8859999999999999
343,-3.942,23.726,-1.008
344,-1.3799999999999997,31.088,-1.516
345,-4.44,38.544000000000004,-1.6920000000000002
346,-4.748,46.152,-2.2860000000000005
347,-4.134,53.864,-2.9259999999999997
348,-7.312,61.334,-3.464
349,-7.578,68.646,-4.395999999999999
350,-9.416,75.71000000000001,-5.33
351,-11.826,83.094,-6.561999999999999
352,-12.9,90.5,-8.126000000000001
353,-14.925999999999998,97.58400000000002,-9.732
354,-18.144,104.954,-11.697999999999999
355,-19.214,112.042,-14.018
356,-21.128,118.81200000000001,-16.392
357,-24.076,125.276,-18.884
358,-26.024,131.598,-21.704
359,-27.826,137.92,-24.796
360,-29.512,144.268,-28.154000000000003
361,-32.112,150.594,-31.76
362,-33.722,156.81199999999998,-35.674
363,-35.559999999999995,163.108,-39.878
364,-38.236000000000004,169.042,-44.098
365,-41.224000000000004,174.716,-48.577999999999996
366,-44.63,180.18,-53.36800000000001
367,-45.510000000000005,185.35399999999998,-58.462
368,-47.080000000000005,190.27399999999997,-63.48600000000001
369,-51.29,195.202,-68.78799999999998
370,-51.864,199.882,-74.632
371,-53.052,204.546,-80.54599999999999
372,-57.95,209.0,-86.466
373,-59.288,212.82799999999997,-92.576
374,-60.592,216.57999999999998,-98.876
375,-64.07400000000001,220.12400000000002,-105.15
376,-66.256,223.206,-111.47999999999999
377,-67.25399999999999,226.16,-118.19800000000001
378,-69.77599999999998,229.02200000000002,-125.018
379,-74.294,231.5,-131.76
380,-74.638,233.442,-138.7
381,-76.4,235.42600000000002,-145.88600000000002
382,-80.34,237.17600000000002,-153.048
383,-82.026,238.41400000000004,-160.348
384,-83.096,239.408,-167.39600000000002
385,-87.078,240.28400000000002,-174.63
386,-88.534,240.654,-181.91199999999998
387,-89.796,240.842,-189.338
388,-94.65800000000002,240.86400000000003,-196.88399999999996
389,-95.22999999999999,240.248,-204.56599999999997
390,-96.95200000000001,239.57800000000003,-211.91199999999998
391,-101.27799999999999,238.686,-219.234
392,-101.89,237.202,-226.712
393,-103.84,235.66199999999998,-233.978
394,-108.09,233.92399999999998,-241.02999999999997
395,-109.16399999999999,231.696,-247.85399999999998
396,-111.076,229.26,-254.842
397,-115.36399999999999,226.57800000000003,-261.798
398,-115.89799999999998,223.484,-268.338
399,-117.96599999999998,220.202,-275.1
400,-121.412,216.706,-281.686
401,-122.86599999999999,212.964,-287.80999999999995
402,-124.16799999999998,209.094,-293.788
403,-128.876,205.144,-299.612
404,-130.06199999999998,200.794,-305.00600000000003
405,-131.55599999999998,196.12800000000001,-310.56
406,-135.422,191.34199999999998,-315.948
407,-136.71999999999997,186.274,-320.948
408,-136.988,181.1,-325.80600000000004
409,-140.702,176.044,-330.534
410,-143.99200000000002,170.576,-335.00399999999996
411,-145.256,164.654,-339.30600000000004
412,-148.28199999999998,158.822,-343.34000000000003
413,-149.658,152.522,-347.228
414,-150.77,145.958,-351.066
415,-154.904,139.06599999999997,-354.93
416,-158.424,132.012,-358.24
417,-158.54,124.69000000000001,-361.142
418,-161.142,117.542,-363.94800000000004
419,-164.59,110.38199999999999,-366.39
420,-166.502,103.2,-368.37399999999997
421,-165.23600000000002,96.03,-370.092
422,-167.95600000000002,89.17999999999999,-371.924
423,-171.362,83.128,-373.248
424,-170.98,77.582,-374.07800000000003
