,theta,x,y
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,2.9,2.41,0.0
175,4.07,8.08,0.29
176,1.55,15.3,0.8
177,3.1,24.38,1.05
178,1.94,32.32,1.48
179,1.36,40.4,1.75
180,0.97,48.91,1.95
181,0.19,55.16,2.06
182,-0.39,62.39,2.08
183,-1.55,70.77,2.02
184,-3.1,77.86,1.83
185,-4.45,86.22,1.38
186,-6.58,92.87,0.86
187,-9.87,97.24,0.36
188,-10.65,106.19,-1.2
189,-11.23,113.58,-2.59
190,-11.81,117.62,-3.39
191,-12.97,129.01,-5.77
192,-12.97,133.44,-6.79
193,-13.36,137.86,-7.81
194,-15.1,151.53,-11.06
195,-18.97,158.66,-12.98
196,-20.13,161.61,-14.0
197,-22.07,172.53,-18.0
198,-25.17,178.06,-20.24
199,-25.56,181.65,-21.93
200,-27.68,192.28,-27.01
201,-31.36,197.68,-29.85
202,-32.52,201.56,-32.21
203,-34.27,210.54,-37.93
204,-36.01,218.63,-43.45
205,-40.85,223.11,-46.7
206,-44.33,226.76,-49.86
207,-45.88,232.85,-55.81
208,-48.59,238.77,-61.92
209,-53.43,241.12,-64.58
210,-54.98,245.86,-70.97
211,-56.53,251.07,-78.4
212,-57.69,252.63,-80.77
213,-59.63,258.7,-90.37
214,-60.79,263.29,-98.2
215,-63.11,264.54,-100.43
216,-64.66,268.78,-108.79
217,-66.99,273.27,-118.28
218,-69.12,274.32,-120.76
219,-70.28,277.26,-128.45
220,-71.44,280.61,-137.8
221,-74.15,281.42,-140.22
222,-76.67,284.33,-150.46
223,-78.6,286.36,-159.02
224,-81.12,287.01,-162.22
225,-83.64,288.69,-173.02
226,-87.31,289.37,-179.09
227,-87.7,289.55,-183.06
228,-90.22,290.04,-195.11
229,-92.54,290.01,-202.77
230,-94.28,289.83,-206.88
231,-96.99,288.92,-219.05
232,-100.48,288.16,-225.25
233,-101.06,287.51,-228.74
234,-104.16,285.33,-239.88
235,-108.42,283.8,-245.94
236,-110.74,282.91,-248.63
237,-113.64,279.14,-258.58
238,-116.93,275.78,-266.26
239,-122.36,273.98,-269.8
240,-125.07,270.49,-275.31
241,-126.61,264.45,-283.91
242,-128.74,262.17,-286.98
243,-131.07,257.91,-292.3
244,-132.42,249.42,-302.03
245,-133.39,246.26,-305.49
246,-134.55,243.53,-308.38
247,-136.88,234.57,-317.48
248,-139.2,227.53,-324.08
249,-141.33,222.05,-328.81
250,-146.36,217.84,-332.18
251,-151.4,214.53,-334.38
252,-153.33,207.8,-338.05
253,-154.69,201.08,-341.42
254,-154.69,201.08,-341.42
