,theta,x,y
340,0.0,0.0,0.0
341,0.0,0.0,0.0
342,0.078,0.22799999999999998,0.0
343,0.30999999999999994,2.782,0.014000000000000002
344,1.162,6.866,0.062
345,2.902,11.15,0.156
346,3.5620000000000003,18.547999999999995,0.522
347,3.522,27.862000000000002,1.148
348,2.518,36.192,1.6520000000000004
349,1.666,42.2,1.9319999999999997
350,0.97,50.766000000000005,2.178
351,-0.6599999999999999,59.251999999999995,2.3259999999999996
352,-2.324,65.068,2.2479999999999998
353,-3.564,73.76599999999999,1.8979999999999997
354,-4.492,80.61600000000001,1.464
355,-5.5760000000000005,86.898,1.024
356,-7.3180000000000005,95.78399999999999,0.13599999999999998
357,-10.26,100.06199999999998,-0.42000000000000004
358,-11.035999999999998,107.69800000000001,-1.844
359,-11.694,117.508,-3.8
360,-12.623999999999999,122.01199999999999,-4.715999999999999
361,-13.628,130.794,-6.5040000000000004
362,-15.331999999999999,139.93,-8.786000000000001
363,-17.27,145.38799999999998,-10.33
364,-19.166,152.212,-12.344
365,-21.18,160.298,-15.168000000000001
366,-22.922,166.868,-17.766
367,-24.701999999999998,172.944,-20.288
368,-26.678000000000004,180.78400000000002,-23.93
369,-28.615999999999996,187.876,-27.504
370,-31.362000000000002,193.30800000000002,-30.396000000000004
371,-33.106,198.95,-33.82
372,-34.77,207.26799999999997,-39.286
373,-36.202000000000005,211.56199999999998,-42.202
374,-38.215999999999994,216.63600000000002,-45.885999999999996
375,-40.848,225.16,-52.672000000000004
376,-43.288,229.71800000000002,-56.638
377,-44.258,233.118,-59.854000000000006
378,-46.812000000000005,241.102,-67.588
379,-50.722,245.664,-72.368
380,-52.386,248.32799999999997,-75.724
381,-54.903999999999996,254.05200000000005,-83.16600000000001
382,-57.15,258.53999999999996,-89.50999999999999
383,-60.248000000000005,261.624,-94.342
384,-62.339999999999996,265.438,-100.78600000000002
385,-64.19800000000001,269.10400000000004,-107.944
386,-66.598,272.008,-113.78399999999999
387,-69.27000000000001,274.72799999999995,-119.928
388,-71.052,278.13599999999997,-128.998
389,-73.91600000000001,280.08000000000004,-134.68599999999998
390,-75.97,281.994,-141.286
391,-78.45,284.182,-150.298
392,-81.15800000000002,285.22,-155.11200000000002
393,-82.63,286.312,-161.358
394,-84.604,287.478,-171.692
395,-86.426,288.0,-176.51000000000002
396,-88.822,288.512,-183.86599999999999
397,-90.798,288.656,-193.13799999999998
398,-93.548,288.672,-199.292
399,-95.872,288.254,-206.58999999999997
400,-98.076,287.308,-215.06599999999997
401,-100.75,286.358,-222.46000000000004
402,-103.77000000000001,285.32400000000007,-227.92000000000002
403,-106.054,283.258,-236.084
404,-108.26199999999999,281.008,-244.138
405,-109.73400000000001,279.48799999999994,-248.83199999999997
406,-111.59,276.968,-255.82599999999996
407,-114.3,273.71799999999996,-264.114
408,-117.05,271.136,-269.95
409,-119.918,268.642,-274.71399999999994
410,-122.124,264.116,-282.71
411,-125.68400000000001,259.788,-289.68600000000004
412,-128.12600000000003,256.992,-293.42
413,-130.488,251.25799999999998,-300.728
414,-132.576,244.98799999999997,-308.24199999999996
415,-134.474,242.692,-310.856
416,-136.796,237.00799999999998,-316.444
417,-139.276,229.314,-323.666
418,-141.988,223.82399999999998,-328.418
419,-145.00600000000003,218.97999999999996,-332.354
420,-148.568,215.67399999999998,-334.648
421,-150.584,209.72199999999998,-338.36
422,-151.512,203.744,-342.052
423,-152.788,201.08800000000002,-343.512
424,-154.61,198.11599999999999,-344.988
