,theta,x,y
85,-2.68,2.24,0.0
86,-7.27,8.69,-0.3
87,-6.89,16.48,-1.3
88,-6.32,24.14,-2.22
89,-10.14,31.39,-3.02
90,-6.32,39.13,-4.41
91,-10.14,46.1,-5.18
92,-11.48,52.87,-6.39
93,-10.91,60.7,-7.98
94,-16.08,68.0,-9.39
95,-16.08,75.28,-11.49
96,-15.31,82.29,-13.51
97,-20.48,88.65,-15.25
98,-22.58,95.36,-17.75
99,-22.01,102.22,-20.61
100,-27.18,108.59,-23.18
101,-27.37,114.46,-26.19
102,-27.18,120.81,-29.48
103,-31.58,127.68,-33.01
104,-36.55,134.13,-36.97
105,-36.74,140.1,-41.4
106,-36.36,145.95,-45.77
107,-41.72,152.05,-50.26
108,-44.21,157.39,-55.02
109,-43.25,162.52,-60.01
110,-48.8,167.73,-64.91
111,-50.14,172.63,-70.51
112,-49.76,177.3,-76.1
113,-54.93,182.29,-81.99
114,-59.52,186.48,-87.97
115,-56.46,190.04,-94.01
116,-60.09,194.3,-100.44
117,-64.88,197.73,-106.4
118,-66.22,200.77,-112.88
119,-65.64,203.65,-119.42
120,-70.43,206.6,-125.94
121,-74.06,209.19,-133.21
122,-72.53,211.42,-141.04
123,-77.7,213.57,-147.86
124,-81.15,215.0,-154.44
125,-79.23,216.13,-161.65
126,-84.02,217.31,-167.85
127,-87.84,218.07,-175.11
128,-85.74,218.37,-183.1
129,-90.52,218.94,-190.79
130,-95.69,218.87,-198.51
131,-93.2,218.16,-205.63
132,-98.18,217.74,-213.19
133,-101.05,216.72,-220.27
134,-100.09,215.29,-227.57
135,-105.64,214.04,-234.61
136,-106.41,212.07,-241.64
137,-104.88,210.33,-247.56
138,-109.85,208.39,-254.88
139,-115.21,205.72,-262.27
140,-116.17,202.55,-269.0
141,-115.98,199.27,-275.67
142,-121.33,196.2,-281.98
143,-123.63,192.41,-288.21
144,-123.25,188.21,-294.52
145,-127.84,184.21,-300.62
146,-132.05,179.91,-306.16
147,-129.56,174.93,-311.68
148,-133.58,170.37,-317.19
149,-138.75,165.24,-322.58
150,-138.75,159.55,-327.57
151,-138.37,154.49,-332.01
152,-144.11,148.82,-337.05
153,-144.87,143.37,-340.99
154,-144.49,137.4,-345.19
155,-149.85,131.23,-349.59
156,-155.02,124.32,-353.61
157,-154.44,116.82,-357.1
158,-154.44,109.73,-360.49
159,-159.04,103.4,-363.52
160,-164.2,96.46,-366.18
161,-164.2,88.9,-368.32
162,-162.67,81.88,-370.3
163,-167.84,74.51,-372.6
164,-172.62,67.52,-374.11
165,-172.43,60.15,-375.06
166,-169.56,54.72,-375.78
167,-168.41,50.58,-376.55
168,-171.09,45.91,-377.5
169,-175.3,39.53,-378.5
