,theta,x,y
340,-2.7560000000000002,2.6959999999999997,0.0
341,-7.692,8.55,-0.278
342,-8.116,15.418000000000001,-1.194
343,-7.542,22.822,-2.242
344,-10.564,30.47,-3.254
345,-9.608,37.986000000000004,-4.672
346,-11.596,45.166,-5.9
347,-13.929999999999998,52.452,-7.395999999999999
348,-14.814000000000002,59.660000000000004,-9.168
349,-16.958,66.75800000000001,-11.044
350,-19.064,73.76,-13.180000000000001
351,-20.326,80.566,-15.536000000000001
352,-22.508000000000003,87.31200000000001,-18.048
353,-24.994,93.924,-20.782
354,-25.798000000000002,100.34799999999998,-23.776
355,-28.058,106.574,-26.798000000000002
356,-31.272,112.91199999999999,-30.177999999999997
357,-33.492,119.18199999999999,-33.994
358,-34.449999999999996,125.376,-38.07
359,-37.624,131.416,-42.208000000000006
360,-39.922000000000004,137.18,-46.652
361,-41.376,142.774,-51.322
362,-45.434000000000005,148.25,-56.132000000000005
363,-46.2,153.32,-61.288
364,-47.384,158.27,-66.43800000000002
365,-51.672000000000004,163.164,-71.758
366,-53.510000000000005,167.68800000000002,-77.48400000000001
367,-54.42999999999999,172.14000000000001,-83.51400000000001
368,-57.684000000000005,176.52999999999997,-89.646
369,-60.132000000000005,180.342,-95.66599999999998
370,-62.620000000000005,183.90399999999997,-101.85600000000001
371,-64.074,187.25799999999998,-108.31400000000001
372,-66.602,190.416,-114.822
373,-69.51,193.294,-121.45599999999999
374,-71.03999999999999,195.82199999999997,-128.284
375,-73.22200000000001,198.18,-135.148
376,-75.864,200.34999999999997,-142.308
377,-77.69800000000001,202.13400000000001,-149.37600000000003
378,-80.072,203.69,-156.546
379,-83.252,204.94400000000002,-163.81199999999998
380,-84.58800000000001,205.80599999999998,-171.13000000000002
381,-86.84799999999998,206.452,-178.24200000000002
382,-89.72,206.862,-185.604
383,-91.13799999999999,206.916,-193.08599999999998
384,-93.622,206.77399999999997,-200.502
385,-96.26399999999998,206.30599999999998,-207.91199999999998
386,-98.40799999999999,205.502,-215.212
387,-100.51400000000001,204.422,-222.56
388,-103.652,203.134,-229.502
389,-105.33599999999998,201.398,-236.63400000000001
390,-107.326,199.376,-243.978
391,-110.2,197.20600000000002,-250.91199999999998
392,-112.074,194.77000000000004,-257.508
393,-112.91399999999999,192.00799999999998,-264.35800000000006
394,-117.202,189.11200000000002,-271.23199999999997
395,-119.65,185.77,-277.76599999999996
396,-119.95599999999999,182.196,-284.052
397,-123.93799999999999,178.544,-290.35800000000006
398,-127.34400000000001,174.526,-296.338
399,-127.53400000000002,170.16000000000003,-302.066
400,-130.328,165.73600000000002,-307.82000000000005
401,-134.07999999999998,161.014,-313.37
402,-134.464,155.98000000000002,-318.568
403,-136.874,150.818,-323.816
404,-140.24200000000002,145.62600000000003,-328.686
405,-142.19400000000002,140.26000000000002,-333.15
406,-143.19,134.548,-337.576
407,-146.55599999999998,128.62400000000002,-342.006
408,-148.664,122.60799999999999,-345.95799999999997
409,-149.42800000000003,116.09400000000001,-349.918
410,-153.294,109.41,-353.864
411,-157.27799999999996,102.51199999999999,-357.348
412,-158.232,95.148,-360.438
413,-158.45999999999998,88.17,-363.22799999999995
414,-163.172,81.106,-366.004
415,-167.07399999999998,73.976,-368.16200000000003
416,-167.074,66.71000000000001,-369.84000000000003
417,-165.428,59.79600000000001,-371.3960000000001
418,-168.682,53.214,-373.16200000000003
419,-171.664,47.230000000000004,-374.404
420,-171.66799999999998,41.85,-375.192
421,-170.17400000000004,37.17,-375.92199999999997
422,-170.29000000000002,32.166,-376.79
423,-171.70600000000002,26.772,-377.674
424,-174.846,20.002000000000002,-378.654
