,theta,x,y
272,-3.44,2.3600000000000136,-7.580000000000005
273,-7.27,8.530000000000015,-7.9500000000000055
274,-8.04,20.49000000000001,-9.480000000000006
275,-12.06,26.190000000000026,-10.280000000000006
276,-11.1,31.81000000000003,-11.480000000000006
277,-13.4,39.25000000000003,-12.940000000000005
278,-15.12,47.30000000000001,-14.860000000000007
279,-15.12,52.45000000000002,-16.250000000000007
280,-16.08,57.46000000000001,-17.600000000000005
281,-20.48,69.45000000000002,-21.060000000000006
282,-19.9,71.16000000000003,-21.700000000000006
283,-24.69,81.58000000000001,-25.470000000000006
284,-26.03,86.81000000000003,-27.880000000000006
285,-26.6,91.98000000000002,-30.400000000000006
286,-27.18,96.62000000000003,-32.720000000000006
287,-34.26,106.48000000000002,-37.790000000000006
288,-33.68,111.23000000000002,-41.02
289,-35.98,114.97000000000003,-43.510000000000005
290,-36.94,118.94000000000003,-46.400000000000006
291,-42.49,124.66000000000003,-50.7
292,-43.44,133.87000000000003,-59.13
293,-45.74,135.29000000000002,-60.480000000000004
294,-49.76,144.60000000000002,-70.03
295,-49.95,148.31,-74.42
296,-51.48,149.03000000000003,-75.28
297,-55.31,153.23000000000002,-80.54
298,-59.9,160.41000000000003,-90.93
299,-59.9,163.37,-96.02000000000001
300,-62.39,165.55,-99.79
301,-63.16,170.49,-109.23
302,-63.16,170.74,-109.73
303,-66.79,175.49,-119.12
304,-67.94,177.37,-123.51
305,-71.58,179.43,-128.58
306,-71.96,181.03000000000003,-133.37
307,-78.27,183.33000000000004,-140.44
308,-79.81,185.27000000000004,-149.78
309,-80.19,185.81,-152.82
310,-81.53,187.70000000000005,-163.74
311,-86.12,188.28000000000003,-167.62
312,-84.4,189.01000000000005,-178.4
313,-85.16,189.09000000000003,-179.24
314,-94.54,190.0,-190.0
315,-94.16,189.74,-193.36
316,-94.54,188.98000000000002,-203.71
317,-96.26,188.86,-205.25
318,-98.56,187.52000000000004,-217.52
319,-98.94,186.64000000000004,-223.35
320,-101.62,186.33000000000004,-225.29
321,-104.3,184.86,-232.43
322,-109.66,183.34000000000003,-238.41
323,-111.38,178.57,-251.76000000000002
324,-111.38,176.32,-257.51
325,-112.15,176.12,-258.03
326,-121.53,173.10000000000002,-265.42999999999995
327,-120.57,170.68,-269.38
328,-120.38,163.19,-282.06000000000006
329,-120.95,160.0,-287.51
330,-121.14,159.92000000000002,-287.63
331,-127.46,156.37,-293.51
332,-128.61,152.79000000000002,-298.19000000000005
333,-131.48,150.25,-301.37
334,-132.63,144.49,-307.89
335,-139.52,139.74,-313.04999999999995
336,-140.47,130.03000000000003,-321.34000000000003
337,-140.66,129.70000000000002,-321.6
338,-141.24,125.69000000000003,-324.89
339,-141.62,120.87000000000003,-328.76
