,theta,x,y
340,-0.22999999999999998,3.0300000000000002,0.0
341,-0.306,4.6579999999999995,-0.01
342,-0.23200000000000004,7.912000000000001,-0.03400000000000001
343,-0.19200000000000003,18.602,-0.09000000000000001
344,-0.15199999999999997,30.524,-0.10800000000000001
345,-1.5720000000000003,42.888,-0.16800000000000007
346,-2.488,49.83200000000001,-0.368
347,-2.6799999999999997,56.977999999999994,-0.6040000000000001
348,-2.832,62.74399999999999,-0.868
349,-1.722,67.648,-1.096
350,-2.108,74.262,-1.318
351,-4.018000000000001,82.77799999999999,-1.6000000000000003
352,-5.168000000000001,88.934,-2.032
353,-6.316000000000001,98.048,-2.8
354,-8.036,104.93800000000002,-3.496
355,-9.606,111.91399999999999,-4.422
356,-8.918,118.268,-5.516
357,-9.072,125.45,-6.732000000000001
358,-12.323999999999998,133.418,-8.136
359,-12.862,140.738,-9.682
360,-15.886000000000001,147.98600000000002,-11.180000000000001
361,-15.962,153.48600000000002,-12.742
362,-17.952,159.58599999999998,-14.453999999999999
363,-18.948,169.102,-17.606
364,-20.938000000000002,172.612,-18.778
365,-22.466,181.61999999999998,-22.342000000000002
366,-25.26,186.25799999999998,-24.07
367,-26.332,194.29000000000002,-28.024
368,-28.708000000000006,199.606,-30.518
369,-30.584000000000003,207.2,-34.654
370,-31.653999999999996,211.26799999999997,-37.022000000000006
371,-33.838,216.74200000000002,-40.572
372,-36.974000000000004,222.84,-44.44199999999999
373,-38.926,227.504,-47.98800000000001
374,-40.342,232.81400000000002,-52.33
375,-42.408,238.504,-57.236000000000004
376,-43.291999999999994,242.67399999999998,-61.016000000000005
377,-46.812,249.01,-67.11600000000001
378,-51.06,253.248,-71.708
379,-52.706,257.504,-76.80199999999999
380,-54.160000000000004,261.07,-81.488
381,-58.217999999999996,264.82800000000003,-86.77199999999999
382,-59.903999999999996,268.89,-93.40599999999999
383,-61.126,272.17400000000004,-98.88600000000001
384,-63.306,275.59399999999994,-105.348
385,-65.912,279.03000000000003,-112.20599999999999
386,-67.022,281.05400000000003,-116.55199999999999
387,-66.44800000000001,283.472,-122.502
388,-71.03800000000001,286.294,-128.846
389,-72.15,288.25199999999995,-134.606
390,-74.638,290.006,-140.078
391,-77.738,291.96799999999996,-147.41400000000002
392,-80.53399999999999,293.31800000000004,-153.33
393,-82.41,294.698,-161.824
394,-83.63399999999999,295.43999999999994,-167.95
395,-85.508,296.25200000000007,-174.036
396,-88.07199999999999,296.702,-181.002
397,-89.488,296.94,-186.748
398,-90.828,296.938,-193.44400000000002
399,-95.23,296.946,-200.132
400,-96.60999999999999,296.188,-208.17600000000002
401,-95.84200000000001,295.73400000000004,-212.41199999999998
402,-99.74600000000001,294.72200000000004,-221.096
403,-102.23599999999999,293.528,-228.314
404,-103.498,292.56000000000006,-233.238
405,-104.95,290.48400000000004,-241.16
406,-106.828,289.86199999999997,-243.686
407,-112.224,286.912,-252.70600000000005
408,-114.55999999999999,284.11199999999997,-259.76800000000003
409,-115.9,281.544,-265.346
410,-117.16400000000002,279.562,-269.274
411,-121.83400000000002,275.226,-277.63399999999996
412,-122.25399999999999,271.37199999999996,-283.456
413,-123.36399999999999,268.414,-288.45200000000006
414,-125.622,265.332,-293.172
415,-128.18400000000003,261.85,-297.798
416,-131.01999999999998,257.106,-303.90000000000003
417,-133.23600000000002,252.58800000000002,-308.804
418,-136.64600000000002,247.504,-314.282
419,-137.336,242.82,-318.706
420,-139.286,238.06400000000002,-323.09799999999996
421,-140.85399999999998,232.83800000000002,-327.65
422,-143.648,229.452,-330.368
423,-146.292,222.92999999999998,-335.18
424,-147.32199999999997,216.404,-339.38200000000006
