,theta,x,y
88,-5.94,0.0899999999999963,-4.260000000000006
89,-9.0,14.329999999999998,-5.7400000000000055
90,-10.92,25.979999999999997,-7.590000000000005
91,-11.88,34.38999999999999,-9.210000000000004
92,-13.22,40.3,-10.450000000000006
93,-14.37,45.22,-11.610000000000007
94,-15.51,50.39,-12.930000000000005
95,-16.86,56.2,-14.550000000000006
96,-19.15,62.92,-16.580000000000005
97,-21.26,70.22,-19.120000000000005
98,-23.37,76.63,-21.610000000000007
99,-25.67,82.56,-24.170000000000005
100,-28.73,88.13,-26.850000000000005
101,-30.45,94.16,-30.160000000000007
102,-31.6,100.69,-34.00000000000001
103,-32.94,106.55,-37.60000000000001
104,-34.86,111.97,-41.120000000000005
105,-37.35,117.62,-45.050000000000004
106,-40.03,122.97999999999999,-49.14000000000001
107,-42.14,127.81,-53.2
108,-44.82,132.6,-57.540000000000006
109,-47.12,137.38,-62.290000000000006
110,-48.27,141.4,-66.61000000000001
111,-49.99,145.98,-71.74000000000001
112,-53.25,150.94,-77.66000000000001
113,-55.93,155.48,-83.73
114,-58.04,159.32999999999998,-89.43
115,-59.19,162.6,-94.67
116,-60.14,165.7,-99.86
117,-63.02,169.12,-105.82000000000001
118,-65.7,172.04999999999998,-111.58000000000001
119,-68.19,174.65,-117.34
120,-70.68,177.21,-123.73
121,-72.79,179.57999999999998,-130.48000000000002
122,-74.13,181.45,-136.52
123,-75.85,183.32999999999998,-143.14000000000001
124,-78.34,185.07999999999998,-150.08
125,-79.87,186.54999999999998,-157.23000000000002
126,-81.79,187.79,-164.14000000000001
127,-84.09,188.67,-170.25
128,-85.62,189.31,-176.4
129,-88.49,189.81,-182.98000000000002
130,-90.79,190.0,-190.0
131,-92.51,189.9,-196.88
132,-94.43,189.59,-203.89000000000001
133,-95.58,189.04999999999998,-210.89000000000001
134,-96.73,188.51,-216.48000000000002
135,-98.64,187.78,-222.61
136,-101.32,186.73,-229.56
137,-104.01,185.29,-236.71
138,-107.07,183.59,-243.53
139,-109.37,181.78,-249.43
140,-110.52,179.64,-255.52
141,-112.63,177.23,-261.97
142,-114.73,174.47,-268.58000000000004
143,-116.46,171.59,-274.83000000000004
144,-117.61,168.59,-280.86
145,-119.71,165.4,-286.96000000000004
146,-122.2,162.54999999999998,-291.96000000000004
147,-124.5,159.41,-296.95000000000005
148,-126.99,155.67,-302.38
149,-129.29,151.28,-308.22
150,-131.01,146.74,-313.76
151,-132.93,142.32,-318.84000000000003
152,-134.27,137.63,-323.88
153,-136.19,132.93,-328.71000000000004
154,-139.06,127.96000000000001,-333.47
155,-141.55,122.56,-338.15999999999997
156,-143.85,117.5,-342.17999999999995
157,-146.53,112.28,-345.99
158,-148.64,107.25,-349.32000000000005
159,-148.64,102.21,-352.39
160,-149.98,96.34,-355.97
161,-152.66,89.28999999999999,-360.03999999999996
162,-155.34,82.3,-363.65999999999997
163,-157.45,76.05,-366.53
164,-158.79,70.47,-368.84000000000003
165,-161.09,65.24,-370.87
166,-164.53,59.39,-372.88
167,-167.02,52.22,-374.86
168,-168.56,45.379999999999995,-376.44000000000005
169,-170.09,37.669999999999995,-378.0
