,theta,x,y
340,-0.038,-0.028000000000000004,0.0
341,-0.882,0.7,0.0
342,-3.6420000000000003,5.534,-0.084
343,-6.359999999999999,16.486,-0.7779999999999999
344,-7.545999999999999,29.059999999999995,-2.186
345,-7.93,39.682,-3.586
346,-9.080000000000002,47.518,-4.682
347,-10.766,52.83200000000001,-5.564
348,-12.986,57.35,-6.4319999999999995
349,-14.940000000000001,62.572,-7.634
350,-16.663999999999998,69.268,-9.42
351,-17.926,76.936,-11.696000000000002
352,-19.113999999999997,84.5,-14.128
353,-20.378,91.266,-16.442
354,-22.678,97.26599999999999,-18.654000000000003
355,-25.514,102.758,-20.944
356,-27.770000000000003,108.19200000000001,-23.566000000000003
357,-29.728,114.36600000000001,-26.839999999999996
358,-31.68,120.68000000000002,-30.444
359,-33.596000000000004,127.03599999999999,-34.362
360,-35.282,132.652,-38.084
361,-37.198,137.976,-41.828
362,-39.686,143.152,-45.730000000000004
363,-42.598,148.248,-49.959999999999994
364,-44.974,153.19400000000002,-54.53399999999999
365,-46.657999999999994,157.642,-58.977999999999994
366,-48.652,162.108,-63.718
367,-51.104000000000006,166.82200000000003,-69.07000000000001
368,-53.326,171.222,-74.534
369,-55.470000000000006,175.446,-80.20400000000001
370,-57.34599999999999,179.258,-85.72399999999999
371,-59.032,182.844,-91.29599999999999
372,-60.720000000000006,186.162,-96.83400000000002
373,-62.593999999999994,189.202,-102.24
374,-65.008,192.11,-107.84400000000001
375,-67.882,195.08600000000004,-114.232
376,-70.488,197.804,-120.94000000000001
377,-72.558,200.05,-127.292
378,-74.54799999999999,202.09,-133.772
379,-76.386,203.936,-140.42400000000004
380,-77.648,205.53999999999996,-147.054
381,-79.41399999999999,207.01399999999998,-153.79999999999998
382,-81.52199999999999,208.28400000000002,-160.5
383,-83.704,209.27799999999996,-167.13400000000001
384,-86.154,209.988,-173.66199999999998
385,-88.298,210.416,-179.99399999999997
386,-90.44400000000002,210.61399999999998,-186.724
387,-92.63,210.56199999999998,-193.938
388,-94.354,210.23200000000003,-201.03400000000002
389,-95.654,209.75,-207.47200000000004
390,-97.148,209.132,-213.754
391,-99.062,208.302,-220.442
392,-101.286,207.23600000000002,-227.09
393,-103.96599999999998,205.92600000000002,-233.586
394,-106.498,204.348,-239.958
395,-108.67800000000003,202.426,-246.442
396,-110.71199999999999,200.27000000000004,-252.796
397,-112.28,197.93200000000002,-258.96200000000005
398,-113.928,195.412,-265.12
399,-115.88199999999999,192.56,-271.56000000000006
400,-118.33399999999999,189.47600000000003,-277.928
401,-120.74600000000001,186.43599999999998,-283.5880000000001
402,-122.81599999999999,183.25199999999998,-288.946
403,-124.84400000000001,179.68,-294.488
404,-126.874,175.906,-299.90000000000003
405,-128.714,171.95800000000003,-305.15
406,-130.478,167.77400000000003,-310.356
407,-132.47,163.182,-315.73799999999994
408,-134.654,158.426,-320.94
409,-136.684,153.82800000000003,-325.588
410,-138.86800000000002,149.036,-330.11400000000003
411,-141.474,143.93400000000003,-334.592
412,-144.038,138.424,-338.984
413,-146.37600000000003,133.09,-342.85600000000005
414,-147.488,127.92,-346.286
415,-148.866,122.474,-349.75199999999995
416,-150.858,116.31800000000001,-353.46799999999996
417,-152.81,110.06199999999998,-356.948
418,-154.72799999999998,103.772,-360.184
419,-156.948,97.638,-363.1
420,-159.36200000000002,91.68199999999999,-365.662
421,-161.50799999999998,85.85399999999998,-367.858
422,-163.496,79.572,-369.946
423,-165.722,73.114,-371.85
424,-168.25,66.09,-373.618
