,theta,x,y
255,0.0,0.0,0.0
256,-0.38,0.28,0.0
257,-0.57,0.98,-0.0
258,-1.34,9.69,-0.09
259,-1.72,23.72,-0.42
260,-1.34,38.6,-0.87
261,-1.15,50.81,-1.15
262,-2.49,57.97,-1.3
263,-5.94,61.62,-1.46
264,-8.43,63.43,-1.65
265,-12.26,66.21,-2.06
266,-13.22,72.94,-3.52
267,-10.34,83.46,-5.99
268,-8.62,94.1,-7.93
269,-8.04,103.12,-9.3
270,-11.11,109.51,-10.2
271,-16.66,113.51,-10.99
272,-22.41,117.55,-12.19
273,-26.05,122.35,-14.17
274,-23.56,129.03,-17.44
275,-19.15,137.14,-20.98
276,-16.66,144.7,-23.6
277,-19.15,152.1,-25.82
278,-25.09,158.07,-27.89
279,-31.99,162.65,-30.04
280,-37.35,166.46,-32.42
281,-36.2,171.14,-35.99
282,-32.75,177.72,-40.8
283,-29.69,185.27,-45.66
284,-31.03,192.96,-50.05
285,-37.16,199.7,-54.1
286,-45.01,204.28,-57.58
287,-51.33,207.56,-60.85
288,-56.12,210.28,-64.25
289,-53.63,214.27,-70.2
290,-48.27,219.77,-77.66
291,-45.59,225.75,-84.36
292,-47.89,230.66,-89.38
293,-54.97,234.9,-94.07
294,-63.4,238.44,-99.12
295,-70.68,240.83,-103.9
296,-73.93,242.55,-108.8
297,-69.91,244.77,-116.49
298,-61.87,247.18,-123.08
299,-56.5,249.56,-127.54
300,-60.72,253.74,-133.86
301,-69.15,258.41,-142.19
302,-79.49,261.61,-150.59
303,-88.87,262.87,-157.35
304,-94.43,262.96,-161.98
305,-89.83,262.55,-167.3
306,-81.4,262.57,-173.48
307,-74.32,263.47,-179.45
308,-76.62,265.97,-188.37
309,-85.24,268.47,-198.89
310,-96.34,269.24,-208.13
311,-106.3,268.44,-215.38
312,-112.24,267.22,-219.56
313,-108.79,265.83,-222.94
314,-100.94,263.98,-228.39
315,-94.24,262.89,-234.04
316,-97.3,262.22,-243.0
317,-104.96,260.87,-253.59
318,-116.07,258.4,-262.81
319,-125.84,255.25,-269.24
320,-131.78,252.7,-272.77
321,-128.52,250.18,-275.6
322,-119.52,246.07,-280.76
323,-111.67,243.09,-286.01
324,-112.82,239.88,-294.1
325,-121.82,235.69,-304.07
326,-133.89,230.73,-312.06
327,-143.08,226.06,-316.92
328,-148.83,222.69,-319.45
329,-145.0,219.08,-321.63
330,-135.8,213.56,-325.5
331,-127.76,209.34,-329.61
332,-128.91,204.0,-336.49
333,-136.38,197.39,-344.68
334,-147.29,190.17,-351.56
335,-158.02,183.56,-355.81
336,-164.72,179.0,-357.65
337,-163.58,176.56,-358.31
338,-155.15,170.64,-360.06
339,-147.1,165.29,-362.54
