,theta,x,y
340,0.0,0.0,0.0
341,-0.152,0.22400000000000003,0.0
342,-0.6119999999999999,1.4020000000000001,-0.002
343,-1.7239999999999998,9.744,-0.08199999999999999
344,-2.298,23.97,-0.514
345,-2.222,40.132,-1.1600000000000001
346,-1.684,53.32000000000001,-1.668
347,-1.456,62.02,-1.934
348,-2.836,66.622,-2.0700000000000003
349,-4.1,68.16199999999999,-2.1740000000000004
350,-5.515999999999999,69.584,-2.3360000000000003
351,-8.236,75.408,-2.9179999999999997
352,-8.772,86.408,-4.444000000000001
353,-8.006,98.562,-6.302
354,-7.5840000000000005,109.31400000000001,-7.840000000000001
355,-8.888000000000002,117.324,-8.919999999999998
356,-12.642,122.42999999999999,-9.688
357,-17.66,126.348,-10.548
358,-22.139999999999997,130.0,-11.732000000000001
359,-23.254,135.37399999999997,-13.924000000000001
360,-20.954,143.324,-17.302
361,-18.234,152.38799999999998,-20.782
362,-18.31,160.97,-23.657999999999994
363,-21.759999999999998,167.594,-25.9
364,-27.391999999999996,172.55599999999998,-27.889999999999997
365,-33.327999999999996,176.66,-30.024
366,-37.08,180.81199999999998,-32.788
367,-35.894,186.656,-37.19199999999999
368,-32.83,193.826,-42.352000000000004
369,-31.142000000000003,201.11399999999998,-47.024
370,-33.135999999999996,207.82600000000002,-51.056
371,-38.498000000000005,213.744,-54.879999999999995
372,-45.128,218.606,-58.686
373,-51.372,222.298,-62.38199999999999
374,-53.67,225.66799999999998,-66.644
375,-52.06,229.6,-71.94200000000001
376,-48.154,234.144,-77.84400000000001
377,-47.004000000000005,239.63400000000001,-83.928
378,-49.836,245.43199999999996,-89.924
379,-55.81600000000001,250.39799999999997,-95.59
380,-63.74400000000001,253.94400000000002,-100.63399999999999
381,-70.026,256.354,-105.422
382,-72.442,258.196,-110.74000000000001
383,-69.798,260.13800000000003,-116.86600000000001
384,-64.97,262.608,-123.78
385,-63.63000000000001,265.898,-130.918
386,-67.72799999999998,269.65400000000005,-138.2
387,-75.236,272.59,-145.026
388,-83.396,274.27599999999995,-150.964
389,-88.99000000000001,274.90599999999995,-156.456
390,-89.564,274.97200000000004,-162.20200000000003
391,-84.852,275.092,-169.47
392,-79.604,275.774,-176.92399999999998
393,-79.068,277.176,-184.248
394,-84.126,278.762,-191.8
395,-92.588,279.66600000000005,-199.07
396,-101.09400000000001,279.53999999999996,-205.362
397,-106.26599999999999,278.514,-210.76399999999998
398,-105.53800000000001,276.90599999999995,-216.334
399,-99.98400000000001,275.13800000000003,-223.08199999999997
400,-95.272,273.854,-230.56599999999997
401,-95.77000000000001,273.18600000000004,-237.914
402,-101.59199999999998,272.438,-245.2
403,-110.402,271.12600000000003,-252.40199999999996
404,-119.178,269.14,-258.434
405,-123.81400000000001,266.456,-263.418
406,-120.478,263.23,-268.366
407,-112.626,259.58,-274.564
408,-108.02799999999999,256.586,-281.874
409,-109.6,253.85999999999999,-289.918
410,-117.454,250.73199999999997,-298.194
411,-127.718,247.06000000000003,-305.418
412,-136.22200000000004,243.2,-310.78200000000004
413,-142.162,240.202,-313.9
414,-140.784,236.57600000000002,-316.79200000000003
415,-133.734,231.38599999999997,-321.07
416,-129.022,225.996,-326.66400000000004
417,-130.632,220.292,-333.492
418,-137.298,214.58,-340.00600000000003
419,-146.60399999999998,208.846,-345.296
420,-155.416,203.48,-348.83599999999996
421,-159.89600000000002,199.12800000000001,-350.812
422,-157.026,194.05199999999996,-352.808
423,-149.746,187.31400000000002,-355.812
424,-144.46,180.434,-359.87199999999996
