,theta,x,y
87,-5.17,1.8000000000000096,-0.17
88,-8.24,12.710000000000012,-1.16
89,-11.11,23.13000000000001,-2.66
90,-13.22,31.81000000000001,-4.37
91,-14.56,38.24000000000001,-5.88
92,-15.71,43.13000000000001,-7.15
93,-16.47,47.72000000000001,-8.44
94,-18.2,53.78000000000001,-10.23
95,-20.3,60.05000000000001,-12.29
96,-21.84,66.9,-14.83
97,-24.33,74.07000000000001,-17.7
98,-26.82,80.34,-20.53
99,-28.92,85.22000000000001,-23.0
100,-30.65,91.00000000000001,-26.19
101,-31.6,97.4,-29.99
102,-32.37,103.38000000000001,-33.67
103,-34.09,109.19000000000001,-37.35
104,-36.78,114.77000000000001,-41.13
105,-39.27,120.28000000000002,-45.25
106,-41.95,125.28,-49.33
107,-44.05,129.57000000000002,-53.18
108,-45.4,134.11,-57.58
109,-47.89,138.94,-62.47
110,-49.99,143.93,-67.99
111,-52.29,148.62,-73.59
112,-54.01,153.0,-79.25
113,-56.31,156.96,-84.7
114,-57.27,160.47,-89.96
115,-58.8,163.81,-95.16
116,-61.48,167.15,-100.68
117,-63.78,170.23000000000002,-106.36
118,-66.66,173.15,-112.28
119,-69.72,175.93,-118.72
120,-71.25,178.37,-125.31
121,-73.36,180.58,-131.82
122,-75.66,182.67000000000002,-138.82
123,-77.19,184.34,-145.35
124,-78.72,185.77,-151.65
125,-80.83,187.11,-158.39
126,-82.55,188.12,-164.63
127,-84.09,188.92000000000002,-170.76
128,-86.96,189.60000000000002,-177.32
129,-89.83,189.98000000000002,-184.47
130,-92.13,190.0,-191.77
131,-93.85,189.75,-198.65
132,-94.62,189.29000000000002,-205.37
133,-95.96,188.78,-211.67
134,-98.26,188.06,-218.65
135,-100.75,187.07000000000002,-225.46
136,-102.86,185.84,-231.94
137,-105.54,184.4,-238.24
138,-107.84,182.74,-244.19
139,-108.99,180.85000000000002,-250.07
140,-111.09,178.61,-256.58
141,-113.39,175.99,-263.39
142,-115.5,173.14000000000001,-269.96
143,-117.8,170.12,-276.3
144,-119.33,167.11,-282.01
145,-121.25,164.22,-287.16
146,-124.12,160.94,-292.56
147,-126.61,157.08,-298.25
148,-128.14,153.23000000000002,-303.44
149,-129.48,149.16,-308.63
150,-131.59,144.78,-313.94
151,-132.35,140.12,-319.19
152,-134.65,135.39000000000001,-324.38
153,-137.53,130.56,-329.27
154,-140.21,125.59,-333.82
155,-143.46,120.30000000000001,-338.22
156,-145.76,115.11000000000001,-342.07
157,-147.29,110.24000000000001,-345.39
158,-148.83,104.33000000000001,-349.18
159,-149.98,98.08000000000001,-352.96
160,-151.89,91.76,-356.61
161,-153.81,85.57000000000001,-359.92
162,-156.11,79.52000000000001,-362.9
163,-156.87,74.13000000000001,-365.28
164,-159.17,68.71000000000001,-367.6
165,-162.81,62.540000000000006,-369.95
166,-165.49,55.03000000000001,-372.27
167,-168.17,47.96000000000001,-374.1
168,-170.28,40.12000000000001,-375.74
169,-171.62,32.79000000000001,-377.0
