,theta,x,y
355,-3.29,0.5500000000000256,-8.639999999999988
356,-5.61,7.92000000000003,-9.06999999999999
357,-6.97,14.56000000000003,-9.719999999999988
358,-8.71,21.740000000000023,-10.599999999999989
359,-10.07,28.05000000000004,-11.569999999999988
360,-11.23,34.76000000000002,-12.75999999999999
361,-13.16,41.160000000000025,-14.029999999999989
362,-15.29,47.380000000000024,-15.479999999999988
363,-17.04,53.81000000000003,-17.239999999999988
364,-19.17,61.28000000000003,-19.529999999999987
365,-20.91,68.38000000000002,-21.99999999999999
366,-23.04,75.14000000000001,-24.57999999999999
367,-25.56,81.28000000000003,-27.18999999999999
368,-29.04,85.38000000000002,-29.149999999999988
369,-33.69,88.36000000000001,-30.79999999999999
370,-35.62,94.50000000000003,-34.89999999999999
371,-36.01,102.34000000000003,-40.51999999999999
372,-37.36,108.43000000000004,-44.93999999999999
373,-38.91,113.16000000000003,-48.55999999999999
374,-40.08,117.80000000000004,-52.29999999999999
375,-41.24,123.01000000000002,-56.68999999999999
376,-42.98,128.67000000000002,-61.64999999999999
377,-44.92,133.45000000000002,-66.1
378,-47.24,138.07000000000002,-70.69999999999999
379,-48.98,142.79000000000002,-75.80999999999999
380,-50.92,146.52000000000004,-80.08999999999999
381,-53.43,150.18000000000004,-84.60999999999999
382,-55.76,154.07000000000005,-89.85
383,-57.89,158.46000000000004,-96.30999999999999
384,-59.24,162.61,-102.91999999999999
385,-60.98,166.17000000000002,-108.88999999999999
386,-62.73,169.13000000000005,-114.22999999999999
387,-64.28,171.86,-119.52999999999999
388,-66.21,174.70000000000005,-125.40999999999998
389,-68.15,177.90000000000003,-132.68
390,-70.66,180.49,-139.13
391,-73.76,182.84000000000003,-145.82999999999998
392,-77.63,183.95000000000005,-149.64999999999998
393,-78.02,184.68,-152.97
394,-80.15,186.77000000000004,-162.82999999999998
395,-82.47,188.28000000000003,-171.5
396,-84.8,189.17000000000002,-178.25
397,-87.51,189.79000000000002,-185.04
398,-91.96,190.0,-190.0
399,-95.06,189.85000000000002,-194.54
400,-96.22,189.15000000000003,-202.45
401,-97.19,188.3,-210.20999999999998
402,-98.35,187.55,-216.13
403,-100.87,186.71000000000004,-221.88
404,-103.0,185.45000000000005,-228.42999999999998
405,-104.93,183.92000000000002,-235.07
406,-106.87,182.09000000000003,-241.92999999999998
407,-108.61,179.91000000000003,-249.11999999999998
408,-110.55,177.64000000000004,-255.85
409,-111.9,175.3,-262.1
410,-114.03,172.92000000000002,-268.02
411,-116.16,170.55,-273.34
412,-118.29,167.74,-279.07
413,-120.61,164.24,-285.57
414,-121.97,160.41000000000003,-292.03999999999996
415,-124.29,156.5,-298.3
416,-127.2,152.74,-303.81
417,-131.07,150.00000000000003,-307.43
418,-135.52,147.48000000000002,-310.32
419,-136.29,141.91000000000003,-315.78999999999996
420,-137.07,135.35000000000002,-322.06
421,-138.04,130.25000000000003,-326.8
422,-139.97,126.24000000000004,-330.4
423,-141.91,122.98000000000002,-333.14
424,-141.91,122.98000000000002,-333.14
