,theta,x,y
340,0.0,0.0,0.0
341,0.038,0.312,0.0
342,-0.426,2.8099999999999996,0.006
343,-0.89,9.052000000000001,-0.11000000000000001
344,-0.348,13.706,-0.29000000000000004
345,1.512,15.180000000000001,-0.312
346,2.632,18.724,-0.184
347,2.6719999999999997,28.327999999999996,0.17
348,2.364,39.147999999999996,0.45199999999999996
349,1.2,47.8,0.736
350,1.432,54.653999999999996,0.944
351,2.478,59.92199999999999,1.158
352,3.7559999999999993,65.536,1.4140000000000001
353,3.6019999999999994,72.78200000000001,1.8960000000000001
354,3.214,80.364,2.402
355,2.054,88.824,2.92
356,0.8540000000000001,96.728,3.232
357,-0.502,103.84200000000001,3.346
358,-1.084,109.758,3.2340000000000004
359,-0.9319999999999998,114.848,3.0700000000000003
360,-1.5080000000000002,122.16,3.042
361,-2.866,130.42399999999998,3.0359999999999996
362,-4.84,137.574,2.7680000000000002
363,-6.698,144.642,2.1799999999999997
364,-8.832,152.10399999999998,1.2719999999999998
365,-10.764,159.108,0.15
366,-12.854000000000003,165.852,-1.1439999999999997
367,-14.716,172.27599999999998,-2.5840000000000005
368,-17.462,177.602,-3.8920000000000003
369,-19.788,182.74399999999997,-5.32
370,-21.216,189.49599999999998,-7.758
371,-22.536,196.4,-10.642
372,-24.238000000000003,203.072,-13.401999999999997
373,-25.939999999999998,209.752,-16.304
374,-27.915999999999997,216.288,-19.332
375,-30.086000000000002,222.362,-22.474
376,-32.408,227.686,-25.696000000000005
377,-34.19,232.304,-28.792
378,-35.816,237.73599999999996,-32.477999999999994
379,-37.44199999999999,244.214,-36.912
380,-40.54,248.962,-40.48
381,-43.752,252.602,-43.774
382,-45.806,257.726,-48.624
383,-47.238,263.038,-54.07000000000001
384,-48.902,267.784,-59.278
385,-50.64399999999999,272.35,-64.50399999999999
386,-52.620000000000005,276.824,-69.806
387,-54.402,280.672,-74.786
388,-56.645999999999994,284.088,-79.738
389,-58.818000000000005,287.564,-85.264
390,-61.407999999999994,291.008,-91.054
391,-63.65599999999999,294.45200000000006,-97.298
392,-66.48400000000001,297.398,-102.852
393,-68.18599999999999,299.766,-107.826
394,-70.27799999999999,302.19999999999993,-114.28800000000001
395,-72.098,304.38199999999995,-120.806
396,-73.452,306.284,-126.99600000000001
397,-75.002,308.33799999999997,-133.848
398,-77.59599999999999,310.364,-140.446
399,-79.918,312.08599999999996,-146.922
400,-82.474,313.168,-153.62
401,-85.184,313.696,-159.286
402,-87.622,314.038,-164.686
403,-89.638,314.466,-171.814
404,-91.652,314.56399999999996,-178.836
405,-93.626,314.378,-185.148
406,-95.408,313.95200000000006,-191.59
407,-96.72000000000001,313.21999999999997,-198.56
408,-97.808,312.36,-205.06000000000003
409,-99.354,311.442,-212.344
410,-101.83399999999999,310.37399999999997,-219.502
411,-104.662,309.192,-225.586
412,-107.604,307.71799999999996,-231.11400000000003
413,-110.66199999999999,305.744,-236.762
414,-112.56000000000002,303.136,-243.45
415,-114.30199999999999,300.272,-250.33999999999997
416,-115.81200000000001,297.498,-256.68199999999996
417,-117.282,295.18600000000004,-261.672
418,-119.52799999999999,292.516,-267.358
419,-121.46399999999998,289.028,-273.49
420,-123.208,285.59399999999994,-278.55
421,-124.872,281.946,-284.032
422,-126.924,277.726,-290.362
423,-129.17000000000002,274.332,-295.402
424,-130.486,272.48,-298.39
