,theta,x,y
340,0.19,0.14,0.0
341,-0.77,0.84,0.0
342,-3.45,7.3,-0.08
343,-5.75,18.79,-0.78
344,-6.7,30.67,-1.97
345,-7.09,40.15,-3.09
346,-8.81,48.09,-4.07
347,-11.88,54.2,-5.02
348,-14.17,59.97,-6.23
349,-16.47,65.69,-7.68
350,-18.58,71.21,-9.31
351,-20.3,76.93,-11.23
352,-22.41,83.64,-13.72
353,-24.52,90.78,-16.66
354,-26.62,97.04,-19.52
355,-27.96,102.69,-22.35
356,-29.31,108.77,-25.57
357,-31.03,115.01,-29.08
358,-33.14,120.91,-32.63
359,-36.2,126.55,-36.31
360,-38.88,131.99,-40.29
361,-41.37,136.91,-44.26
362,-43.86,141.44,-48.25
363,-45.4,146.1,-52.72
364,-46.74,150.73,-57.42
365,-49.42,155.73,-62.74
366,-51.72,160.48,-68.28
367,-54.01,164.83,-73.79
368,-55.93,168.96,-79.47
369,-57.65,172.65,-84.94
370,-58.99,175.58,-89.57
371,-61.1,178.98,-95.22
372,-63.59,182.31,-101.25
373,-65.7,185.24,-107.16
374,-68.95,188.07,-113.43
375,-70.68,190.55,-119.85
376,-72.02,192.82,-126.34
377,-74.32,194.99,-133.02
378,-76.81,197.0,-140.18
379,-78.91,198.44,-146.33
380,-80.83,199.74,-152.95
381,-82.94,200.75,-159.18
382,-84.09,201.47,-165.04
383,-85.81,202.18,-171.88
384,-88.3,202.7,-179.02
385,-90.41,202.92,-186.46
386,-93.47,202.87,-193.48
387,-94.81,202.46,-200.35
388,-95.96,201.94,-206.5
389,-98.26,201.3,-212.65
390,-100.56,200.33,-219.32
391,-102.47,199.09,-225.94
392,-104.2,197.55,-232.93
393,-106.3,195.86,-239.6
394,-107.45,194.28,-244.99
395,-109.37,192.35,-251.16
396,-112.24,190.06,-257.65
397,-115.12,187.35,-264.27
398,-117.41,184.13,-271.14
399,-118.95,181.03,-277.12
400,-120.67,178.25,-282.16
401,-123.35,175.09,-287.47
402,-125.84,171.16,-293.45
403,-127.76,167.21,-298.92
404,-129.48,163.17,-304.14
405,-130.82,158.97,-309.23
406,-131.97,154.39,-314.54
407,-133.5,150.07,-319.34
408,-136.95,145.23,-324.44
409,-140.21,140.21,-329.13
410,-143.46,135.13,-333.36
411,-145.19,129.61,-337.45
412,-146.34,124.3,-341.14
413,-147.49,118.93,-344.72
414,-149.21,112.89,-348.57
415,-151.13,106.86,-352.16
416,-152.85,100.59,-355.62
417,-155.15,94.34,-358.82
418,-157.25,88.35,-361.6
419,-159.55,83.17,-363.77
420,-162.62,77.91,-365.73
421,-165.11,71.08,-367.87
422,-166.83,64.16,-369.71
423,-168.36,56.78,-371.44
424,-169.9,50.17,-372.8
