,theta,x,y
340,0.038,0.028000000000000004,0.0
341,-0.728,0.9800000000000001,0.0
342,-1.802,6.936,-0.07200000000000001
343,-1.954,18.097999999999995,-0.43599999999999994
344,-1.9140000000000001,30.006,-0.85
345,-2.7979999999999996,40.224000000000004,-1.202
346,-4.828,47.928000000000004,-1.598
347,-7.7,53.489999999999995,-2.0740000000000003
348,-9.998000000000001,57.992,-2.698
349,-11.645999999999999,63.372,-3.65
350,-12.984,70.094,-5.026000000000001
351,-14.363999999999999,77.91,-6.758000000000001
352,-15.895999999999997,85.458,-8.67
353,-17.966,92.292,-10.638
354,-20.762,97.96000000000001,-12.496
355,-22.754,103.194,-14.478000000000003
356,-24.404000000000003,108.78800000000001,-16.842000000000002
357,-26.51,115.02000000000001,-19.704
358,-28.386000000000003,121.45599999999999,-22.926
359,-30.341999999999995,127.886,-26.403999999999996
360,-32.559999999999995,134.076,-30.018
361,-34.477999999999994,139.9,-33.696
362,-37.272000000000006,145.256,-37.298
363,-39.728,150.43200000000002,-41.206
364,-41.948,155.14600000000002,-45.162
365,-44.208000000000006,159.882,-49.486000000000004
366,-46.086,164.864,-54.36200000000001
367,-47.843999999999994,169.55800000000002,-59.24400000000001
368,-49.61,174.07999999999998,-64.28
369,-51.86999999999999,178.53199999999998,-69.48400000000001
370,-54.089999999999996,182.734,-74.72399999999999
371,-56.504,186.88,-80.396
372,-58.955999999999996,190.558,-85.96000000000001
373,-60.71999999999999,193.772,-91.34199999999998
374,-62.977999999999994,196.88600000000002,-96.94800000000001
375,-64.97,200.02399999999997,-103.078
376,-66.77,202.902,-109.244
377,-68.686,205.504,-115.378
378,-70.87,208.0,-121.88200000000002
379,-73.20599999999999,210.252,-128.298
380,-75.122,212.154,-134.56599999999997
381,-77.192,213.88199999999998,-140.996
382,-78.992,215.392,-147.458
383,-81.174,216.67800000000003,-154.09
384,-83.396,217.69400000000002,-160.74200000000002
385,-84.93199999999999,218.446,-167.484
386,-86.998,219.03000000000003,-174.23399999999998
387,-88.79799999999999,219.41,-181.13400000000001
388,-90.59799999999998,219.58200000000002,-187.87599999999998
389,-92.514,219.52599999999998,-194.48399999999998
390,-94.814,219.23200000000003,-201.31199999999998
391,-97.03399999999999,218.67799999999997,-207.836
392,-98.376,217.86399999999998,-214.14000000000001
393,-100.674,216.89600000000002,-220.45
394,-102.78,215.73000000000002,-226.86599999999999
395,-104.848,214.26399999999998,-233.43
396,-107.376,212.494,-240.152
397,-109.14200000000001,210.37199999999999,-246.882
398,-110.9,208.09799999999996,-253.32399999999998
399,-112.742,205.654,-259.758
400,-115.11399999999999,203.16,-265.812
401,-117.64199999999998,200.524,-271.44
402,-120.056,197.402,-277.356
403,-122.43199999999999,194.144,-282.976
404,-123.852,190.676,-288.434
405,-125.46,187.054,-293.82800000000003
406,-127.184,182.98399999999998,-299.558
407,-128.98,178.878,-304.99199999999996
408,-131.35999999999999,174.502,-310.394
409,-133.39000000000001,169.996,-315.496
410,-135.72600000000003,165.656,-320.054
411,-138.14000000000001,160.91400000000002,-324.66999999999996
412,-140.67000000000002,155.81199999999998,-329.282
413,-142.928,150.81600000000003,-333.38800000000003
414,-144.76600000000002,145.31,-337.53
415,-146.57,139.608,-341.55000000000007
416,-147.94599999999997,134.03,-345.206
417,-149.476,128.37,-348.73
418,-151.394,122.58000000000001,-352.15
419,-153.42400000000004,116.83,-355.35
420,-156.108,110.854,-358.418
421,-158.518,104.388,-361.288
422,-160.74,98.332,-363.62
423,-162.848,92.05999999999999,-365.77200000000005
424,-164.95599999999996,85.50399999999999,-367.796
