,theta,x,y
255,0.0,5.89,0.0
256,-0.19,13.61,0.0
257,-0.19,19.78,-0.02
258,-0.77,31.42,-0.06
259,-0.96,38.3,-0.15
260,-1.53,49.1,-0.33
261,-1.53,56.11,-0.52
262,-2.3,66.21,-0.79
263,-2.68,77.14,-1.23
264,-2.3,84.71,-1.58
265,-2.49,91.3,-1.85
266,-3.44,103.49,-2.38
267,-3.83,109.37,-2.73
268,-7.08,121.55,-3.54
269,-10.14,127.95,-4.34
270,-11.48,139.42,-6.39
271,-11.48,143.27,-7.17
272,-12.63,155.09,-9.57
273,-15.69,161.39,-10.99
274,-13.21,170.98,-13.68
275,-19.9,177.67,-15.25
276,-21.24,191.52,-20.26
277,-21.43,197.4,-22.55
278,-26.03,201.32,-24.09
279,-28.13,213.55,-30.06
280,-28.52,218.5,-32.71
281,-33.68,224.54,-35.99
282,-34.45,237.38,-44.55
283,-34.26,242.12,-47.8
284,-39.81,245.48,-50.09
285,-42.68,256.8,-59.52
286,-42.87,261.44,-63.8
287,-49.18,265.04,-67.14
288,-51.1,274.76,-78.4
289,-51.48,278.28,-82.76
290,-58.75,281.78,-87.15
291,-60.86,289.13,-99.27
292,-64.3,291.31,-103.19
293,-67.37,297.03,-115.07
294,-67.75,299.62,-121.29
295,-70.62,301.59,-126.09
296,-71.0,305.5,-137.21
297,-77.51,307.23,-142.25
298,-78.66,310.27,-155.94
299,-80.76,310.74,-158.28
300,-88.23,312.2,-167.28
301,-91.86,312.44,-175.0
302,-83.63,312.16,-183.55
303,-92.82,312.94,-190.52
304,-96.07,312.23,-204.95
305,-96.46,311.49,-211.93
306,-101.24,311.03,-215.97
307,-102.77,308.24,-230.0
308,-103.15,306.94,-235.75
309,-109.47,305.89,-240.26
310,-112.34,300.88,-254.41
311,-112.91,298.59,-259.99
312,-118.27,297.06,-263.61
313,-120.76,290.48,-275.84
314,-123.44,289.05,-278.25
315,-125.93,281.08,-290.31
316,-125.35,277.54,-295.19
317,-133.77,274.13,-300.0
318,-137.22,263.85,-310.74
319,-137.79,259.21,-315.03
320,-141.62,255.47,-318.42
321,-142.58,245.46,-326.34
322,-148.32,241.45,-329.41
323,-151.96,229.87,-336.56
324,-152.53,221.33,-341.11
325,-156.17,218.72,-342.47
326,-158.08,207.42,-347.46
327,-158.08,207.16,-347.56
328,-160.76,205.34,-348.3
329,-167.27,200.57,-349.96
330,-165.35,188.8,-352.62
331,-172.43,182.15,-354.36
332,-174.73,174.09,-355.43
333,-179.71,166.54,-356.13
334,179.53,158.97,-356.17
335,179.15,146.06,-356.06
336,179.15,139.61,-355.96
337,179.34,132.74,-355.86
338,176.66,120.11,-355.71
339,176.08,119.41,-355.67
