,theta,x,y
255,0.0,0.0,0.0
256,-2.52,3.26,0.0
257,-5.81,10.92,-0.34
258,-7.55,19.25,-1.18
259,-6.78,27.97,-2.34
260,-7.36,36.57,-3.36
261,-7.94,45.15,-4.47
262,-9.29,54.01,-5.7
263,-11.04,62.41,-7.08
264,-12.78,71.19,-8.79
265,-14.91,79.63,-10.71
266,-17.23,88.13,-12.97
267,-19.75,96.67,-15.62
268,-22.26,104.55,-18.45
269,-24.78,112.57,-21.73
270,-26.72,120.04,-25.18
271,-28.46,126.76,-28.56
272,-30.59,133.87,-32.41
273,-33.3,141.69,-37.03
274,-36.98,149.16,-41.94
275,-39.49,155.85,-46.98
276,-42.59,162.42,-52.4
277,-45.11,168.69,-58.16
278,-47.82,174.7,-64.19
279,-50.34,180.23,-70.29
280,-52.47,185.57,-76.74
281,-55.37,190.84,-83.6
282,-58.47,196.01,-91.07
283,-61.18,200.46,-98.33
284,-62.92,204.63,-105.92
285,-65.44,208.31,-113.12
286,-68.73,211.91,-120.99
287,-71.63,215.05,-129.06
288,-73.76,217.83,-137.41
289,-76.86,220.21,-145.59
290,-79.18,222.14,-153.88
291,-82.09,223.72,-162.1
292,-84.99,224.91,-170.68
293,-87.7,225.65,-179.16
294,-89.64,226.0,-187.95
295,-92.54,226.06,-196.32
296,-95.64,225.64,-205.68
297,-98.16,224.76,-214.58
298,-101.06,223.53,-223.15
299,-103.77,221.9,-231.5
300,-106.09,219.94,-239.5
301,-108.61,217.54,-247.82
302,-111.51,214.78,-256.02
303,-113.64,211.5,-264.34
304,-116.35,208.14,-272.01
305,-119.65,204.17,-280.02
306,-122.94,199.75,-287.79
307,-125.26,195.12,-294.94
308,-127.78,190.45,-301.54
309,-129.33,185.41,-308.05
310,-132.23,180.28,-314.31
311,-135.13,174.47,-320.72
312,-138.23,168.23,-326.92
313,-140.55,161.88,-332.6
314,-143.07,155.63,-337.74
315,-146.56,148.6,-343.02
316,-149.85,141.61,-347.64
317,-151.78,134.25,-351.91
318,-154.49,126.24,-356.21
319,-156.24,118.18,-360.06
320,-158.95,109.86,-363.72
321,-162.04,101.39,-366.98
322,-165.14,92.75,-369.78
323,-167.66,84.38,-372.0
324,-170.37,75.78,-373.88
325,-173.85,66.83,-375.4
326,-175.02,58.08,-376.34
327,-177.14,50.02,-377.05
328,-177.34,45.06,-377.29
329,-173.66,41.23,-377.47
330,-174.43,35.31,-378.13
331,-178.11,27.26,-378.91
332,179.56,18.46,-379.2
333,179.76,10.09,-379.14
334,-179.47,1.86,-379.11
335,-179.66,-6.8,-379.19
336,178.79,-15.59,-379.24
337,178.6,-25.1,-379.04
338,179.95,-34.32,-378.81
339,-179.86,-43.26,-378.8
