,theta,x,y
340,0.0,0.0,0.0
341,-2.168,3.18,0.0
342,-5.264,10.524000000000001,-0.278
343,-6.698,19.058,-1.068
344,-6.08,27.594,-2.0740000000000003
345,-5.806,36.41799999999999,-3.022
346,-5.692,45.19,-3.9160000000000004
347,-6.35,53.85,-4.7780000000000005
348,-7.514,62.556000000000004,-5.754
349,-8.866,71.126,-6.894
350,-10.262,79.638,-8.23
351,-12.429999999999998,88.394,-9.797999999999998
352,-14.557999999999998,96.942,-11.681999999999999
353,-16.842000000000002,105.19200000000001,-13.826000000000002
354,-19.241999999999997,113.378,-16.304000000000002
355,-21.528,121.21200000000002,-19.046
356,-23.965999999999998,128.964,-22.088
357,-26.292,136.57800000000003,-25.458000000000002
358,-28.768,144.046,-29.151999999999997
359,-31.442,151.466,-33.236000000000004
360,-33.88,158.63799999999998,-37.63
361,-36.938,165.756,-42.422
362,-39.07,172.58999999999997,-47.564
363,-41.739999999999995,179.066,-52.83399999999999
364,-44.605999999999995,185.47799999999998,-58.528
365,-47.122,191.45800000000003,-64.43800000000002
366,-49.834,197.282,-70.7
367,-52.581999999999994,202.7,-77.128
368,-55.29200000000001,207.89000000000001,-83.91999999999999
369,-57.54,212.72199999999998,-90.936
370,-60.09400000000001,217.23000000000002,-98.03
371,-63.15400000000001,221.59,-105.61800000000001
372,-65.51599999999999,225.42400000000004,-113.16599999999998
373,-68.148,228.93200000000002,-120.87
374,-70.81800000000001,232.152,-128.88
375,-73.60799999999999,234.952,-136.956
376,-76.394,237.346,-145.098
377,-79.066,239.34,-153.38
378,-81.852,240.964,-161.82999999999998
379,-84.256,242.144,-170.184
380,-86.96400000000001,243.004,-178.69
381,-89.52,243.46599999999998,-187.454
382,-91.92399999999999,243.532,-196.056
383,-94.748,243.23599999999996,-204.738
384,-97.536,242.516,-213.256
385,-100.166,241.39600000000002,-221.786
386,-102.84,239.87199999999999,-230.254
387,-105.43200000000002,237.956,-238.67199999999997
388,-108.03,235.666,-246.936
389,-110.546,233.04000000000002,-255.012
390,-113.56800000000001,229.92399999999998,-263.332
391,-116.31800000000001,226.45600000000005,-271.294
392,-118.87,222.70999999999998,-278.85
393,-121.54400000000001,218.57599999999996,-286.366
394,-124.098,214.128,-293.598
395,-126.69200000000001,209.452,-300.518
396,-129.01399999999998,204.418,-307.286
397,-131.882,199.01000000000002,-313.972
398,-134.474,193.468,-320.14
399,-137.03199999999998,187.6,-326.122
400,-140.012,181.28400000000002,-332.0
401,-142.52800000000002,175.012,-337.246
402,-145.278,168.256,-342.41999999999996
403,-148.144,161.13600000000002,-347.344
404,-150.35,153.894,-351.8179999999999
405,-152.792,146.24,-356.166
406,-155.26799999999997,138.482,-360.13800000000003
407,-158.096,130.38,-363.858
408,-160.76799999999997,122.15800000000002,-367.14399999999995
409,-163.862,113.71999999999998,-370.09399999999994
410,-166.808,105.13400000000001,-372.58399999999995
411,-168.976,96.6,-374.588
412,-171.298,87.99799999999999,-376.302
413,-173.506,80.092,-377.58599999999996
414,-174.82,72.898,-378.488
415,-175.672,66.242,-379.142
416,-176.41,59.65599999999999,-379.692
417,-105.30199999999999,52.326,-380.182
418,-106.266,44.844,-380.524
419,-178.54000000000002,37.156,-380.756
420,-35.118,29.016,-380.952
421,-35.856,20.508,-381.084
422,35.989999999999995,11.876000000000001,-381.104
423,35.95,3.11,-381.1
424,-36.168000000000006,-5.662,-381.09399999999994
