,theta,x,y
255,0.0,0.0,0.0
256,0.0,0.28,0.0
257,1.34,4.35,0.0
258,1.53,15.72,0.27
259,0.96,29.62,0.64
260,-1.72,39.73,0.81
261,-3.26,43.94,0.68
262,-3.26,43.94,0.68
263,-3.06,44.08,0.67
264,-0.77,46.88,0.52
265,-1.15,61.48,0.33
266,-3.45,80.29,-0.05
267,-5.55,94.73,-0.92
268,-5.94,101.71,-1.6
269,-5.94,102.27,-1.66
270,-5.75,102.41,-1.67
271,-1.72,105.63,-2.0
272,-0.19,114.61,-2.27
273,-0.77,128.51,-2.31
274,-3.26,142.41,-2.5
275,-6.9,155.44,-3.24
276,-11.11,163.81,-4.25
277,-15.71,167.67,-5.01
278,-19.54,170.37,-5.77
279,-21.26,175.53,-7.6
280,-20.11,184.95,-11.27
281,-18.58,196.29,-15.42
282,-17.62,208.13,-19.4
283,-18.58,218.97,-22.84
284,-21.45,228.42,-26.02
285,-25.86,236.39,-29.15
286,-30.45,242.96,-32.34
287,-36.01,249.38,-36.11
288,-39.65,255.85,-40.81
289,-40.03,262.77,-46.55
290,-39.27,269.65,-52.33
291,-39.07,276.94,-58.28
292,-40.42,285.33,-65.1
293,-43.86,294.52,-72.92
294,-47.69,303.84,-81.87
295,-51.72,312.44,-91.32
296,-56.7,319.92,-100.8
297,-60.72,325.85,-109.84
298,-64.93,330.52,-118.17
299,-69.15,334.21,-126.05
300,-72.98,337.61,-134.97
301,-75.85,340.69,-145.04
302,-78.72,343.4,-155.8
303,-81.79,345.6,-166.81
304,-85.04,347.19,-177.79
305,-88.3,348.07,-188.0
306,-91.56,348.36,-197.69
307,-94.81,348.09,-207.65
308,-99.22,347.23,-217.87
309,-102.86,345.63,-227.71
310,-106.3,343.51,-237.01
311,-109.94,340.94,-245.77
312,-113.97,338.12,-253.56
313,-117.99,334.98,-260.62
314,-121.63,331.75,-266.69
315,-123.35,327.85,-273.03
316,-124.31,323.45,-279.71
317,-124.88,318.46,-287.02
318,-126.03,313.0,-294.85
319,-127.76,307.3,-302.69
320,-130.06,300.94,-310.9
321,-133.31,294.35,-318.75
322,-135.8,287.12,-326.41
323,-137.91,279.98,-333.36
324,-139.82,272.47,-340.13
325,-142.31,264.21,-347.11
326,-146.34,255.88,-353.55
327,-149.98,247.35,-359.23
328,-153.62,239.2,-363.94
329,-157.64,231.53,-367.74
330,-164.15,226.6,-369.77
331,-171.05,221.73,-371.15
332,-177.75,216.88,-371.92
333,179.57,209.59,-372.2
334,-178.13,198.63,-372.12
335,-175.83,187.13,-372.5
336,-175.64,177.18,-373.22
337,-179.47,169.62,-373.8
338,174.78,165.41,-373.84
339,170.95,161.5,-373.48
