,theta,x,y
340,0.0,0.0,0.0
341,0.038,0.25200000000000006,0.0
342,2.3739999999999997,4.209999999999999,0.002
343,4.138,15.991999999999999,0.484
344,3.562,29.736,1.486
345,-1.4919999999999998,39.318,2.08
346,-6.132,43.33200000000001,1.988
347,-8.506,45.33800000000001,1.752
348,-6.547999999999999,48.79,1.1380000000000001
349,0.42200000000000043,55.73,0.25
350,4.75,67.428,0.39799999999999985
351,3.564,80.546,1.4860000000000002
352,-3.0260000000000002,91.45200000000001,2.036
353,-10.535999999999998,98.788,1.6280000000000001
354,-14.825999999999999,102.46999999999998,0.8880000000000001
355,-14.709999999999999,105.886,-0.2720000000000001
356,-8.85,112.1,-2.072
357,-1.6059999999999999,120.352,-3.414
358,2.2980000000000005,130.806,-3.6659999999999995
359,0.19000000000000003,142.94,-3.05
360,-5.0600000000000005,155.82399999999998,-2.8440000000000003
361,-12.181999999999999,167.89600000000002,-3.658
362,-18.656000000000002,175.958,-5.302
363,-23.098,181.278,-7.053999999999999
364,-24.363999999999997,185.918,-8.975999999999999
365,-23.636,191.36399999999998,-11.284
366,-22.985999999999997,198.51799999999997,-14.158000000000001
367,-24.172,207.56400000000002,-17.857999999999997
368,-26.394,218.16800000000003,-22.748
369,-29.346000000000004,228.48200000000003,-28.139999999999997
370,-33.176,237.06199999999998,-33.192
371,-36.69799999999999,243.64399999999995,-37.566
372,-39.608,249.68,-42.038000000000004
373,-42.1,255.20999999999998,-46.574
374,-43.444,261.24799999999993,-51.984
375,-44.4,267.6139999999999,-57.92999999999999
376,-45.854,274.466,-64.45
377,-47.464,281.56,-71.648
378,-49.49400000000001,288.762,-79.40799999999999
379,-52.212,295.85,-87.606
380,-55.432,302.476,-96.016
381,-58.803999999999995,308.54,-104.63600000000001
382,-61.983999999999995,313.652,-112.91600000000001
383,-65.164,318.026,-121.04400000000001
384,-68.15,321.92199999999997,-129.382
385,-71.52000000000001,325.688,-138.632
386,-74.73799999999999,329.196,-148.87
387,-77.68800000000002,332.15999999999997,-159.49200000000002
388,-80.98400000000001,334.588,-170.45
389,-84.01,336.28200000000004,-181.068
390,-87.074,337.366,-191.344
391,-90.446,337.882,-201.102
392,-93.854,337.832,-211.06599999999997
393,-97.762,337.17,-221.206
394,-101.208,335.82000000000005,-231.22400000000002
395,-104.77000000000001,333.878,-241.10999999999999
396,-108.14200000000001,331.3,-250.942
397,-111.85799999999999,328.32000000000005,-260.096
398,-115.46,324.864,-268.758
399,-118.90799999999999,321.06600000000003,-276.774
400,-122.16199999999999,316.932,-284.272
401,-125.19000000000001,312.522,-291.28200000000004
402,-127.63999999999999,307.60599999999994,-298.254
403,-130.208,302.338,-305.13800000000003
404,-132.50799999999998,296.802,-311.764
405,-134.69199999999998,290.826,-318.4
406,-137.028,284.476,-324.91999999999996
407,-139.096,277.54,-331.454
408,-140.81799999999998,270.27799999999996,-337.762
409,-142.696,262.41999999999996,-344.152
410,-145.302,253.796,-350.70399999999995
411,-148.714,245.01,-356.788
412,-152.162,236.23600000000002,-362.122
413,-155.83800000000002,228.052,-366.454
414,-160.818,221.82,-369.28000000000003
415,-166.526,217.35,-370.85
416,-171.88799999999998,212.11800000000002,-372.13599999999997
417,-104.446,205.21800000000002,-373.208
418,-33.82600000000001,196.23600000000002,-373.866
419,-105.098,185.98399999999998,-374.22200000000004
420,-33.248000000000005,176.362,-374.65000000000003
421,-35.666,168.656,-375.02200000000005
422,104.582,162.372,-375.09599999999995
423,173.554,156.69,-374.70599999999996
424,172.52200000000002,150.85999999999999,-374.044
