,theta,x,y
176,-9.87,3.1299999999999883,-2.839999999999999
177,-10.45,11.65999999999999,-4.329999999999999
178,-12.58,20.44999999999999,-5.949999999999999
179,-12.58,29.039999999999992,-7.869999999999999
180,-14.33,37.209999999999994,-9.69
181,-16.65,45.459999999999994,-11.799999999999999
182,-18.59,54.16999999999999,-14.399999999999999
183,-20.72,62.36999999999999,-17.16
184,-23.23,70.46999999999998,-20.22
185,-25.36,77.89999999999999,-23.41
186,-27.68,85.33999999999999,-26.939999999999998
187,-30.2,92.74999999999999,-30.83
188,-32.52,99.86999999999998,-34.97
189,-35.24,106.32999999999998,-39.089999999999996
190,-36.78,113.28,-44.0
191,-40.46,120.44999999999999,-49.36
192,-43.37,127.45999999999998,-55.339999999999996
193,-45.3,133.45,-61.0
194,-48.4,139.64,-67.25
195,-50.53,145.01,-73.3
196,-53.24,150.23999999999998,-79.65
197,-55.76,155.25,-86.36
198,-58.27,160.28,-93.75
199,-60.79,164.82999999999998,-101.12
200,-63.31,168.92,-108.42
201,-66.41,172.86999999999998,-116.28999999999999
202,-68.73,176.28,-124.09
203,-71.63,179.32,-131.89
204,-74.92,182.0,-139.97
205,-76.67,184.03,-147.51
206,-79.57,186.03,-155.93
207,-81.89,187.61999999999998,-164.59
208,-84.8,188.83999999999997,-173.16
209,-87.31,189.6,-181.5
210,-90.41,190.0,-190.0
211,-93.51,189.94,-198.8
212,-95.45,189.42,-207.3
213,-97.96,188.54,-216.48
214,-101.25,187.33999999999997,-225.05
215,-103.77,185.70999999999998,-233.27
216,-106.67,183.64999999999998,-241.68
217,-109.19,181.16,-249.97
218,-111.71,178.32,-258.14
219,-113.84,175.22,-265.91999999999996
220,-117.52,171.72,-273.84000000000003
221,-120.03,167.58999999999997,-281.77
222,-122.55,163.26,-289.27
223,-126.03,158.51999999999998,-296.67999999999995
224,-127.58,153.67999999999998,-303.34000000000003
225,-130.87,148.57999999999998,-309.97
226,-133.0,143.1,-316.30999999999995
227,-135.13,137.39,-322.42999999999995
228,-137.84,131.35,-328.44000000000005
229,-141.33,125.03999999999999,-334.15
230,-144.23,118.05999999999997,-339.74
231,-146.17,111.38,-344.54999999999995
232,-148.69,104.41999999999999,-349.21000000000004
233,-151.4,97.14999999999998,-353.64
234,-153.14,90.04999999999998,-357.51
235,-156.62,82.44999999999999,-361.36
236,-159.14,73.97999999999999,-365.02
237,-161.46,65.22999999999999,-368.35
238,-164.17,56.889999999999986,-371.15
239,-167.85,48.28999999999999,-373.59000000000003
240,-170.76,39.26999999999998,-375.53
241,-172.69,30.579999999999984,-376.94000000000005
242,-175.79,21.859999999999985,-378.05999999999995
243,-176.76,13.219999999999985,-378.70000000000005
244,-178.69,5.009999999999991,-379.15999999999997
