,theta,x,y
340,0.0,0.0,0.0
341,-3.9099999999999993,2.8660000000000005,0.0
342,-10.258,9.154,-0.42800000000000005
343,-8.366,15.662,-1.5879999999999999
344,-6.970000000000001,23.392000000000003,-2.6759999999999997
345,-8.516,31.774,-3.7
346,-8.286,40.294,-4.978
347,-9.138,48.786,-6.232000000000001
348,-10.181999999999999,57.628,-7.65
349,-11.304,66.364,-9.212
350,-13.282,74.9,-10.918000000000001
351,-15.41,83.21,-12.877999999999997
352,-17.425999999999995,91.686,-15.218
353,-19.4,99.826,-17.776
354,-21.875999999999998,107.904,-20.624000000000002
355,-23.966,115.53800000000001,-23.682
356,-26.444,123.21200000000002,-27.086000000000002
357,-28.884000000000004,130.706,-30.812
358,-31.400000000000006,137.88000000000002,-34.776
359,-33.69,144.87400000000002,-39.046
360,-36.434000000000005,152.068,-43.85
361,-39.184,159.168,-49.086
362,-41.742000000000004,165.852,-54.532000000000004
363,-44.257999999999996,172.178,-60.17999999999999
364,-46.92999999999999,178.37399999999997,-66.218
365,-49.446,184.17000000000002,-72.41199999999999
366,-52.158,189.594,-78.744
367,-54.63599999999999,194.73,-85.38
368,-57.46,199.74,-92.43200000000002
369,-60.172000000000004,204.502,-99.894
370,-62.803999999999995,208.794,-107.372
371,-65.554,212.752,-115.06800000000001
372,-68.032,216.22799999999998,-122.708
373,-70.74000000000001,219.34,-130.442
374,-73.372,222.17200000000003,-138.554
375,-76.164,224.58,-146.596
376,-79.028,226.638,-154.96800000000002
377,-81.39,228.29000000000002,-163.522
378,-84.062,229.58,-172.016
379,-86.61800000000001,230.47599999999997,-180.59
380,-89.28599999999999,230.98600000000002,-189.226
381,-92.388,231.092,-197.84599999999998
382,-95.02000000000001,230.724,-206.49200000000002
383,-97.536,229.94400000000002,-215.334
384,-100.362,228.82200000000003,-223.85399999999998
385,-102.958,227.3,-232.2
386,-105.51199999999999,225.358,-240.598
387,-108.22200000000001,223.046,-248.904
388,-111.09,220.31799999999998,-257.2
389,-113.874,217.17400000000004,-265.35
390,-116.782,213.698,-273.212
391,-119.102,209.83399999999997,-280.85599999999994
392,-121.81200000000001,205.68999999999997,-288.28599999999994
393,-124.756,201.112,-295.658
394,-127.27000000000001,196.38799999999998,-302.492
395,-129.904,191.22799999999998,-309.25600000000003
396,-132.26800000000003,185.782,-315.758
397,-134.862,180.156,-321.946
398,-137.68800000000002,174.176,-327.95799999999997
399,-140.43800000000002,167.866,-333.706
400,-143.10999999999999,161.286,-339.146
401,-145.626,154.682,-344.096
402,-148.338,147.65800000000002,-348.894
403,-150.736,140.416,-353.36400000000003
404,-153.022,132.92000000000002,-357.56399999999996
405,-156.042,125.03,-361.572
406,-158.832,116.83999999999999,-365.204
407,-161.46200000000005,108.378,-368.48
408,-164.56,99.88200000000002,-371.33000000000004
409,-167.54200000000003,91.33000000000001,-373.704
410,-170.02,82.466,-375.658
411,-172.18800000000002,73.80600000000001,-377.17600000000004
412,-175.016,65.18199999999999,-378.36
413,-176.642,56.758,-379.1
414,-106.34400000000001,49.624,-379.534
415,-106.5,44.008,-379.71399999999994
416,-105.29599999999998,39.048,-379.86400000000003
417,-35.43,33.128,-380.14
418,35.564,26.094,-380.22799999999995
419,-107.77799999999999,18.346,-380.184
420,-36.203999999999986,10.373999999999999,-380.234
421,34.788,2.2020000000000004,-380.21
422,35.05999999999999,-6.106,-380.03999999999996
423,106.4,-14.872,-379.89400000000006
424,106.24600000000001,-23.78,-379.65
