,theta,x,y
340,0.0,0.0,0.0
341,0.0,0.0,0.0
342,0.0,0.0,0.0
343,0.192,0.11400000000000002,0.0
344,1.2,1.702,0.013999999999999999
345,1.5479999999999998,6.838000000000001,0.178
346,1.8980000000000001,14.923999999999998,0.392
347,2.5180000000000002,23.32,0.626
348,1.7820000000000005,32.18,1.02
349,1.278,41.318,1.4220000000000002
350,0.35000000000000003,50.78000000000001,1.6280000000000001
351,-0.11399999999999992,59.402,1.6640000000000001
352,-0.8119999999999997,68.65,1.6179999999999999
353,-1.434,78.348,1.4819999999999998
354,-1.9759999999999998,87.254,1.2639999999999998
355,-2.5940000000000003,95.818,0.9620000000000001
356,-3.332,104.40799999999999,0.5799999999999998
357,-4.104,112.994,0.08200000000000003
358,-4.726000000000001,121.59799999999998,-0.5380000000000001
359,-5.536,130.446,-1.272
360,-6.736,139.284,-2.154
361,-7.9,148.11999999999998,-3.2340000000000004
362,-9.216,156.94,-4.465999999999999
363,-10.645999999999999,166.42800000000003,-5.994
364,-12.35,175.89600000000002,-7.784000000000001
365,-14.25,184.894,-9.756
366,-16.302,193.65800000000002,-11.959999999999999
367,-18.351999999999997,202.546,-14.552000000000001
368,-20.678,211.02400000000003,-17.416000000000004
369,-23.23,219.552,-20.637999999999998
370,-26.058,228.07799999999997,-24.228
371,-28.732,236.14800000000005,-28.142000000000003
372,-31.750000000000007,243.82200000000003,-32.38
373,-34.422000000000004,251.2,-36.962
374,-37.17399999999999,258.62,-42.004000000000005
375,-39.69,265.59399999999994,-47.284000000000006
376,-42.396,272.24,-52.843999999999994
377,-45.07,278.822,-58.910000000000004
378,-47.972,284.90599999999995,-65.048
379,-50.53,291.082,-71.876
380,-53.2,296.9440000000001,-78.974
381,-55.836,302.31800000000004,-86.132
382,-58.586,307.54800000000006,-93.84400000000001
383,-61.604,312.228,-101.53600000000002
384,-64.506,316.358,-109.18799999999999
385,-66.98599999999999,320.23,-117.322
386,-69.464,323.852,-125.944
387,-71.864,327.052,-134.548
388,-74.84599999999999,330.17600000000004,-143.924
389,-78.176,332.756,-153.196
390,-81.194,334.55,-161.67000000000002
391,-84.41,335.80999999999995,-169.926
392,-87.39200000000001,336.602,-178.356
393,-90.372,336.98,-186.988
394,-93.23999999999998,336.92600000000004,-195.798
395,-96.024,336.448,-204.57
396,-98.736,335.48400000000004,-213.752
397,-101.87199999999999,334.15600000000006,-222.45999999999998
398,-104.816,332.47799999999995,-230.53199999999998
399,-107.56400000000001,330.296,-238.76799999999997
400,-110.31400000000001,327.662,-247.05599999999998
401,-112.83,324.744,-255.00799999999998
402,-115.46399999999998,321.35600000000005,-263.07800000000003
403,-118.174,317.748,-270.644
404,-120.69000000000001,313.38,-278.746
405,-123.44000000000001,308.682,-286.60200000000003
406,-126.03399999999999,303.71,-294.088
407,-128.744,298.25,-301.57800000000003
408,-131.336,292.432,-308.86
409,-134.05,286.044,-316.146
410,-136.49200000000002,279.52,-322.89
411,-138.464,273.47799999999995,-328.67400000000004
412,-140.438,267.76000000000005,-333.79799999999994
413,-142.71999999999997,261.87399999999997,-338.642
414,-145.35399999999998,256.778,-342.52200000000005
415,-147.564,252.286,-345.65
416,-151.276,248.14399999999995,-348.11199999999997
417,-153.214,245.998,-348.996
418,-155.61599999999999,242.10999999999999,-350.54
419,-157.978,237.26799999999997,-352.298
420,-160.37999999999997,231.93600000000006,-353.946
421,-162.16,225.61599999999999,-355.54400000000004
422,-163.63199999999998,218.738,-357.014
423,-165.026,212.098,-358.222
424,-166.26399999999998,205.054,-359.402
