,theta,x,y
85,0.0,0.0,0.0
86,-3.48,2.55,0.0
87,-10.84,7.94,-0.33
88,-12.39,14.35,-1.56
89,-7.55,21.7,-3.17
90,-10.65,30.14,-4.29
91,-10.84,38.92,-5.94
92,-10.45,47.29,-7.54
93,-12.78,55.66,-9.09
94,-14.33,64.24,-11.03
95,-15.49,72.77,-13.21
96,-18.2,81.52,-15.64
97,-19.94,89.47,-18.25
98,-22.26,97.21,-21.06
99,-24.97,105.35,-24.39
100,-26.72,112.69,-27.81
101,-29.23,120.17,-31.57
102,-31.75,126.98,-35.38
103,-34.27,134.58,-40.09
104,-37.56,142.2,-45.28
105,-39.69,149.07,-50.56
106,-42.2,155.73,-56.09
107,-44.53,161.82,-61.62
108,-47.82,167.79,-67.49
109,-49.95,173.42,-73.69
110,-52.66,178.9,-80.21
111,-55.18,184.15,-87.09
112,-58.08,189.01,-94.08
113,-60.98,193.74,-101.67
114,-63.31,197.94,-109.24
115,-66.02,201.63,-116.6
116,-69.12,205.09,-124.38
117,-72.02,207.98,-131.94
118,-74.15,210.65,-140.17
119,-76.86,213.05,-148.63
120,-79.57,215.12,-157.48
121,-82.28,216.61,-165.57
122,-84.99,217.79,-174.29
123,-88.86,218.55,-182.92
124,-90.41,218.71,-191.43
125,-93.51,218.65,-200.23
126,-95.45,218.11,-209.01
127,-98.74,217.32,-217.35
128,-102.03,216.0,-225.9
129,-103.96,214.23,-234.23
130,-106.29,212.17,-242.49
131,-108.8,209.75,-250.8
132,-112.29,206.91,-259.13
133,-114.81,203.52,-267.41
134,-117.9,199.95,-275.14
135,-120.81,195.76,-283.04
136,-123.13,191.55,-290.11
137,-125.84,186.89,-297.24
138,-127.97,181.83,-304.25
139,-130.87,176.59,-310.97
140,-133.2,171.2,-317.19
141,-136.1,165.47,-323.3
142,-139.78,159.03,-329.49
143,-141.72,152.31,-335.18
144,-144.23,145.96,-340.19
145,-146.94,139.05,-345.17
146,-149.65,132.15,-349.66
147,-152.36,124.56,-354.1
148,-155.07,116.76,-358.18
149,-157.01,108.27,-362.13
150,-159.53,100.04,-365.62
151,-163.59,91.4,-368.85
152,-165.92,82.68,-371.41
153,-168.63,74.15,-373.55
154,-169.98,70.95,-374.2
155,-169.98,70.95,-374.2
156,-169.98,70.95,-374.2
157,-169.98,70.95,-374.2
158,-169.98,70.95,-374.2
159,-169.98,70.95,-374.2
160,-169.98,70.95,-374.2
161,-169.98,70.95,-374.2
162,-169.98,70.95,-374.2
163,-169.98,70.95,-374.2
164,-169.98,70.95,-374.2
165,-169.98,70.95,-374.2
166,-169.98,71.23,-374.15
167,-169.98,71.23,-374.15
168,-176.18,66.76,-374.94
169,176.85,57.13,-375.58
