,theta,x,y
340,0.0,0.0,0.0
341,-3.7939999999999996,2.838,0.0
342,-9.138,8.73,-0.39
343,-8.288,16.008,-1.552
344,-6.775999999999999,24.060000000000002,-2.6900000000000004
345,-7.781999999999999,32.084,-3.6420000000000003
346,-7.434,40.422000000000004,-4.788
347,-8.518,48.848,-5.8919999999999995
348,-9.95,57.39399999999999,-7.1819999999999995
349,-11.346,66.10399999999998,-8.706
350,-12.854000000000003,74.632,-10.408
351,-15.178,83.082,-12.34
352,-17.27,91.338,-14.578
353,-19.588,99.614,-17.148
354,-21.951999999999998,107.708,-20.016
355,-24.240000000000002,115.35799999999999,-23.092000000000002
356,-26.753999999999998,122.95599999999999,-26.502000000000002
357,-29.000000000000007,130.32199999999997,-30.202000000000005
358,-31.363999999999997,137.77,-34.358
359,-34.19,144.89,-38.73
360,-36.474000000000004,151.56199999999998,-43.274
361,-39.184000000000005,158.53,-48.428000000000004
362,-41.584,165.2,-53.864
363,-44.41199999999999,171.666,-59.59400000000001
364,-46.966,177.74999999999997,-65.522
365,-49.6,183.508,-71.694
366,-52.388,189.072,-78.26399999999998
367,-55.06,194.21800000000002,-84.94800000000001
368,-57.577999999999996,199.05,-91.906
369,-60.21,203.62199999999999,-99.096
370,-62.882000000000005,207.86999999999998,-106.48599999999999
371,-65.398,211.76400000000004,-114.06800000000001
372,-68.148,215.288,-121.768
373,-70.78,218.496,-129.754
374,-73.68599999999999,221.32600000000002,-137.85399999999998
375,-76.164,223.69,-146.01399999999998
376,-78.952,225.704,-154.206
377,-81.7,227.342,-162.628
378,-84.41,228.59,-171.206
379,-86.926,229.42,-179.566
380,-89.87,229.87600000000003,-188.108
381,-92.308,229.888,-196.8
382,-95.13399999999999,229.54000000000002,-205.36999999999998
383,-97.92399999999999,228.76999999999998,-214.05
384,-100.71000000000001,227.58800000000002,-222.62600000000003
385,-103.34400000000001,225.99200000000002,-231.02800000000002
386,-106.09400000000001,224.006,-239.43
387,-108.76400000000001,221.586,-247.77799999999996
388,-111.128,218.82599999999996,-255.902
389,-113.91400000000002,215.738,-263.932
390,-116.81800000000001,212.22600000000003,-271.81399999999996
391,-119.606,208.404,-279.394
392,-122.08399999999999,204.178,-286.826
393,-124.67999999999999,199.58599999999998,-294.20200000000006
394,-127.38799999999999,194.738,-301.21000000000004
395,-129.982,189.6,-307.934
396,-132.73000000000002,184.196,-314.376
397,-135.484,178.32600000000002,-320.706
398,-137.884,172.322,-326.62199999999996
399,-140.594,166.156,-332.21200000000005
400,-143.34,159.61399999999998,-337.586
401,-145.82000000000002,152.98600000000002,-342.5200000000001
402,-148.528,145.86599999999999,-347.35400000000004
403,-151.202,138.496,-351.856
404,-153.722,130.822,-356.046
405,-156.546,122.97,-359.906
406,-159.178,114.80999999999999,-363.436
407,-161.73600000000002,106.394,-366.632
408,-164.522,97.966,-369.434
409,-166.922,90.57000000000001,-371.57000000000005
410,-168.898,83.61399999999999,-373.284
411,-171.06599999999997,76.672,-374.68
412,-172.76999999999998,69.892,-375.742
413,-173.932,63.645999999999994,-376.53
414,-175.054,57.407999999999994,-377.12199999999996
415,-104.758,51.12,-377.534
416,-104.872,45.815999999999995,-377.66999999999996
417,-105.25999999999999,40.942,-377.778
418,38.275999999999996,35.494,-377.85
419,-34.344,29.396000000000004,-377.862
420,37.656,22.695999999999998,-377.812
421,37.306,15.972000000000003,-377.748
422,109.26799999999999,9.076000000000002,-377.636
423,107.56400000000001,1.2579999999999991,-377.678
424,177.858,-7.876000000000002,-377.62
