,Unnamed: 0,Unnamed: 0.1,theta,x,y
0,0,0,-2.87,2.3785693326374795,0.08251018019914691
1,1,1,-8.42,7.294284865536559,0.0028810422237024436
2,2,2,-8.23,13.291204140503368,-0.6696211581679253
3,3,3,-6.7,19.980482093594457,-1.398154250271144
4,4,4,-6.32,28.08855977380455,-2.067464590605807
5,5,5,-3.64,35.36193616278818,-2.615639657692432
6,6,6,-4.02,42.65385403097913,-2.8329730503352155
7,7,7,-3.25,49.66663357583624,-3.0800015005866173
8,8,8,-2.87,56.67629298782869,-3.237084051704669
9,9,9,-1.53,63.55395045694095,-3.3387095286494604
10,10,10,-3.06,70.28614518008636,-3.285284724924454
11,11,11,-2.49,77.4350270723163,-3.4175257584456036
12,12,12,-2.3,83.75094108046684,-3.4786014626816857
13,13,13,-1.15,90.20607756885488,-3.5148356493208643
14,14,14,-0.96,97.07645472794958,-3.4065873616211717
15,15,15,-1.15,104.7963209344148,-3.268871152421785
16,16,16,-0.96,111.94722314256096,-3.1709037622838516
17,17,17,-0.0,118.81690693879683,-3.0426674969989707
18,18,18,-2.3,125.55285538500549,-2.8090042135778575
19,19,19,-1.91,132.56834860863762,-2.845812217755367
20,20,20,-2.11,139.72237094964845,-2.837790726750784
21,21,21,-1.72,146.7371708104218,-2.854610753343106
22,22,22,-1.91,153.89015310714436,-2.8166072959607407
23,23,23,-1.72,161.32435381577727,-2.8088727137253233
24,24,24,-1.34,167.77741021558887,-2.785142967608935
25,25,25,-3.25,173.6683764730093,-2.710869459991245
26,26,26,-0.57,180.67803588500172,-2.8679520111092973
27,27,27,-2.87,187.9760744736016,-2.6848324891894833
28,28,28,-0.96,195.2645255274984,-2.8022259939063248
29,29,29,-2.3,202.4243816801489,-2.673929955961199
30,30,30,-0.77,209.43987490378103,-2.710737960138712
31,31,31,-3.06,216.7289595478765,-2.557947086026092
32,32,32,-1.15,223.46739453675127,-2.684414080567785
33,33,33,-4.21,230.47803422037168,-2.581306241648974
34,34,34,-0.57,237.6217756638208,-2.853809799695853
35,35,35,-4.78,244.639982566228,-2.6803973577994697
36,36,36,-0.38,251.78649746111228,-3.032852826187105
37,37,37,-4.4,259.213764541157,-2.8252384680998
38,38,38,-0.77,266.92959011578984,-3.147939106218571
39,39,39,1.15,273.3788330198779,-3.014275483383646
40,40,40,-4.21,279.820448932519,-2.6607441071116398
41,41,41,-4.59,287.1147935707158,-2.9480354213025866
42,42,42,0.38,294.68105599488905,-3.2859302696550774
43,43,43,-2.49,302.10485626063974,-2.978376023641827
44,44,44,-2.87,308.84086447950864,-3.03488509663536
45,45,45,0.57,315.85913115457606,-3.151645011153624
46,46,46,-3.44,323.28189137603846,-2.8141087987625912
47,47,47,-3.44,330.85329424899265,-3.0117411225893527
48,48,48,1.53,338.4243504405174,-3.199379457623516
49,49,49,-2.3,345.71337531195263,-2.7564162270962504
50,50,50,-2.49,352.58860601105897,-2.788083782492881
51,51,51,0.96,359.5951452901868,-2.8552204344775833
52,52,52,-3.44,367.3059977794874,-2.4576605166707384
53,53,53,-3.25,373.89556298076144,-2.6193096990313385
54,54,54,1.53,381.0454849172797,-2.78153269893027
55,55,55,-2.68,388.33450978871485,-2.3385694684030045
56,56,56,-2.87,395.7618366414198,-2.4211274667303466
57,57,57,1.72,403.06028168410927,-2.538174290017778
58,58,58,-2.87,410.6177575272269,-2.0458747057261104
59,59,59,-2.49,417.6356775208649,-2.1526406314517805
60,60,60,1.72,424.36169175094113,-2.2094963858747247
61,61,61,-3.25,431.3701915733249,-1.7562522577856958
62,62,62,0.38,438.80063855889455,-1.9287561552463894
63,63,63,0.38,446.3640079863121,-1.6063543804288285
64,64,64,-3.64,453.23848554989945,-1.3278616018256235
65,65,65,0.96,460.24953168760953,-1.5249201081140535
66,66,66,-2.49,467.8108210264506,-1.1425544005409243
67,67,67,0.38,474.12638835317176,-1.193636115984412
68,68,68,-2.3,480.8509560848701,-0.9203435588223321
69,69,69,-0.57,488.0063651515986,-0.9522980229881283
70,70,70,-1.91,494.6048245247168,-0.7934462011268876
71,71,71,-1.15,501.3384059735799,-0.7799973525722598
72,72,72,-1.72,508.4893081817261,-0.6820299624343283
73,73,73,-0.38,515.082280424634,-0.6534466763062281
74,74,74,-2.68,522.0894532939603,-0.4503989494614697
75,75,75,-1.34,529.5271208168873,-0.5426042551519931
76,76,76,-1.72,537.0988105986105,-0.46005821135670316
77,77,77,-1.53,544.2617868841257,-0.4217080725449309
78,78,78,-1.34,551.1342441317969,-0.3734237176008082
79,79,79,-1.15,558.2854930213726,-0.28545031625546374
80,80,80,-1.53,565.576311072615,-0.1826293861058198
81,81,81,-0.77,572.598678152175,-0.12914480972057168
82,82,82,-2.3,579.6075844286485,0.023932973161212165
83,83,83,-1.91,586.6230776522806,-0.01287503101629989
84,84,84,-2.3,593.9170158363876,0.0
