,theta,x,y
85,0.0,5.05,0.0
86,0.0,16.27,0.0
87,4.98,27.5,0.0
88,5.17,27.92,0.04
89,1.72,38.53,1.0
90,1.34,45.83,1.22
91,0.77,51.3,1.34
92,-4.59,59.43,1.45
93,-4.59,65.58,0.96
94,-4.4,72.44,0.41
95,-5.36,83.49,-0.44
96,-5.17,89.21,-0.98
97,-5.55,94.24,-1.43
98,-6.32,104.58,-2.44
99,-6.7,111.27,-3.18
100,-6.89,116.15,-3.75
101,-6.12,124.78,-4.8
102,-6.12,131.2,-5.48
103,-6.32,138.03,-6.22
104,-6.12,146.82,-7.19
105,-5.74,153.23,-7.88
106,-4.98,159.1,-8.47
107,-4.78,169.02,-9.33
108,-4.59,173.35,-9.69
109,-4.78,184.96,-10.63
110,-4.98,191.53,-11.18
111,-5.17,196.7,-11.63
112,-5.55,202.57,-12.16
113,-5.55,213.18,-13.19
114,-5.36,218.63,-13.72
115,-5.17,224.91,-14.31
116,-5.93,233.02,-15.04
117,-6.12,239.57,-15.72
118,-4.59,249.62,-16.8
119,-4.59,254.65,-17.2
120,-4.98,264.44,-17.99
121,-6.12,271.15,-18.57
122,-6.12,277.57,-19.26
123,-6.12,288.72,-20.46
124,-6.7,293.61,-20.98
125,0.57,303.64,-22.16
126,-3.64,307.29,-22.13
127,-5.36,317.23,-22.76
128,-5.36,323.37,-23.33
129,-4.98,329.24,-23.88
130,-4.98,340.98,-24.91
131,-4.59,346.57,-25.39
132,-4.59,351.04,-25.75
133,-4.4,356.22,-26.17
134,-4.59,368.11,-27.08
135,-5.17,374.68,-27.61
136,-5.55,379.99,-28.09
137,-5.74,391.86,-29.24
138,-6.12,397.16,-29.78
139,-1.53,402.46,-30.35
140,-2.11,409.05,-30.52
141,-4.78,421.95,-31.0
142,-2.68,424.89,-31.24
143,-3.25,434.0,-31.67
144,-4.02,440.72,-32.05
145,-3.44,447.3,-32.51
146,-2.49,456.96,-33.09
147,-2.87,463.69,-33.39
148,-3.25,469.01,-33.65
149,-3.83,477.27,-34.12
150,-10.33,483.99,-34.57
151,-2.87,491.03,-35.86
152,-8.42,501.26,-36.37
153,-8.99,502.79,-36.6
154,-9.19,514.29,-38.42
155,-9.38,519.96,-39.33
156,-9.57,525.92,-40.32
157,-5.74,536.98,-42.18
158,-5.55,542.99,-42.79
159,-5.55,549.13,-43.38
160,-5.55,556.11,-44.06
161,-5.36,566.3,-45.05
162,-5.17,570.08,-45.41
163,-5.55,577.34,-46.06
164,-6.12,583.9,-46.7
165,-6.89,593.39,-47.72
166,-7.08,600.21,-48.54
167,-7.46,608.01,-49.51
168,-7.27,612.88,-50.15
169,-7.66,623.73,-51.53
