,theta,x,y
340,-0.38,5.33,0.0
341,-0.38,9.82,-0.03
342,4.59,19.36,-0.09
343,1.53,22.16,0.13
344,-1.91,32.25,0.4
345,-1.53,38.7,0.19
346,-1.53,44.31,0.04
347,-1.91,50.48,-0.13
348,-2.49,58.19,-0.39
349,-2.87,64.36,-0.66
350,-2.68,71.51,-1.01
351,-2.3,76.27,-1.24
352,-2.3,86.93,-1.66
353,-4.21,91.97,-1.87
354,-4.59,101.21,-2.55
355,-3.83,108.2,-3.11
356,-4.02,114.78,-3.55
357,-4.4,120.09,-3.92
358,-5.36,130.03,-4.69
359,-5.55,134.91,-5.14
360,-6.12,141.2,-5.75
361,-6.32,150.26,-6.73
362,-6.32,156.96,-7.47
363,-7.08,163.93,-8.24
364,-7.66,169.64,-8.95
365,-8.04,178.81,-10.18
366,-7.46,184.79,-11.03
367,-6.89,190.77,-11.81
368,-7.08,200.1,-12.94
369,-7.66,206.36,-13.72
370,-7.85,211.79,-14.44
371,-2.11,220.96,-15.71
372,-1.53,225.87,-15.89
373,-3.25,231.62,-16.04
374,-6.51,240.44,-16.54
375,-7.27,246.85,-17.28
376,-8.04,252.7,-18.02
377,-4.21,261.86,-19.32
378,-3.06,268.02,-19.77
379,-3.25,274.88,-20.14
380,-3.64,280.21,-20.44
381,-3.25,290.01,-21.06
382,-3.83,292.95,-21.23
383,-4.59,304.15,-21.98
384,-4.78,310.16,-22.46
385,-4.98,315.61,-22.92
386,-5.17,326.93,-23.9
387,-5.17,331.68,-24.33
388,-5.36,339.37,-25.03
389,-5.36,345.23,-25.58
390,-4.78,351.8,-26.19
391,-5.93,362.42,-27.08
392,-6.51,369.26,-27.79
393,-6.32,374.7,-28.41
394,-0.57,384.18,-29.46
395,0.19,387.55,-29.5
396,0.38,398.63,-29.46
397,-3.44,402.84,-29.43
398,-5.55,410.82,-29.91
399,-5.74,417.38,-30.55
400,-3.06,425.2,-31.34
401,-2.3,431.08,-31.65
402,-2.3,438.09,-31.93
403,-3.06,445.38,-32.22
404,-3.06,450.14,-32.48
405,-3.64,459.81,-33.0
406,-4.02,465.13,-33.33
407,-4.4,473.53,-33.92
408,-4.02,480.24,-34.44
409,-4.4,485.56,-34.81
410,-4.59,491.01,-35.23
411,-4.78,497.59,-35.76
412,-4.02,506.81,-36.53
413,-4.02,512.69,-36.95
414,-3.83,518.43,-37.35
415,-4.59,527.67,-37.97
416,-4.59,530.46,-38.19
417,-4.98,539.41,-38.91
418,-5.55,543.19,-39.24
419,-5.74,550.59,-39.96
420,-5.55,554.91,-40.39
421,-6.51,563.43,-41.22
422,-6.51,570.12,-41.99
423,-6.7,578.07,-42.89
424,-6.12,584.62,-43.66
