,theta,x,y
340,-1.6060000000000003,4.4879999999999995,0.0
341,-0.03800000000000001,11.232,-0.314
342,1.9140000000000001,17.881999999999998,-0.342
343,0.22999999999999993,23.324,-0.27
344,-0.9940000000000001,31.556,-0.13799999999999996
345,-1.072,38.626,-0.252
346,-1.222,44.404,-0.366
347,-2.524,52.702,-0.554
348,-3.06,58.922000000000004,-0.828
349,-4.056,66.04,-1.206
350,-4.478,74.184,-1.786
351,-4.48,80.72599999999998,-2.3120000000000003
352,-4.938000000000001,89.23,-2.958
353,-5.206,95.296,-3.496
354,-5.434,102.336,-4.136000000000001
355,-5.9719999999999995,109.09400000000001,-4.772
356,-5.742,116.458,-5.556
357,-5.7780000000000005,122.85,-6.19
358,-6.01,131.38799999999998,-7.078
359,-5.892,137.82999999999998,-7.758000000000001
360,-6.238,143.888,-8.378
361,-5.782,151.084,-9.154
362,-4.9,159.824,-10.038
363,-5.128,165.468,-10.526
364,-4.746,173.84999999999997,-11.262
365,-5.054,181.11000000000004,-11.9
366,-5.244000000000001,187.512,-12.446000000000002
367,-5.398000000000001,193.65599999999998,-13.002
368,-4.822,202.84199999999998,-13.882000000000001
369,-4.747999999999999,209.43800000000002,-14.398000000000001
370,-5.438,215.7,-14.898
371,-4.401999999999999,224.14600000000002,-15.788
372,-4.246,229.348,-16.194
373,-4.13,237.43,-16.828000000000003
374,-4.859999999999999,243.948,-17.298000000000002
375,-5.398000000000001,252.224,-17.978
376,-4.8999999999999995,258.678,-18.58
377,-4.324,265.74000000000007,-19.216
378,-4.247999999999999,274.296,-19.906
379,-4.324000000000001,280.78600000000006,-20.369999999999997
380,-3.1399999999999997,287.136,-20.886000000000003
381,-4.0200000000000005,294.662,-21.375999999999998
382,-4.556,300.986,-21.822000000000003
383,-4.784000000000001,309.264,-22.438
384,-4.554,316.196,-23.038
385,-4.674,323.38,-23.628
386,-4.824000000000001,331.492,-24.256
387,-4.632000000000001,337.606,-24.817999999999998
388,-3.7880000000000003,345.16,-25.43
389,-3.904,351.564,-25.910000000000004
390,-3.9800000000000004,358.614,-26.386000000000003
391,-4.786,365.97200000000004,-26.862000000000002
392,-3.4819999999999993,374.02,-27.556
393,-3.982,380.64,-27.962
394,-4.286,388.528,-28.477999999999998
395,-3.6380000000000003,395.14399999999995,-29.068
396,-4.096000000000001,403.76800000000003,-29.518
397,-4.324,409.696,-29.982
398,-5.014000000000001,417.58000000000004,-30.583999999999996
399,-5.014,424.904,-31.206
400,-4.093999999999999,430.996,-31.741999999999997
401,-3.906,438.58000000000004,-32.264
402,-4.096,445.938,-32.804
403,-4.552,452.37,-33.268
404,-4.555999999999999,459.642,-33.842
405,-5.932,466.076,-34.33
406,-4.478,472.98999999999995,-35.062
407,-5.1659999999999995,481.27199999999993,-35.682
408,-4.862,486.302,-36.108000000000004
409,-5.053999999999999,493.804,-36.827999999999996
410,-5.282,500.2799999999999,-37.38
411,-5.510000000000001,506.816,-37.977999999999994
412,-4.862,515.0919999999999,-38.826
413,-4.746,521.938,-39.434000000000005
414,-4.822,527.526,-39.910000000000004
415,-4.782,534.82,-40.534000000000006
416,-4.822,542.7239999999999,-41.204
417,-5.0920000000000005,548.4559999999999,-41.696
418,-5.321999999999999,555.496,-42.326
419,-5.587999999999999,562.338,-42.980000000000004
420,-5.78,569.4019999999999,-43.672000000000004
421,-6.01,575.708,-44.318
422,-5.436,583.8279999999999,-45.176
423,-5.052,589.02,-45.696000000000005
424,-4.364,598.068,-46.518
