,theta,x,y
255,-1.91,2.24,0.0
256,-7.08,7.15,-0.16
257,-3.64,13.28,-0.92
258,-6.12,19.58,-1.33
259,-2.68,26.55,-2.07
260,-4.02,33.7,-2.41
261,-3.25,40.98,-2.92
262,-3.06,48.4,-3.34
263,-1.15,54.0,-3.64
264,-1.91,60.74,-3.78
265,-1.72,67.61,-4.01
266,-2.49,74.34,-4.21
267,-2.68,81.77,-4.53
268,-2.11,89.19,-4.88
269,0.38,94.38,-5.07
270,-2.11,100.97,-5.02
271,-1.34,108.54,-5.3
272,-1.53,115.7,-5.47
273,-1.53,122.71,-5.66
274,-1.53,129.16,-5.83
275,0.38,134.77,-5.98
276,-1.72,141.36,-5.94
277,-1.53,148.79,-6.16
278,-1.91,155.81,-6.35
279,-2.3,162.54,-6.57
280,-2.68,169.54,-6.85
281,-0.77,175.43,-7.13
282,-1.15,182.44,-7.22
283,-2.11,189.6,-7.37
284,-1.91,196.75,-7.63
285,-2.11,203.9,-7.87
286,0.0,209.65,-8.08
287,-1.53,215.82,-8.08
288,-2.11,222.97,-8.27
289,-2.11,229.14,-8.5
290,-1.72,235.87,-8.74
291,-1.15,243.02,-8.96
292,-0.19,250.17,-9.1
293,-1.91,256.49,-9.12
294,-2.11,262.8,-9.33
295,-0.19,268.96,-9.56
296,0.0,275.28,-9.58
297,-2.11,281.31,-9.58
298,-1.53,288.46,-9.84
299,-1.15,295.75,-10.04
300,-0.77,303.05,-10.19
301,-0.57,310.48,-10.29
302,0.96,316.37,-10.34
303,-1.34,323.11,-10.23
304,-1.53,329.98,-10.39
305,-1.34,336.85,-10.58
306,0.57,342.74,-10.71
307,-0.38,349.89,-10.64
308,0.0,356.63,-10.69
309,-0.38,363.36,-10.69
310,-1.53,370.38,-10.73
311,-1.34,377.53,-10.93
312,-1.34,384.82,-11.1
313,-1.72,392.11,-11.27
314,1.34,399.69,-11.49
315,-2.11,407.26,-11.32
316,-1.15,414.41,-11.58
317,-1.34,421.28,-11.72
318,-0.57,427.45,-11.86
319,-0.96,433.91,-11.93
320,-0.38,439.94,-12.03
321,-0.77,447.23,-12.08
322,0.57,453.83,-12.16
323,-1.53,460.14,-12.1
324,-0.77,466.87,-12.28
325,-1.72,473.18,-12.37
326,-0.57,479.07,-12.54
327,-0.77,485.67,-12.61
328,0.96,491.7,-12.69
329,-2.87,498.15,-12.58
330,-0.96,504.59,-12.9
331,-0.38,511.47,-13.02
332,1.72,516.66,-13.05
333,-3.44,522.97,-12.86
334,-0.38,528.29,-13.18
335,-2.3,534.46,-13.23
336,-1.72,541.05,-13.49
337,-1.15,547.92,-13.7
338,0.77,553.25,-13.8
339,-2.11,559.0,-13.73
