,theta,x,y
340,-2.45,2.1279999999999997,0.0
341,-7.808,7.234,-0.21800000000000003
342,-5.628000000000001,13.434000000000001,-1.0719999999999998
343,-5.588000000000001,19.822000000000003,-1.706
344,-4.748,27.022,-2.4159999999999995
345,-4.132,34.178000000000004,-3.0119999999999996
346,-3.942,41.146,-3.5159999999999996
347,-3.3280000000000003,48.08800000000001,-3.9939999999999998
348,-2.986,54.556,-4.374
349,-2.6399999999999997,61.477999999999994,-4.734
350,-2.794,68.65,-5.069999999999999
351,-2.3739999999999997,75.68199999999999,-5.408
352,-2.3739999999999997,82.3,-5.686
353,-2.222,89.194,-5.981999999999999
354,-1.494,95.446,-6.218
355,-1.7240000000000002,102.232,-6.398
356,-1.95,109.128,-6.608
357,-1.8379999999999999,115.94000000000001,-6.8340000000000005
358,-2.526,122.95,-7.064
359,-2.1420000000000003,129.678,-7.359999999999999
360,-2.032,136.43599999999998,-7.616
361,-2.3720000000000003,143.302,-7.864
362,-2.6399999999999997,150.506,-8.164
363,-2.412,157.678,-8.492
364,-2.7939999999999996,164.68599999999998,-8.79
365,-2.87,171.578,-9.132000000000001
366,-2.106,178.248,-9.468
367,-1.9899999999999998,185.22599999999997,-9.72
368,-2.7960000000000003,192.32,-9.97
369,-2.374,199.24200000000002,-10.3
370,-2.68,205.914,-10.574
371,-2.106,212.60999999999999,-10.888
372,-2.372,219.42199999999997,-11.139999999999999
373,-2.718,226.342,-11.427999999999999
374,-2.26,233.01,-11.738
375,-2.2199999999999998,239.93400000000003,-12.010000000000002
376,-1.414,246.69,-12.276
377,-2.41,253.92199999999997,-12.454
378,-1.2259999999999998,261.07,-12.764
379,-1.9140000000000001,267.97,-12.908000000000001
380,-2.45,274.69399999999996,-13.142000000000001
381,-1.4540000000000002,281.64399999999995,-13.447999999999999
382,-1.0740000000000003,288.31600000000003,-13.624
383,-2.2979999999999996,295.214,-13.75
384,-1.7600000000000002,302.336,-14.036000000000001
385,-1.3400000000000003,309.54,-14.256
386,-2.1799999999999997,316.77799999999996,-14.419999999999998
387,-0.9559999999999998,323.50200000000007,-14.684000000000001
388,-1.686,330.48600000000005,-14.803999999999998
389,-0.882,337.24399999999997,-14.996
390,-1.8760000000000001,344.08600000000007,-15.095999999999998
391,-1.186,350.87,-15.324000000000002
392,-1.528,358.302,-15.478
393,-2.1799999999999997,365.338,-15.66
394,-1.376,372.37399999999997,-15.930000000000001
395,-1.416,379.58200000000005,-16.104
396,-2.334,386.7,-16.28
397,-0.958,393.54200000000003,-16.560000000000002
398,-1.568,400.384,-16.668
399,-1.7980000000000005,407.282,-16.858
400,-0.45999999999999996,414.316,-17.078
401,-2.334,421.13199999999995,-17.130000000000003
402,-1.1480000000000001,428.108,-17.413999999999998
403,-0.652,434.646,-17.528
404,-1.688,441.238,-17.6
405,-0.728,447.938,-17.808
406,-1.34,455.008,-17.896
407,-0.998,461.43199999999996,-18.052
408,-1.762,467.48600000000005,-18.156
409,-0.65,474.302,-18.362000000000002
410,-2.104,481.09,-18.44
411,-1.186,487.93,-18.693999999999996
412,-1.57,494.60599999999994,-18.838
413,-0.6519999999999999,501.168,-19.024
414,-2.144,507.86800000000005,-19.094
415,-0.612,514.262,-19.342000000000002
416,-2.066,521.106,-19.426
417,-0.384,527.498,-19.65
418,-2.18,533.976,-19.695999999999998
419,-1.1099999999999999,540.3120000000001,-19.918
420,-1.454,547.128,-20.054000000000002
421,-1.38,554.2520000000001,-20.238
422,-1.6480000000000001,561.4039999999999,-20.412
423,-0.842,568.05,-20.601999999999997
424,-2.032,574.9780000000001,-20.714000000000002
