,theta,x,y
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.19,0.14,0.0
88,0.19,0.14,0.0
89,-1.92,3.93,0.01
90,-1.92,13.47,-0.31
91,-1.53,24.14,-0.66
92,-1.15,34.52,-0.94
93,-0.38,43.79,-1.13
94,0.19,51.79,-1.18
95,0.57,58.81,-1.16
96,0.77,65.69,-1.09
97,1.53,72.43,-1.0
98,1.15,79.73,-0.8
99,0.77,87.59,-0.64
100,1.53,94.61,-0.55
101,2.3,102.19,-0.35
102,2.11,110.19,-0.03
103,1.72,118.33,0.27
104,1.72,125.34,0.48
105,2.49,132.36,0.69
106,3.45,138.95,0.98
107,3.83,146.24,1.42
108,3.26,154.23,1.96
109,3.06,162.5,2.43
110,2.87,170.21,2.84
111,3.83,176.24,3.14
112,4.98,184.08,3.67
113,5.94,191.5,4.31
114,5.75,198.62,5.05
115,5.36,205.6,5.76
116,5.36,212.03,6.36
117,5.17,217.77,6.9
118,4.6,223.5,7.42
119,5.17,228.96,7.86
120,5.94,235.11,8.41
121,5.94,242.93,9.23
122,5.75,251.73,10.14
123,5.94,260.25,11.0
124,6.32,267.79,11.78
125,5.55,274.49,12.52
126,5.36,281.06,13.16
127,4.79,287.91,13.81
128,4.21,293.64,14.29
129,3.45,299.25,14.7
130,3.45,305.41,15.07
131,3.26,312.0,15.47
132,2.87,319.29,15.88
133,2.49,326.58,16.25
134,2.11,334.16,16.58
135,1.92,341.31,16.84
136,0.77,348.61,17.09
137,0.38,355.35,17.18
138,0.19,361.95,17.22
139,0.19,367.84,17.24
140,0.19,373.46,17.26
141,-0.38,379.78,17.28
142,-0.77,387.36,17.23
143,-1.15,395.5,17.12
144,-1.92,403.64,16.96
145,-2.49,411.08,16.71
146,-3.06,418.52,16.38
147,-3.45,424.97,16.04
148,-4.02,431.27,15.66
149,-4.79,437.99,15.19
150,-4.98,444.57,14.64
151,-4.6,451.01,14.07
152,-4.98,457.16,13.58
153,-4.6,463.6,13.02
154,-3.83,469.76,12.52
155,-2.87,477.18,12.03
156,-2.3,484.33,11.67
157,-2.68,491.63,11.37
158,-3.06,498.64,11.05
159,-3.26,504.67,10.72
160,-2.68,510.42,10.4
161,-2.49,516.45,10.11
162,-4.21,522.2,9.86
163,-5.17,528.78,9.38
164,-5.36,535.63,8.76
165,-5.17,542.48,8.12
166,-3.06,548.49,7.57
167,-2.49,555.08,7.22
168,-2.3,562.24,6.91
169,-2.11,568.55,6.65
