,theta,x,y
340,-0.22999999999999998,0.16799999999999998,0.0
341,-0.192,0.196,0.0
342,-0.11600000000000002,0.36400000000000005,0.0
343,0.30599999999999994,0.7300000000000001,0.0
344,-0.34400000000000003,4.8,0.044
345,-0.5379999999999999,13.754,-0.024
346,-0.9199999999999999,24.362000000000002,-0.11599999999999996
347,-1.1880000000000002,34.55200000000001,-0.2699999999999999
348,-0.9959999999999999,43.844,-0.45999999999999996
349,-0.9199999999999999,51.589999999999996,-0.59
350,-0.65,58.46999999999999,-0.704
351,-0.266,65.154,-0.78
352,4.4408920985006264e-17,72.14399999999999,-0.8140000000000001
353,0.03799999999999999,79.19200000000001,-0.8099999999999999
354,-0.11399999999999999,86.71600000000001,-0.8020000000000002
355,0.07800000000000003,94.494,-0.8200000000000001
356,0.7639999999999999,101.852,-0.8099999999999999
357,0.9179999999999999,109.096,-0.6980000000000001
358,0.49799999999999994,116.928,-0.568
359,0.03599999999999999,124.506,-0.506
360,0.34400000000000003,132.03,-0.5079999999999999
361,0.8800000000000001,138.99200000000002,-0.4700000000000001
362,1.342,146.292,-0.36
363,1.3059999999999998,154.12399999999997,-0.17600000000000002
364,1.4940000000000002,161.954,0.0040000000000000036
365,1.3400000000000003,169.642,0.21000000000000005
366,1.3020000000000003,176.74200000000002,0.37
367,1.4939999999999998,184.00799999999998,0.55
368,1.8000000000000003,191.244,0.7459999999999998
369,2.07,198.504,0.9680000000000003
370,2.298,205.288,1.21
371,2.7960000000000003,211.92999999999998,1.4620000000000002
372,2.718,218.26400000000004,1.762
373,2.646,224.93200000000002,2.066
374,2.682,231.464,2.37
375,2.8760000000000003,238.44400000000002,2.692
376,2.528,245.7,3.0660000000000003
377,2.5300000000000002,253.096,3.4200000000000004
378,2.2960000000000003,260.32599999999996,3.7600000000000007
379,2.7979999999999996,267.08000000000004,4.069999999999999
380,2.376,273.55000000000007,4.386
381,2.374,280.28,4.6659999999999995
382,2.3740000000000006,287.00600000000003,4.938000000000001
383,2.1439999999999997,293.78599999999994,5.197999999999999
384,1.8,300.206,5.4079999999999995
385,1.762,306.45799999999997,5.593999999999999
386,1.4959999999999998,312.762,5.798
387,0.7660000000000003,319.51800000000003,5.992000000000001
388,0.458,326.52200000000005,6.108000000000001
389,0.34799999999999986,333.84,6.186000000000001
390,0.19399999999999995,341.13199999999995,6.236
391,-0.458,348.67600000000004,6.242000000000001
392,-1.226,355.804,6.17
393,-1.15,363.04,6.004
394,-1.1880000000000002,370.13800000000003,5.85
395,-1.456,376.898,5.706000000000001
396,-1.954,383.658,5.537999999999999
397,-2.376,390.582,5.324
398,-2.6799999999999997,397.926,5.046000000000001
399,-3.1419999999999995,405.27000000000004,4.714
400,-3.446,412.3299999999999,4.336
401,-3.7159999999999997,419.196,3.9180000000000006
402,-3.678,426.052,3.4540000000000006
403,-4.098,432.52,3.026
404,-4.136,439.26599999999996,2.535999999999999
405,-4.292,446.03999999999996,2.0500000000000007
406,-4.406000000000001,452.73400000000004,1.5559999999999987
407,-4.406000000000001,459.454,1.0480000000000005
408,-3.908,466.14400000000006,0.5480000000000004
409,-3.6759999999999997,472.86800000000005,0.09800000000000039
410,-3.1020000000000003,480.06800000000004,-0.36199999999999977
411,-2.912,487.438,-0.7659999999999997
412,-2.9880000000000004,494.504,-1.1320000000000008
413,-3.332,501.206,-1.4859999999999993
414,-3.258,507.428,-1.85
415,-3.102,513.484,-2.196
416,-2.606,519.958,-2.556
417,-3.102,526.266,-2.85
418,-3.4880000000000004,533.2180000000001,-3.232
419,-3.408,540.616,-3.6759999999999997
420,-2.528,547.368,-4.0760000000000005
421,-1.264,553.9559999999999,-4.364
422,-0.6880000000000001,560.72,-4.510000000000001
423,-0.384,567.4559999999999,-4.59
424,-0.42400000000000004,573.548,-4.624
