,theta,x,y
0,4.59,-1.12,0.0
1,6.51,3.35,0.36
2,1.15,10.04,1.12
3,4.4,17.2,1.27
4,0.96,23.91,1.78
5,4.21,29.66,1.88
6,0.96,35.68,2.32
7,3.83,41.99,2.43
8,0.57,48.01,2.83
9,2.87,54.18,2.89
10,1.53,60.77,3.22
11,2.11,67.36,3.4
12,2.3,73.67,3.63
13,4.4,78.85,3.84
14,-0.38,85.43,4.34
15,2.87,92.86,4.29
16,-0.38,99.73,4.64
17,3.06,106.46,4.59
18,-0.19,112.2,4.9
19,2.11,118.66,4.88
20,1.53,124.97,5.11
21,2.49,131.28,5.28
22,0.0,137.86,5.57
23,0.38,144.6,5.57
24,-0.19,151.47,5.61
25,0.19,158.21,5.59
26,0.19,165.22,5.61
27,0.19,171.39,5.63
28,0.0,178.83,5.66
29,0.19,185.7,5.66
30,0.38,192.86,5.68
31,0.19,199.73,5.73
32,1.34,206.47,5.75
33,0.38,212.78,5.9
34,1.53,219.23,5.94
35,1.91,226.24,6.13
36,1.34,233.39,6.37
37,1.72,240.69,6.54
38,1.15,248.12,6.76
39,0.19,254.43,6.89
40,2.3,260.18,6.91
41,2.49,266.77,7.17
42,1.34,272.94,7.44
43,1.15,279.81,7.6
44,1.34,286.96,7.74
45,2.49,293.41,7.89
46,2.3,300.56,8.21
47,2.3,307.85,8.5
48,1.72,314.72,8.77
49,1.72,321.73,8.98
50,1.34,328.46,9.19
51,1.53,335.61,9.35
52,2.11,343.05,9.55
53,3.06,349.92,9.8
54,1.34,355.94,10.13
55,1.72,362.67,10.28
56,2.3,368.98,10.47
57,2.87,376.13,10.76
58,0.57,383.14,11.11
59,3.83,389.45,11.18
60,1.34,395.75,11.6
61,3.25,401.64,11.73
62,1.34,409.2,12.16
63,1.34,416.78,12.34
64,0.96,423.23,12.49
65,2.87,429.4,12.6
66,1.72,436.4,12.95
67,1.53,443.84,13.17
68,1.53,450.85,13.36
69,1.34,457.72,13.54
70,1.53,464.59,13.7
71,2.3,470.76,13.87
72,2.49,477.63,14.14
73,4.02,484.08,14.42
74,0.19,491.08,14.91
75,3.44,497.67,14.94
76,0.77,504.67,15.36
77,1.15,511.69,15.45
78,0.96,518.0,15.58
79,3.25,523.61,15.67
80,0.77,530.75,16.08
81,2.3,538.33,16.18
82,2.11,545.76,16.48
83,1.91,552.91,16.74
84,0.57,559.21,16.95
