,theta,x,y
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.97,2.98,0.0
90,-0.39,12.2,0.16
91,-1.36,16.32,0.13
92,-0.77,20.43,0.03
93,-1.36,30.51,-0.11
94,-2.9,41.58,-0.37
95,-3.29,45.54,-0.57
96,-4.45,48.94,-0.76
97,-5.61,58.28,-1.49
98,-6.0,68.73,-2.52
99,-6.2,72.83,-2.95
100,-5.03,76.49,-3.35
101,-4.65,86.67,-4.24
102,-4.84,95.3,-4.95
103,-4.45,96.15,-5.02
104,-3.87,105.06,-5.71
105,-3.87,116.11,-6.46
106,-3.87,120.07,-6.73
107,-3.87,124.32,-7.01
108,-3.87,134.8,-7.72
109,-2.9,142.87,-8.27
110,-2.71,144.15,-8.33
111,-2.71,153.5,-8.78
112,-2.9,157.33,-8.96
113,-2.71,162.86,-9.24
114,-2.32,173.49,-9.74
115,-1.94,181.43,-10.06
116,-1.74,182.71,-10.11
117,-0.97,191.78,-10.38
118,-0.39,195.62,-10.45
119,-0.0,199.59,-10.48
120,-0.0,209.24,-10.48
121,-0.77,219.46,-10.48
122,-0.77,227.12,-10.58
123,-0.0,228.54,-10.6
124,-0.58,237.2,-10.6
125,-0.97,244.86,-10.68
126,-0.97,249.4,-10.75
127,-1.74,258.76,-10.91
128,-1.94,262.59,-11.03
129,-2.13,266.14,-11.15
130,-1.94,276.21,-11.52
131,-2.32,286.99,-11.89
132,-2.13,290.82,-12.04
133,-2.9,294.79,-12.19
134,-2.71,304.57,-12.69
135,-2.32,315.34,-13.2
136,-2.71,319.6,-13.37
137,-2.71,323.28,-13.54
138,-3.1,333.2,-14.01
139,-2.9,344.12,-14.6
140,-2.71,347.94,-14.8
141,-2.71,351.06,-14.94
142,-2.9,360.56,-15.39
143,-3.1,371.47,-15.95
144,-3.29,375.58,-16.17
145,-2.9,379.83,-16.41
146,-2.32,389.61,-16.91
147,-1.94,400.11,-17.34
148,-0.77,404.08,-17.47
149,-1.74,408.48,-17.53
150,-1.94,418.83,-17.84
151,-1.55,427.06,-18.12
152,-2.13,431.74,-18.25
153,-2.13,441.95,-18.63
154,-1.94,452.87,-19.04
155,-1.94,456.84,-19.17
156,-1.36,457.55,-19.19
157,1.55,464.5,-19.36
158,1.36,468.33,-19.25
159,1.16,472.45,-19.16
160,0.77,482.95,-18.94
161,0.97,493.87,-18.8
162,0.97,497.85,-18.73
163,0.39,501.96,-18.66
164,0.0,512.04,-18.59
165,0.0,519.42,-18.59
166,0.39,520.84,-18.59
167,0.0,529.64,-18.53
168,-1.16,537.02,-18.53
169,-0.58,541.7,-18.63
