,theta,x,y
255,0.0,0.0,0.0
256,0.0,0.0,0.0
257,0.0,0.0,0.0
258,0.0,0.0,0.0
259,0.77,3.97,0.0
260,0.58,13.77,0.13
261,0.19,18.02,0.18
262,0.39,22.71,0.19
263,-0.19,32.78,0.26
264,-0.19,43.28,0.22
265,-0.39,47.4,0.21
266,-0.19,51.51,0.18
267,-0.58,61.73,0.15
268,-1.16,72.38,0.04
269,-1.16,76.06,-0.04
270,-0.97,80.46,-0.12
271,-0.58,91.25,-0.31
272,-0.58,95.22,-0.35
273,0.39,99.34,-0.39
274,0.19,109.7,-0.32
275,0.19,120.77,-0.28
276,0.39,124.88,-0.27
277,0.58,129.0,-0.24
278,0.58,136.38,-0.16
279,0.39,140.77,-0.12
280,1.16,150.99,-0.05
281,0.97,155.11,0.03
282,1.16,158.94,0.1
283,0.58,169.3,0.31
284,0.39,177.67,0.39
285,0.97,182.35,0.42
286,1.94,192.43,0.59
287,2.52,196.26,0.72
288,2.13,200.23,0.9
289,1.55,210.3,1.27
290,0.97,218.67,1.5
291,1.55,223.35,1.58
292,1.16,232.71,1.83
293,1.16,238.95,1.96
294,1.36,248.18,2.14
295,1.55,252.01,2.24
296,1.94,256.26,2.35
297,1.16,266.19,2.69
298,0.58,277.12,2.91
299,0.77,280.95,2.95
300,0.19,285.35,3.01
301,0.19,295.28,3.04
302,-0.19,299.26,3.05
303,-0.58,303.23,3.04
304,-0.77,313.3,2.94
305,-0.97,321.39,2.83
306,-0.77,326.08,2.75
307,-0.97,336.15,2.61
308,-1.36,344.1,2.48
309,-0.77,347.64,2.39
310,-0.58,357.44,2.26
311,-0.39,361.55,2.22
312,-0.58,365.38,2.19
313,-0.39,375.46,2.09
314,-0.58,386.1,2.02
315,-0.0,389.65,1.98
316,0.39,393.34,1.98
317,-0.19,402.85,2.05
318,-0.0,413.49,2.01
319,-0.19,423.57,2.01
320,-0.0,427.11,2.0
321,0.97,430.95,2.0
322,0.77,440.45,2.16
323,1.16,450.95,2.3
324,1.36,455.07,2.39
325,1.16,456.63,2.42
326,1.36,466.42,2.62
327,0.97,477.49,2.88
328,0.77,481.6,2.95
329,0.58,484.87,3.0
330,0.97,494.52,3.1
331,0.77,505.44,3.28
332,0.77,509.7,3.34
333,1.16,513.67,3.39
334,1.16,523.6,3.59
335,1.36,527.72,3.68
336,1.16,531.83,3.77
337,1.16,542.05,3.98
338,0.97,545.88,4.06
339,1.16,549.99,4.13
