,theta,x,y
0,2.87,2.1,0.0
1,4.59,6.45,0.22
2,4.02,13.58,0.79
3,5.36,19.88,1.23
4,1.53,26.58,1.86
5,3.44,34.15,2.06
6,2.3,42.0,2.54
7,4.4,48.02,2.78
8,0.96,55.3,3.34
9,3.25,62.59,3.46
10,2.68,70.01,3.88
11,4.02,76.04,4.16
12,1.34,81.92,4.58
13,3.44,87.67,4.71
14,1.15,94.39,5.12
15,2.49,100.98,5.25
16,1.15,107.85,5.55
17,1.34,115.28,5.7
18,0.96,121.17,5.83
19,1.15,128.05,5.95
20,0.77,135.06,6.09
21,2.49,141.37,6.17
22,0.38,148.24,6.47
23,1.72,155.4,6.52
24,1.91,161.99,6.72
25,0.0,168.72,6.94
26,-0.19,175.59,6.94
27,1.15,182.18,6.92
28,1.15,189.2,7.06
29,0.96,196.63,7.21
30,1.15,204.35,7.34
31,0.38,211.36,7.48
32,0.96,217.95,7.52
33,0.57,224.4,7.63
34,1.15,231.56,7.7
35,1.34,238.71,7.85
36,1.72,246.0,8.02
37,1.15,252.6,8.21
38,0.57,259.75,8.36
39,0.77,266.9,8.43
40,0.57,274.06,8.53
41,2.87,279.67,8.58
42,0.77,285.69,8.88
43,0.96,292.29,8.97
44,2.3,299.44,9.09
45,1.72,306.59,9.38
46,2.3,313.46,9.58
47,1.91,320.47,9.87
48,3.25,326.78,10.08
49,1.91,333.64,10.47
50,1.72,341.07,10.72
51,1.72,348.93,10.95
52,1.91,356.36,11.17
53,1.91,363.65,11.42
54,1.53,370.66,11.65
55,1.53,377.67,11.84
56,1.72,383.98,12.01
57,4.02,389.59,12.18
58,0.77,396.73,12.68
59,1.15,404.02,12.78
60,1.34,410.89,12.91
61,2.11,418.19,13.08
62,2.11,425.48,13.35
63,2.11,433.05,13.63
64,2.3,440.48,13.9
65,-0.57,447.63,14.19
66,2.49,454.36,14.12
67,0.19,461.65,14.44
68,0.77,469.08,14.46
69,0.96,476.52,14.56
70,1.15,483.67,14.68
71,0.96,490.83,14.83
72,1.15,498.26,14.95
73,2.11,504.85,15.08
74,1.53,511.72,15.34
75,3.83,517.05,15.48
76,0.57,523.35,15.9
77,1.72,529.8,15.96
78,0.38,536.39,16.16
79,2.3,542.57,16.2
80,0.57,549.43,16.48
81,2.3,556.03,16.55
82,0.77,562.76,16.82
83,2.3,568.37,16.89
84,0.77,574.25,17.13
