,Unnamed: 0,Unnamed: 0.1,theta,x,y
0,0,85,0.0,0.0,0.0
1,1,86,0.0,0.0,0.0
2,2,87,0.38,0.5593048807134462,-0.027893554992467297
3,3,88,1.34,3.7862917303639465,-0.16880442108425428
4,4,89,0.19,12.48595263885573,-0.39241139159254423
5,5,90,-1.92,23.853321119514288,-0.9292855155083931
6,6,91,-2.87,34.62198367649273,-1.826785785107479
7,7,92,-2.87,43.2897662364217,-2.6895983335739926
8,8,93,-1.92,50.97077006473171,-3.4631487129850056
9,9,94,-0.38,57.12265125661304,-3.9802152473659835
10,10,95,4.79,60.906950590191805,-4.188970017072627
11,11,96,9.77,64.55737529071803,-4.070650509855748
12,12,97,10.92,69.85617316142495,-3.4237802559470727
13,13,98,7.66,77.78162964436478,-2.3071605637390196
14,14,99,3.83,86.45869686641534,-1.578460060091512
15,15,100,0.77,94.59601309255646,-1.4335993139244398
16,16,101,-1.34,102.03175892828376,-1.7043092444112478
17,17,102,-1.53,109.1744036453544,-2.230737250602948
18,18,103,1.53,114.49081421053964,-2.6360503424060435
19,19,104,4.21,119.83115914037666,-2.762209093048709
20,20,105,5.94,126.70754888893109,-2.604525783926573
21,21,106,5.94,133.99639270281304,-2.20708917661067
22,22,107,4.79,141.00408977874935,-1.8256685532653232
23,23,108,3.64,148.30543727899808,-1.5790419516759666
24,24,109,2.49,154.7678530614064,-1.4908248599061489
25,25,110,2.3,161.36361977444125,-1.539419789907212
26,26,111,1.92,168.09871460845812,-1.6049756958119878
27,27,112,2.49,175.26178139257678,-1.7219126286242008
28,28,113,3.06,181.85804620480792,-1.7605199714696658
29,29,114,2.87,188.4572996122168,-1.7392017913815472
30,30,115,2.11,194.91573060105475,-1.730885396856506
31,31,116,1.92,201.51949250446,-1.8199287746762516
32,32,117,1.72,208.3924211618701,-1.9324084179515357
33,33,118,1.72,214.85386634911544,-2.0644163428011493
34,34,119,1.53,221.73578639528853,-2.197369259583923
35,35,120,2.11,228.60622455671717,-2.359786838637192
36,36,121,2.49,235.9106118586031,-2.453734398730728
37,37,122,2.87,241.8062512723535,-2.487437559302402
38,38,123,3.06,248.9653076596721,-2.484025347051153
39,39,124,2.49,255.564561067081,-2.4627071669630354
40,40,125,2.68,262.4509640060208,-2.50577179934543
41,41,126,2.87,269.60852609575045,-2.5323223485609727
42,42,127,3.45,276.48743194351607,-2.5249509459690884
43,43,128,3.26,283.08867774771016,-2.4636824172585823
44,44,129,2.49,289.81976218492696,-2.408889178099898
45,45,130,1.92,296.4255164851174,-2.4579822072972544
46,46,131,2.68,302.3181673036901,-2.551610890802511
47,47,132,3.45,308.77510399493906,-2.5732572577442596
48,48,133,3.64,315.93764707663183,-2.499931935403834
49,49,134,3.83,323.943132272965,-2.3885462483073296
50,50,135,4.02,331.65947554098216,-2.252728097362696
51,51,136,2.87,338.9658296364236,-2.106475466525605
52,52,137,2.49,345.4237625260652,-2.1081466591561635
53,53,138,2.11,352.16035165767096,-2.143739803594147
54,54,139,2.3,358.4739754343676,-2.228325891876963
55,55,140,3.26,364.7985829966124,-2.2934349050448772
56,56,141,4.41,371.8198055605379,-2.243098955423123
57,57,142,4.6,378.69768960668114,-2.0554528848341973
58,58,143,4.41,385.2859336253121,-1.8533619375527348
59,59,144,3.45,392.1638176714554,-1.6657158669638092
60,60,145,2.49,398.48491293609646,-1.600488147912665
61,61,146,2.3,404.80052910957824,-1.6451238875730931
62,62,147,2.49,411.12563477101935,-1.7002453135854096
63,63,148,3.64,417.5815752638758,-1.7418668548383573
64,64,149,3.83,424.7351269568055,-1.6480682589904356
65,65,150,4.41,432.18080917322897,-1.5187766040570603
66,66,151,3.45,438.77754648142667,-1.3471465174386885
67,67,152,3.06,444.9588155258894,-1.2749454096394295
68,68,153,2.49,451.8382194728512,-1.2575864198919475
69,69,154,3.26,458.29415996570776,-1.2992079611448915
70,70,155,3.83,464.6142590319562,-1.2539554164049427
71,71,156,4.79,471.48865638372536,-1.136222455905195
72,72,157,4.98,478.9303282033488,-0.8865816559083625
73,73,158,4.6,485.9420356760852,-0.6255101776264742
74,74,159,3.45,492.6805916012464,-0.4209031311338305
75,75,160,2.3,498.5712244198042,-0.3542323209532373
76,76,161,1.72,504.615681442496,-0.41538214378051597
77,77,162,2.49,510.507336062676,-0.5289860015969697
78,78,163,3.26,516.6831260159796,-0.566648352509276
79,79,164,4.02,523.9844991194581,-0.520271593228163
80,80,165,4.6,531.9924748117726,-0.3589479703536683
81,81,166,3.83,539.2828385264733,-0.13179844387920886
82,82,167,3.45,545.4656018685247,-0.02963457461315503
83,83,168,2.49,552.0673457719151,0.04162154125294741
84,84,169,2.87,558.5232862647716,0.0
