,Unnamed: 0,Unnamed: 0.1,theta,x,y
0,0,170,-0.19,-0.1399987686096853,0.0005871863177691999
1,1,171,-0.19,-0.1399987686096853,0.0005871863177691999
2,2,172,1.53,1.399945744217013,-0.0158717752212418
3,3,173,5.75,5.33037253801,0.0776440984804159
4,4,174,4.79,13.30365778710577,0.8442093837313236
5,5,175,3.06,23.517174985235552,1.6613791601592165
6,6,176,0.77,33.619351010731386,2.15901311187179
7,7,177,-1.72,43.29981111332471,2.2484122287521644
8,8,178,-1.92,51.298734143047696,1.9748608358344584
9,9,179,-0.57,57.05784464253508,1.750704072175257
10,10,180,1.15,62.24758928373779,1.6789366763202078
11,11,181,2.3,67.29796428452842,1.7577551474361626
12,12,182,2.11,72.77883880574973,1.954769062241556
13,13,183,0.77,79.3698293894445,2.1771271645152823
14,14,184,-1.34,87.09018090586272,2.24474715371378
15,15,185,-3.06,94.529360512426,2.033543978328445
16,16,186,-2.49,101.67770383212957,1.6235588765875102
17,17,187,-0.57,108.9762974837654,1.2729441189102595
18,18,188,0.19,115.71598654983836,1.1846758196363585
19,19,189,1.72,122.1660137016871,1.1776231312262286
20,20,190,1.34,128.62675377753672,1.34052700567659
21,21,191,1.34,134.80732854864758,1.4646056045882945
22,22,192,0.77,141.39789971354392,1.586964586426532
23,23,193,0.38,148.6982549241331,1.6563461345783368
24,24,194,0.0,155.71840288810367,1.6769024951479363
25,25,195,-0.57,162.03834729962662,1.6503952270886368
26,26,196,-0.96,168.49799688660036,1.553301388406725
27,27,197,-1.92,175.0974774746644,1.4156207152328488
28,28,198,-2.11,181.40654119466717,1.179157236138862
29,29,199,-2.3,188.56538772897235,0.8891291370406742
30,30,200,-1.72,194.59428614423635,0.6138403824080303
31,31,201,-0.77,202.03329798328028,0.3626375588484996
32,32,202,-0.19,209.4728131248823,0.23143367981155646
33,33,203,-0.77,216.0726711898649,0.18375221502962086
34,34,204,-1.15,222.53223689307896,0.06665855226061149
35,35,205,-1.34,229.1316335973833,-0.09102194500036272
36,36,206,-0.77,235.4409489686651,-0.26748595183305585
37,37,207,-0.38,242.18051220909857,-0.3857539872376035
38,38,208,0.57,249.0602839275409,-0.45460964874217585
39,39,209,0.96,256.0805157752711,-0.4140534640854788
40,40,210,1.34,262.5408783742022,-0.3411487980270579
41,41,211,0.19,269.28149016163155,-0.2094190323428816
42,42,212,-1.15,275.8815159941336,-0.21710084895062187
43,43,213,-1.92,282.89086715034364,-0.3865008753286121
44,44,214,-1.92,289.6298851463391,-0.6347677672992964
45,45,215,-0.57,296.228904373725,-0.8824474729522114
46,46,216,0.57,303.52850463047696,-0.993064341584287
47,47,217,2.11,310.82877595730645,-0.9436826175195802
48,48,218,1.53,317.13968512002214,-0.7401499666974126
49,49,219,1.34,324.020379559821,-0.5890075632439079
50,50,220,0.38,330.6209925786407,-0.4566906112419624
51,51,221,-0.19,337.2111023828588,-0.4443306618827638
52,52,222,-0.77,344.09095798506087,-0.4931864993002381
53,53,223,0.19,350.6905224568846,-0.6108673483870168
54,54,224,1.15,357.0105507521672,-0.6173747923592181
55,55,225,1.15,364.0310761930563,-0.5068192233976784
56,56,226,1.15,371.0516016339455,-0.39626365443613903
57,57,227,0.19,377.6521307690056,-0.28394652652129143
58,58,228,-0.38,383.9721590642882,-0.29045397049349286
59,59,229,-0.96,390.5618913915878,-0.36809322952623474
60,60,230,-0.77,397.1613719796519,-0.5057739027001112
61,61,231,0.19,404.3209315259143,-0.6258034970579668
62,62,232,1.15,411.4809524328551,-0.6358340589367838
63,63,233,0.96,417.801442088816,-0.532342470429947
64,64,234,1.53,424.4018453982365,-0.45002507864574615
65,65,235,0.19,430.7125029096731,-0.30649190008487237
66,66,236,-0.19,437.4525275107848,-0.31476090301038184
67,67,237,-0.38,444.6123806502062,-0.36479111306339485
68,68,238,0.77,451.352111658159,-0.4430595002937471
69,69,239,1.34,458.2324286210392,-0.3819163052321826
70,70,240,1.92,464.833041639859,-0.24959935323023705
71,71,241,1.15,471.57390507856746,-0.057870115284767425
72,72,242,0.38,477.7443960538752,0.046250601419679384
73,73,243,-0.38,483.6445119270884,0.06150454048788388
74,74,244,-1.15,490.3842429350412,-0.01676384674246781
75,75,245,-0.38,496.5636852753963,-0.1626828730065857
76,76,246,0.57,503.72341258917817,-0.242712819190245
77,77,247,1.34,511.3036814532271,-0.1945054677610765
78,78,248,0.96,517.7642537615573,-0.07160124148491048
79,79,249,0.96,524.494655927544,0.010170905861361018
80,80,250,0.0,531.0950592369645,0.09248829764556181
81,81,251,-0.19,537.4150036484874,0.06598102958626254
82,82,252,-0.38,544.5748567879089,0.015950819533249335
83,83,253,0.77,551.3145877958615,-0.06231756769710186
84,84,254,1.34,557.9149072215225,0.0
