,theta,x,y
85,0.19,0.14,0.0
86,0.19,0.14,0.0
87,0.19,0.14,0.0
88,3.83,3.09,0.01
89,5.17,12.18,0.62
90,5.36,25.46,1.82
91,4.98,33.56,2.58
92,4.4,42.64,3.37
93,0.0,48.66,3.83
94,-0.77,55.39,3.83
95,-5.17,60.02,3.77
96,-6.51,65.19,3.3
97,-7.85,69.79,2.78
98,-4.78,80.35,1.32
99,-1.91,87.76,0.7
100,-0.96,97.72,0.37
101,1.72,104.73,0.25
102,3.83,110.48,0.43
103,2.11,114.54,0.7
104,0.96,119.87,0.89
105,-3.83,131.79,1.09
106,-2.68,135.99,0.81
107,-2.49,143.98,0.44
108,-3.25,150.7,0.15
109,-3.44,157.57,-0.24
110,-1.15,164.29,-0.65
111,-0.19,173.97,-0.84
112,-0.0,180.84,-0.87
113,0.38,186.45,-0.87
114,0.57,192.48,-0.83
115,0.19,201.74,-0.73
116,0.19,208.48,-0.71
117,-0.19,213.81,-0.69
118,-0.38,219.0,-0.71
119,-1.34,229.52,-0.78
120,-1.53,235.83,-0.93
121,-1.91,240.88,-1.06
122,-2.68,251.54,-1.42
123,-3.06,255.46,-1.6
124,-1.72,263.44,-2.03
125,-1.72,270.46,-2.24
126,-1.72,277.75,-2.46
127,-2.11,287.0,-2.74
128,0.96,292.61,-2.94
129,2.49,298.22,-2.85
130,2.87,305.79,-2.52
131,2.87,312.23,-2.2
132,2.87,317.56,-1.93
133,2.87,327.65,-1.43
134,2.68,334.23,-1.1
135,1.91,341.24,-0.77
136,1.72,350.07,-0.47
137,1.72,356.8,-0.27
138,1.34,362.13,-0.11
139,0.96,370.55,0.09
140,0.77,376.02,0.18
141,-0.19,383.17,0.27
142,-0.0,390.05,0.25
143,-0.38,399.59,0.25
144,-0.77,405.2,0.21
145,-0.57,410.95,0.14
146,-0.96,417.68,0.07
147,-0.96,425.54,-0.06
148,-0.96,431.71,-0.17
149,-1.15,439.42,-0.29
150,-1.72,448.82,-0.48
151,-1.72,454.99,-0.67
152,-2.3,460.18,-0.82
153,-2.87,466.21,-1.07
154,-3.44,475.03,-1.51
155,-3.25,481.34,-1.89
156,-4.02,489.46,-2.35
157,-4.59,495.48,-2.77
158,1.34,505.96,-3.61
159,1.34,512.42,-3.46
160,1.15,517.04,-3.36
161,0.96,522.51,-3.25
162,0.57,528.41,-3.15
163,0.38,535.28,-3.08
164,-1.34,546.08,-3.01
165,-1.91,552.39,-3.15
166,-2.49,558.7,-3.36
167,-2.68,566.69,-3.71
168,-3.64,573.0,-4.01
169,-4.02,578.04,-4.33
