,theta,x,y
255,0.19,0.14,0.0
256,0.19,0.14,0.0
257,1.15,0.84,0.0
258,5.17,4.07,0.07
259,10.92,9.11,0.52
260,11.88,18.89,2.41
261,9.77,29.75,4.69
262,5.94,40.26,6.5
263,2.68,48.5,7.36
264,-0.19,55.66,7.7
265,-1.15,61.98,7.67
266,0.77,67.59,7.56
267,3.45,73.21,7.64
268,5.17,79.51,8.02
269,6.13,85.25,8.54
270,4.6,91.95,9.26
271,2.68,98.66,9.8
272,0.38,105.96,10.14
273,-1.34,113.4,10.19
274,-0.77,120.28,10.03
275,0.77,127.3,9.93
276,2.11,133.9,10.02
277,4.41,140.07,10.25
278,5.55,145.95,10.7
279,4.98,152.8,11.37
280,4.21,159.23,11.93
281,2.87,166.65,12.47
282,1.53,174.36,12.86
283,0.96,181.24,13.05
284,0.77,188.12,13.16
285,0.57,194.16,13.24
286,0.77,199.91,13.3
287,1.34,206.51,13.39
288,1.34,212.97,13.54
289,2.3,220.13,13.71
290,2.68,227.42,14.0
291,2.3,234.44,14.33
292,1.92,240.61,14.57
293,1.72,247.21,14.8
294,1.72,253.94,15.0
295,1.72,260.96,15.21
296,2.3,267.84,15.42
297,2.68,274.57,15.69
298,4.02,281.72,16.02
299,3.64,288.73,16.51
300,2.49,296.29,17.0
301,1.72,303.03,17.29
302,1.15,309.34,17.48
303,1.15,316.08,17.61
304,2.87,322.96,17.75
305,3.83,330.39,18.12
306,3.83,336.55,18.54
307,3.64,343.42,19.0
308,2.87,349.86,19.41
309,2.68,356.45,19.74
310,2.49,363.33,20.06
311,3.06,370.76,20.38
312,2.87,377.91,20.77
313,3.45,384.5,21.1
314,3.64,391.09,21.49
315,3.26,396.69,21.85
316,2.87,402.86,22.2
317,2.11,409.31,22.52
318,1.92,416.75,22.8
319,2.3,424.05,23.04
320,3.06,431.34,23.33
321,3.26,437.65,23.67
322,3.64,444.1,24.04
323,3.26,449.98,24.41
324,3.26,456.43,24.78
325,3.26,463.44,25.18
326,3.83,470.59,25.59
327,3.45,477.6,26.05
328,3.06,484.6,26.48
329,2.11,491.19,26.83
330,1.15,497.23,27.05
331,0.57,502.98,27.17
332,0.38,509.86,27.24
333,0.96,516.46,27.28
334,2.68,523.34,27.4
335,3.64,531.05,27.76
336,3.06,537.36,28.16
337,2.87,543.95,28.51
338,2.3,550.26,28.83
339,1.53,556.99,29.1
