,theta,x,y
0,0.0,0.0,0.0
1,-0.19,0.14,0.0
2,-0.19,0.14,0.0
3,0.19,1.26,-0.0
4,0.77,8.42,0.02
5,0.19,18.67,0.16
6,-0.57,29.34,0.19
7,-1.34,38.89,0.1
8,-1.34,47.03,-0.09
9,-1.53,53.63,-0.25
10,-1.92,60.93,-0.44
11,-0.96,68.08,-0.68
12,-0.77,75.53,-0.81
13,-0.19,83.25,-0.91
14,0.38,90.41,-0.93
15,0.19,97.29,-0.89
16,-0.0,104.73,-0.86
17,-0.19,112.45,-0.86
18,-0.0,120.17,-0.89
19,-0.0,127.47,-0.89
20,-0.77,134.78,-0.89
21,-1.15,142.36,-0.99
22,-0.0,150.22,-1.15
23,0.19,157.1,-1.15
24,-0.0,164.82,-1.12
25,0.77,172.4,-1.12
26,1.15,180.83,-1.01
27,1.53,188.97,-0.85
28,-0.0,195.71,-0.67
29,0.19,201.18,-0.67
30,0.57,208.48,-0.64
31,0.77,216.48,-0.56
32,1.15,224.63,-0.45
33,1.72,232.35,-0.3
34,2.11,239.08,-0.09
35,2.87,245.54,0.14
36,3.45,251.85,0.46
37,3.45,258.02,0.83
38,4.21,265.02,1.25
39,4.6,271.75,1.75
40,4.79,278.32,2.28
41,5.17,284.76,2.82
42,5.55,291.19,3.4
43,5.55,297.62,4.02
44,5.55,304.05,4.65
45,4.79,310.76,5.3
46,4.02,318.03,5.91
47,3.64,325.6,6.44
48,2.87,333.16,6.92
49,2.3,341.15,7.32
50,2.3,347.89,7.6
51,0.96,354.48,7.86
52,-0.0,361.08,7.97
53,0.38,366.98,7.97
54,-0.38,374.0,8.02
55,-0.19,381.44,7.97
56,0.19,388.18,7.94
57,-0.0,395.06,7.97
58,-0.57,401.38,7.97
59,-1.15,408.26,7.9
60,-1.72,414.01,7.78
61,-1.72,420.19,7.6
62,-2.3,427.34,7.38
63,-2.68,434.36,7.1
64,-2.49,441.79,6.75
65,-1.72,448.25,6.47
66,-2.11,455.26,6.26
67,-3.26,462.0,6.01
68,-3.26,468.73,5.63
69,-3.64,475.17,5.26
70,-3.06,482.04,4.83
71,-3.06,488.77,4.47
72,-3.06,495.78,4.09
73,-2.87,502.65,3.72
74,-3.26,509.66,3.37
75,-4.02,516.11,3.0
76,-4.41,522.55,2.55
77,-4.79,528.71,2.08
78,-5.17,534.59,1.58
79,-4.6,540.6,1.04
80,-3.26,547.18,0.51
81,-2.49,553.91,0.13
82,-2.68,561.62,-0.21
83,-2.11,569.34,-0.57
84,-1.92,575.37,-0.79
