,theta,x,y
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,-0.19,0.14,0.0
88,1.53,1.4,-0.0
89,2.68,8.42,0.18
90,1.53,19.08,0.68
91,0.19,29.61,0.96
92,-0.96,39.16,1.0
93,-2.49,47.02,0.86
94,-2.49,54.59,0.54
95,-1.53,62.31,0.2
96,-1.34,70.59,-0.02
97,-2.3,77.19,-0.18
98,-3.45,83.92,-0.45
99,-2.87,91.63,-0.91
100,-2.3,98.78,-1.27
101,-2.11,105.65,-1.55
102,-1.72,112.67,-1.8
103,-0.96,119.13,-2.0
104,0.19,125.58,-2.11
105,0.77,132.46,-2.08
106,-0.0,139.76,-1.99
107,-0.77,146.78,-1.99
108,-1.15,153.8,-2.08
109,-1.15,159.7,-2.2
110,-0.57,165.74,-2.32
111,-0.96,172.47,-2.39
112,-1.92,179.63,-2.51
113,-3.26,187.35,-2.76
114,-2.87,194.64,-3.18
115,-2.49,201.93,-3.54
116,-1.92,208.25,-3.82
117,-1.34,215.12,-4.05
118,-1.53,221.72,-4.2
119,-1.53,227.89,-4.37
120,-2.11,233.93,-4.53
121,-2.11,239.54,-4.74
122,-2.3,246.14,-4.98
123,-2.87,253.01,-5.26
124,-2.87,260.02,-5.61
125,-3.06,267.74,-5.99
126,-3.83,275.87,-6.43
127,-4.98,283.15,-6.92
128,-5.55,290.01,-7.51
129,-5.36,297.13,-8.21
130,-5.55,303.7,-8.82
131,-5.94,310.13,-9.45
132,-5.94,316.56,-10.12
133,-6.7,322.42,-10.73
134,-7.47,328.28,-11.42
135,-8.24,334.4,-12.22
136,-8.81,340.93,-13.16
137,-9.0,347.73,-14.22
138,-9.19,355.08,-15.38
139,-9.0,361.32,-16.39
140,-8.62,368.25,-17.49
141,-9.0,376.03,-18.67
142,-9.39,384.07,-19.94
143,-9.0,391.0,-21.09
144,-8.62,397.93,-22.19
145,-8.04,404.73,-23.22
146,-8.24,410.71,-24.06
147,-8.24,417.66,-25.07
148,-8.04,423.91,-25.97
149,-8.62,429.61,-26.78
150,-8.81,435.86,-27.73
151,-9.0,442.1,-28.69
152,-7.85,448.21,-29.66
153,-6.9,453.91,-30.45
154,-6.51,460.04,-31.19
155,-6.9,467.57,-32.05
156,-6.7,474.96,-32.94
157,-6.7,482.77,-33.86
158,-5.94,490.02,-34.71
159,-4.6,496.87,-35.42
160,-4.02,503.72,-35.98
161,-4.02,509.89,-36.41
162,-3.64,516.61,-36.88
163,-3.64,523.33,-37.31
164,-3.64,529.78,-37.72
165,-3.64,536.23,-38.13
166,-3.26,542.39,-38.52
167,-3.26,548.28,-38.86
168,-2.3,554.03,-39.18
169,-1.34,559.78,-39.41
