,theta,x,y
340,0.0,0.0,0.0
341,-0.038,0.084,0.0
342,-0.11400000000000002,0.196,0.0
343,0.9560000000000001,1.15,0.0
344,1.5720000000000003,8.0,0.10800000000000001
345,0.842,18.526,0.4
346,-0.07599999999999998,29.306,0.5579999999999999
347,-0.9179999999999999,39.303999999999995,0.544
348,-1.532,47.785999999999994,0.41000000000000003
349,-1.762,55.30799999999999,0.20800000000000002
350,-1.9920000000000002,62.153999999999996,-0.003999999999999987
351,-1.4179999999999997,69.646,-0.26
352,-1.228,77.144,-0.454
353,-1.034,84.694,-0.6100000000000001
354,-0.804,92.21600000000001,-0.746
355,-0.806,99.23599999999999,-0.8479999999999999
356,-0.8419999999999999,106.394,-0.944
357,-0.8019999999999999,113.60999999999999,-1.046
358,-0.9219999999999999,120.992,-1.144
359,-0.9959999999999999,128.402,-1.266
360,-0.6119999999999999,135.478,-1.3860000000000003
361,-0.5359999999999999,142.66400000000002,-1.46
362,-0.9599999999999997,150.048,-1.5339999999999998
363,-1.686,157.598,-1.668
364,-2.068,164.952,-1.8900000000000001
365,-1.5319999999999998,172.3,-2.162
366,-0.9960000000000001,179.764,-2.3560000000000003
367,-0.96,187.09,-2.476
368,-1.8,194.16400000000002,-2.5900000000000003
369,-2.146,200.926,-2.816
370,-2.146,207.93799999999996,-3.0780000000000003
371,-1.8760000000000001,214.532,-3.306
372,-1.6459999999999997,221.32,-3.496
373,-1.532,228.08399999999997,-3.678
374,-1.34,234.504,-3.846
375,-0.998,241.04000000000002,-4.016
376,-0.612,247.32399999999998,-4.154
377,-0.3819999999999999,253.718,-4.246
378,-0.45999999999999996,260.56000000000006,-4.308000000000001
379,-0.4600000000000001,267.348,-4.376
380,-0.304,274.354,-4.442
381,-0.26800000000000007,281.73,-4.496
382,-0.3840000000000001,288.6,-4.524
383,-0.49800000000000005,295.69,-4.561999999999999
384,-0.34600000000000014,302.746,-4.630000000000001
385,-0.45999999999999996,309.5,-4.6659999999999995
386,-0.9200000000000003,316.28000000000003,-4.696
387,-1.034,322.75800000000004,-4.774
388,-1.456,328.95,-4.856
389,-1.8,335.48199999999997,-4.996
390,-1.7239999999999998,342.15,-5.204
391,-2.106,348.87,-5.418
392,-2.528,355.788,-5.686
393,-2.8339999999999996,362.9,-6.0280000000000005
394,-3.1,369.92600000000004,-6.368
395,-3.142,377.17400000000004,-6.749999999999998
396,-3.1420000000000003,384.508,-7.166000000000001
397,-3.41,391.642,-7.58
398,-3.4840000000000004,398.18999999999994,-7.978
399,-3.4099999999999993,404.794,-8.384
400,-3.4839999999999995,411.342,-8.782
401,-3.7540000000000004,417.532,-9.148
402,-3.868,423.996,-9.586
403,-4.136,430.62999999999994,-10.033999999999999
404,-4.138,437.686,-10.52
405,-3.8300000000000005,444.684,-11.014000000000001
406,-3.87,451.53999999999996,-11.456
407,-3.9840000000000004,458.122,-11.89
408,-3.9840000000000004,464.558,-12.322
409,-4.062,471.2200000000001,-12.77
410,-3.832,478.22200000000004,-13.264000000000001
411,-3.6759999999999997,485.05199999999996,-13.724
412,-3.8280000000000003,491.942,-14.184000000000001
413,-3.7920000000000003,498.63199999999995,-14.642000000000001
414,-3.6399999999999997,505.24399999999997,-15.088
415,-3.6,511.826,-15.516
416,-3.6,518.326,-15.925999999999998
417,-3.4479999999999995,525.0520000000001,-16.348000000000003
418,-3.87,531.7479999999999,-16.746000000000002
419,-3.9460000000000006,538.3000000000001,-17.18
420,-3.718,544.6899999999999,-17.606
421,-3.372,551.2180000000001,-18.026000000000003
422,-3.524,557.8299999999999,-18.412
423,-3.182,564.418,-18.81
424,-2.682,571.1700000000001,-19.192
