,theta,x,y
85,0.0,0.0,0.0
86,0.19,0.14,0.0
87,1.53,1.4,0.0
88,5.94,4.91,0.1
89,6.32,13.01,0.94
90,3.64,23.9,2.15
91,0.77,34.13,2.8
92,-1.92,43.67,2.92
93,-3.45,52.09,2.64
94,-2.49,58.68,2.25
95,1.34,62.89,2.06
96,5.75,66.12,2.14
97,6.32,71.84,2.72
98,3.83,79.24,3.53
99,-0.38,87.09,4.06
100,-4.21,94.95,4.01
101,-5.36,102.51,3.45
102,-3.83,109.22,2.82
103,-1.34,115.24,2.42
104,-0.19,121.42,2.27
105,2.3,128.02,2.25
106,2.3,135.03,2.53
107,2.49,142.47,2.83
108,1.53,149.34,3.13
109,0.57,156.22,3.31
110,-0.38,162.54,3.38
111,-1.53,169.28,3.33
112,-2.11,175.59,3.16
113,-2.68,181.91,2.93
114,-2.68,189.2,2.59
115,-1.92,196.21,2.26
116,-0.0,202.95,2.03
117,1.53,209.41,2.03
118,1.72,216.01,2.21
119,1.15,222.6,2.41
120,0.38,229.34,2.54
121,-0.96,236.22,2.59
122,-1.53,242.82,2.48
123,-1.53,249.84,2.29
124,-0.19,256.71,2.11
125,0.38,263.31,2.09
126,0.19,269.63,2.13
127,-0.38,276.51,2.15
128,-0.96,283.67,2.1
129,-0.77,290.55,1.99
130,-0.38,297.57,1.9
131,0.57,304.17,1.85
132,1.15,311.05,1.92
133,1.34,316.8,2.04
134,0.96,323.26,2.19
135,0.57,330.0,2.3
136,0.19,337.02,2.37
137,0.57,344.04,2.39
138,0.77,351.48,2.47
139,1.34,358.36,2.56
140,1.34,365.1,2.72
141,0.38,371.97,2.88
142,-0.57,378.01,2.92
143,-0.38,384.89,2.85
144,-0.19,391.77,2.8
145,0.19,398.51,2.78
146,1.15,405.11,2.8
147,1.53,411.85,2.94
148,1.53,418.3,3.11
149,1.34,424.62,3.28
150,0.77,431.22,3.43
151,-0.38,437.68,3.52
152,-0.77,444.42,3.48
153,-0.38,451.44,3.38
154,0.96,458.03,3.34
155,1.53,464.91,3.45
156,1.15,471.93,3.64
157,0.19,478.25,3.77
158,-1.15,484.85,3.79
159,-2.11,491.16,3.66
160,-2.3,498.04,3.41
161,-0.57,504.63,3.15
162,1.15,511.51,3.08
163,1.72,517.83,3.2
164,1.15,524.14,3.39
165,0.38,530.88,3.53
166,-0.96,538.04,3.58
167,-1.72,544.78,3.46
168,-1.34,551.8,3.25
169,0.0,558.4,3.1
