,theta,x,y
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.85,0.0
92,-0.39,7.95,0.0
93,-0.77,17.6,-0.07
94,-0.39,28.1,-0.21
95,-1.55,38.88,-0.28
96,-2.52,46.69,-0.49
97,-2.71,51.93,-0.72
98,-3.29,55.76,-0.9
99,-3.29,59.73,-1.13
100,-4.26,70.07,-1.73
101,-4.45,80.4,-2.5
102,-3.29,91.44,-3.35
103,-2.71,95.55,-3.59
104,-2.71,99.8,-3.79
105,-2.71,107.74,-4.17
106,-2.71,108.59,-4.21
107,-2.71,117.09,-4.61
108,-3.1,125.03,-4.99
109,-3.68,129.42,-5.22
110,-5.03,140.33,-5.93
111,-5.42,144.57,-6.3
112,-5.42,148.53,-6.67
113,-5.03,158.42,-7.61
114,-4.26,169.16,-8.56
115,-4.45,173.26,-8.86
116,-4.26,178.22,-9.25
117,-4.26,188.69,-10.03
118,-4.45,192.79,-10.34
119,-2.9,195.91,-10.58
120,-2.71,205.69,-11.07
121,-2.9,216.88,-11.6
122,-2.71,220.71,-11.8
123,-2.71,224.96,-12.0
124,-3.1,235.17,-12.48
125,-3.29,239.0,-12.69
126,-3.68,242.96,-12.92
127,-4.65,253.3,-13.58
128,-4.65,264.05,-14.46
129,-4.84,268.16,-14.79
130,-3.87,271.69,-15.09
131,-4.07,281.46,-15.75
132,-3.87,292.08,-16.51
133,-3.87,296.33,-16.79
134,-3.87,300.29,-17.06
135,-4.07,310.34,-17.74
136,-4.07,321.1,-18.51
137,-4.07,324.78,-18.77
138,-3.29,327.9,-18.99
139,-3.48,337.67,-19.55
140,-3.48,345.6,-20.03
141,-4.07,350.28,-20.32
142,-4.07,359.91,-21.0
143,-4.26,370.24,-21.74
144,-4.07,374.06,-22.02
145,-3.48,376.75,-22.21
146,-3.68,386.52,-22.81
147,-3.48,394.88,-23.35
148,-3.48,396.3,-23.43
149,-3.29,404.94,-23.96
150,-3.1,415.85,-24.59
151,-3.29,419.96,-24.81
152,-1.55,422.65,-24.96
153,-1.16,432.3,-25.22
154,-1.55,436.27,-25.3
155,-1.55,440.52,-25.42
156,-2.13,450.6,-25.69
157,-2.13,461.38,-26.09
158,-1.94,469.74,-26.4
159,-1.94,470.88,-26.44
160,-2.13,479.53,-26.73
161,-2.13,487.47,-27.03
162,-1.74,488.61,-27.07
163,-0.77,497.83,-27.35
164,-0.58,506.2,-27.47
165,-0.77,510.31,-27.51
166,-1.94,520.81,-27.65
167,-2.52,524.64,-27.78
168,-3.29,528.33,-27.94
169,-4.45,538.25,-28.51
