,theta,x,y
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,-0.39,0.28,0.0
177,-0.97,7.81,-0.05
178,-1.94,18.16,-0.23
179,-2.32,28.66,-0.58
180,-2.71,39.44,-1.02
181,-3.1,46.52,-1.35
182,-2.52,47.8,-1.42
183,-2.71,54.75,-1.73
184,-2.71,59.28,-1.94
185,-3.29,66.8,-2.3
186,-3.87,71.47,-2.57
187,-3.68,81.81,-3.27
188,-3.29,92.57,-3.96
189,-3.29,96.54,-4.19
190,-2.71,100.93,-4.44
191,-2.9,111.28,-4.93
192,-3.29,115.25,-5.13
193,-3.48,119.36,-5.37
194,-3.68,129.7,-6.0
195,-3.68,138.48,-6.56
196,-3.29,143.01,-6.85
197,-2.71,153.07,-7.43
198,-2.71,157.04,-7.62
199,-2.9,160.87,-7.8
200,-2.32,170.65,-8.3
201,-2.13,179.01,-8.64
202,-1.74,180.15,-8.68
203,-2.13,189.23,-8.95
204,-2.71,199.58,-9.34
205,-2.52,203.12,-9.51
206,-1.94,207.8,-9.71
207,-2.13,218.15,-10.06
208,-2.32,225.95,-10.35
209,-1.55,230.21,-10.52
210,-1.94,240.42,-10.8
211,-1.94,244.39,-10.94
212,-2.32,248.37,-11.07
213,-2.9,258.43,-11.48
214,-3.48,269.35,-12.03
215,-3.48,273.31,-12.27
216,-3.29,277.42,-12.52
217,-3.1,287.48,-13.1
218,-3.29,295.27,-13.52
219,-3.29,299.53,-13.77
220,-3.29,309.44,-14.34
221,-3.48,313.27,-14.56
222,-3.29,317.09,-14.79
223,-3.68,326.73,-15.35
224,-3.48,337.35,-16.03
225,-3.48,345.57,-16.53
226,-3.48,346.7,-16.6
227,-3.1,355.48,-17.13
228,-3.1,365.68,-17.68
229,-2.9,373.19,-18.09
230,-2.13,374.05,-18.13
231,-1.16,382.7,-18.46
232,-0.77,390.93,-18.62
233,-1.16,395.89,-18.69
234,-0.77,405.82,-18.89
235,-0.77,409.8,-18.94
236,-0.19,413.06,-18.99
237,-0.77,422.85,-19.02
238,-0.97,433.78,-19.17
239,-1.16,437.61,-19.23
240,-1.16,441.3,-19.31
241,-0.77,451.23,-19.51
242,-0.19,455.06,-19.56
243,-0.58,458.75,-19.57
244,-1.55,469.11,-19.68
245,-1.55,480.18,-19.98
246,-1.74,484.29,-20.09
247,-1.55,488.12,-20.21
248,-1.36,497.91,-20.47
249,-0.97,506.42,-20.67
250,-0.97,507.56,-20.69
251,-0.97,516.64,-20.85
252,-1.36,527.42,-21.03
253,-1.36,531.4,-21.12
254,-0.58,535.37,-21.22
