,theta,x,y
340,-1.34,-0.98,0.0
341,-0.77,-0.56,-0.01
342,0.96,0.98,-0.03
343,6.51,5.05,0.04
344,9.39,12.17,0.85
345,8.04,22.56,2.57
346,4.98,33.4,4.1
347,1.72,42.49,4.89
348,-2.11,51.19,5.15
349,-4.02,58.21,4.9
350,-3.06,62.83,4.57
351,0.77,66.76,4.36
352,5.17,69.99,4.4
353,9.39,73.62,4.73
354,8.04,81.52,6.04
355,3.64,91.11,7.39
356,-2.11,100.64,8.0
357,-5.36,108.92,7.7
358,-6.9,116.19,7.01
359,-5.36,122.6,6.24
360,-2.3,128.47,5.69
361,2.68,132.96,5.51
362,8.04,136.89,5.69
363,9.39,142.31,6.46
364,5.55,150.62,7.83
365,0.57,159.56,8.7
366,-3.26,167.99,8.78
367,-5.17,175.28,8.37
368,-4.21,181.57,7.8
369,-1.53,187.45,7.37
370,1.72,194.05,7.19
371,4.02,200.22,7.38
372,4.6,207.09,7.86
373,3.64,213.94,8.41
374,1.53,221.09,8.86
375,-0.19,227.97,9.05
376,-0.77,235.13,9.02
377,-0.96,241.73,8.94
378,0.0,248.33,8.83
379,0.96,254.64,8.83
380,1.34,261.1,8.93
381,2.49,267.56,9.09
382,2.68,273.31,9.34
383,2.11,280.46,9.67
384,1.72,287.76,9.94
385,1.53,295.48,10.17
386,1.53,301.93,10.34
387,1.53,309.23,10.54
388,2.3,315.69,10.71
389,2.49,322.56,10.99
390,3.06,329.44,11.29
391,2.68,336.45,11.66
392,1.53,343.18,11.98
393,1.53,349.64,12.15
394,1.34,356.23,12.33
395,1.53,362.27,12.47
396,1.72,368.58,12.64
397,1.72,375.32,12.84
398,1.92,382.76,13.06
399,2.49,389.92,13.3
400,2.68,396.51,13.59
401,2.68,402.96,13.89
402,2.68,409.97,14.22
403,2.11,416.56,14.53
404,1.53,423.72,14.79
405,2.11,430.32,14.97
406,2.49,436.77,15.21
407,2.3,443.08,15.48
408,2.49,449.96,15.76
409,1.72,456.69,16.05
410,0.96,463.15,16.24
411,1.34,469.6,16.35
412,1.53,475.92,16.5
413,2.11,482.8,16.68
414,3.64,489.53,16.93
415,3.64,496.26,17.36
416,3.06,502.57,17.76
417,2.49,508.87,18.1
418,2.3,515.47,18.38
419,1.72,522.9,18.68
420,2.11,529.92,18.89
421,2.68,537.08,19.16
422,2.11,543.95,19.48
423,2.11,550.68,19.73
424,1.92,556.72,19.95
