,theta,x,y
340,-4.78,6.03,0.0
341,-5.74,12.04,-0.5
342,-6.12,25.44,-1.85
343,-5.93,32.56,-2.61
344,-6.32,46.51,-4.06
345,-6.32,53.76,-4.87
346,-6.32,66.87,-6.32
347,-5.93,73.84,-7.09
348,-5.74,86.82,-8.44
349,-5.93,93.94,-9.15
350,-5.93,106.5,-10.46
351,-6.32,114.59,-11.3
352,-4.59,127.0,-12.67
353,-1.53,134.55,-13.28
354,-2.11,147.59,-13.63
355,-1.72,155.16,-13.91
356,-2.11,168.9,-14.32
357,-2.3,174.93,-14.54
358,-3.06,187.55,-15.05
359,-3.64,195.81,-15.49
360,-3.64,209.53,-16.36
361,-3.44,216.68,-16.81
362,-4.02,229.7,-17.6
363,-4.02,238.65,-18.23
364,-3.83,251.67,-19.14
365,-3.64,259.93,-19.69
366,-3.64,273.09,-20.53
367,-3.83,280.23,-20.98
368,-3.83,293.39,-21.87
369,-3.64,300.53,-22.34
370,-3.44,313.27,-23.15
371,-3.64,320.69,-23.6
372,-4.4,334.97,-24.51
373,-4.98,342.94,-25.12
374,-5.17,353.7,-26.06
375,-5.17,360.69,-26.69
376,-5.74,375.64,-28.04
377,-5.74,382.34,-28.71
378,-3.83,394.34,-29.92
379,3.83,401.06,-30.37
380,-4.59,413.94,-29.51
381,-5.36,421.77,-30.14
382,-6.32,435.32,-31.41
383,-6.7,442.01,-32.15
384,-6.51,454.13,-33.57
385,0.77,460.82,-34.34
386,-8.23,473.87,-34.16
387,-1.91,481.78,-35.31
388,-1.53,494.4,-35.73
389,-4.02,501.84,-35.93
390,-7.08,515.55,-36.89
391,-7.85,522.23,-37.72
392,-4.59,534.6,-39.43
393,-4.02,541.73,-40.0
394,-4.21,553.35,-40.81
395,-4.59,560.06,-41.31
396,-5.17,573.91,-42.42
397,-5.74,581.87,-43.14
398,-6.12,594.16,-44.38
399,-6.51,601.41,-45.15
400,-6.7,612.98,-46.47
401,-6.7,619.95,-47.29
402,-7.27,634.3,-48.98
403,-7.66,642.09,-49.97
404,-7.66,655.16,-51.73
405,-8.04,662.94,-52.78
406,-8.42,675.17,-54.5
407,-8.8,683.22,-55.69
408,-6.51,696.25,-57.71
409,-5.93,703.64,-58.55
410,-6.12,716.61,-59.9
411,-6.51,723.59,-60.65
412,-7.27,736.41,-62.11
413,-7.46,744.9,-63.2
414,-7.85,757.98,-64.91
415,-7.85,765.76,-65.98
416,-8.42,778.96,-67.8
417,-8.42,785.9,-68.83
418,-8.61,799.08,-70.78
419,-8.8,805.6,-71.77
420,-9.38,818.22,-73.72
421,-9.19,825.83,-74.98
422,-10.14,836.77,-76.75
423,-10.14,837.33,-76.85
424,-10.14,837.33,-76.85
