,theta,x,y
340,-1.8359999999999999,2.58,0.0
341,-2.1060000000000003,6.9719999999999995,-0.318
342,-2.41,16.378,-0.77
343,-2.412,22.034,-1.066
344,-4.938,33.06,-1.672
345,-4.786,39.474000000000004,-2.364
346,-5.014,50.402,-3.502
347,-5.0120000000000005,56.532,-4.176
348,-5.128,67.09,-5.345999999999999
349,-3.9799999999999995,72.94,-5.994
350,-5.09,83.476,-6.909999999999999
351,-4.708,89.72200000000001,-7.602000000000001
352,-3.5980000000000003,99.964,-8.658
353,-2.6399999999999997,105.748,-9.132000000000001
354,-2.9859999999999998,116.686,-9.756
355,-2.87,122.474,-10.138
356,-2.758,133.072,-10.806000000000001
357,-3.024,139.086,-11.172
358,-3.0220000000000002,149.654,-11.876
359,-3.2159999999999997,155.67,-12.266
360,-3.024,166.43599999999998,-13.022
361,-3.138,172.34,-13.396
362,-2.87,182.71800000000002,-14.101999999999999
363,-3.178,189.546,-14.548000000000002
364,-3.1000000000000005,199.84199999999998,-15.256
365,-2.794,206.336,-15.697999999999999
366,-2.7180000000000004,216.81,-16.338
367,-3.0620000000000003,222.94400000000002,-16.702
368,-2.948,233.33,-17.394
369,-2.5260000000000002,239.404,-17.78
370,-2.6399999999999997,250.08,-18.369999999999997
371,-2.68,255.82,-18.704
372,-3.024,266.154,-19.324
373,-3.332,271.976,-19.708
374,-3.5599999999999996,282.438,-20.466
375,-3.752,288.79,-20.956
376,-4.058,299.804,-21.853999999999996
377,-4.362,305.784,-22.381999999999998
378,-3.904,316.28200000000004,-23.39
379,-2.2960000000000003,322.544,-23.914
380,-3.596,332.886,-24.436
381,-2.412,338.506,-24.87
382,-3.4840000000000004,347.178,-25.422
383,-4.02,354.226,-25.919999999999998
384,-4.287999999999999,365.25600000000003,-26.875999999999998
385,-1.722,370.59000000000003,-27.372000000000003
386,-3.636,380.67600000000004,-27.764
387,-2.448,386.96,-28.268
388,-2.486,397.188,-28.794
389,-3.332,403.072,-29.112000000000002
390,-4.556,413.87199999999996,-29.9
391,-4.938,420.12399999999997,-30.526
392,-4.286,430.302,-31.626000000000005
393,-4.02,435.91400000000004,-32.152
394,-3.7880000000000003,445.96999999999997,-33.032
395,-3.596,452.256,-33.566
396,-4.134,462.604,-34.391999999999996
397,-4.593999999999999,468.13199999999995,-34.898
398,-3.3299999999999996,478.378,-35.928
399,-3.2560000000000002,484.5799999999999,-36.318
400,-4.25,495.142,-37.028
401,-4.172,500.95200000000006,-37.57
402,-4.362,511.48400000000004,-38.546
403,-4.364,518.072,-39.172
404,-4.442,528.4019999999999,-40.152
405,-4.4799999999999995,534.456,-40.742000000000004
406,-4.824,544.5840000000001,-51.215999999999994
407,-5.396,687.626,-51.98
408,-5.014,701.304,-53.260000000000005
409,-5.13,708.8159999999999,-53.896
410,-5.433999999999999,721.9420000000001,-55.05799999999999
411,-4.593999999999999,729.034,-55.714
412,-6.7379999999999995,741.106,-56.712
413,-7.042,750.622,-57.812
414,-6.624,762.3439999999999,-59.25599999999999
415,-6.852000000000001,771.5960000000001,-60.29200000000001
416,-7.348000000000001,783.71,-61.760000000000005
417,-7.540000000000001,792.3080000000001,-62.846000000000004
418,-7.7299999999999995,804.5139999999999,-64.466
419,-7.768000000000001,812.886,-65.592
420,-8.076,823.6700000000001,-67.072
421,-8.346,833.2539999999999,-68.43199999999999
422,-8.572,841.1360000000001,-69.588
423,-8.686,843.1080000000002,-69.86200000000001
424,-8.686,843.1080000000002,-69.86200000000001
