,theta,x,y
340,0.0,0.0,0.0
341,-1.16,3.12,0.0
342,-5.42,11.07,-0.16
343,-6.0,20.82,-1.09
344,-3.87,30.84,-2.14
345,-3.68,40.61,-2.8
346,-3.48,50.66,-3.45
347,-4.07,60.72,-4.06
348,-3.68,70.63,-4.76
349,-3.1,80.68,-5.41
350,-3.68,90.46,-5.94
351,-3.87,100.52,-6.59
352,-3.1,110.43,-7.26
353,-2.71,120.63,-7.81
354,-2.9,130.7,-8.29
355,-3.29,140.9,-8.8
356,-2.9,150.54,-9.36
357,-3.29,160.46,-9.86
358,-2.9,170.09,-10.41
359,-3.1,180.16,-10.93
360,-2.9,189.51,-11.43
361,-2.52,199.43,-11.93
362,-2.52,209.35,-12.37
363,-2.32,219.7,-12.83
364,-2.9,230.06,-13.25
365,-2.71,240.69,-13.78
366,-2.71,250.61,-14.25
367,-3.1,260.53,-14.72
368,-2.71,270.73,-15.28
369,-2.52,281.08,-15.77
370,-1.94,290.87,-16.2
371,-2.32,300.79,-16.53
372,-2.52,310.86,-16.94
373,-2.13,321.07,-17.39
374,-2.13,331.0,-17.76
375,-2.13,341.21,-18.14
376,-3.1,350.71,-18.49
377,-2.52,360.49,-19.02
378,-2.13,370.7,-19.47
379,-2.13,380.91,-19.85
380,-2.32,390.13,-20.19
381,-2.32,399.77,-20.58
382,-2.13,409.55,-20.98
383,-1.94,419.62,-21.35
384,-2.52,429.69,-21.69
385,-1.94,439.47,-22.12
386,-2.71,449.12,-22.45
387,-2.52,458.62,-22.9
388,-2.13,468.26,-23.32
389,-2.71,478.04,-23.69
390,-2.32,487.97,-24.16
391,-1.74,497.47,-24.54
392,-1.74,507.11,-24.84
393,-2.32,516.9,-25.13
394,-2.52,526.97,-25.54
395,-2.32,536.47,-25.96
396,-3.29,545.97,-26.35
397,-3.29,555.89,-26.92
398,-3.87,565.38,-27.46
399,-3.29,575.15,-28.12
400,-2.32,585.21,-28.7
401,-3.29,594.99,-29.1
402,-3.29,604.91,-29.67
403,-3.48,614.97,-30.25
404,-3.1,625.17,-30.87
405,-3.1,635.37,-31.42
406,-3.1,645.86,-31.99
407,-3.1,655.78,-32.53
408,-3.29,665.84,-33.07
409,-2.52,675.76,-33.64
410,-2.9,686.25,-34.1
411,-3.29,695.89,-34.59
412,-2.13,705.8,-35.16
413,-2.9,715.45,-35.52
414,-3.1,724.94,-36.0
415,-2.52,735.29,-36.56
416,-2.71,746.21,-37.04
417,-3.68,756.27,-37.52
418,-2.9,766.19,-38.15
419,-3.29,776.11,-38.66
420,-2.52,786.31,-39.24
421,-2.9,795.95,-39.67
422,-2.32,805.73,-40.16
423,-2.52,815.51,-40.56
424,-2.52,825.15,-40.98
