,theta,x,y
340,0.0,0.0,0.0
341,-1.8980000000000001,3.5460000000000003,0.0
342,-5.886,11.804,-0.27599999999999997
343,-5.767999999999999,21.712,-1.294
344,-3.25,31.790000000000003,-2.31
345,-2.826,41.848,-2.876
346,-2.786,51.854,-3.3720000000000008
347,-2.556,62.172000000000004,-3.8699999999999997
348,-2.362,72.492,-4.3260000000000005
349,-2.284,82.44200000000001,-4.734
350,-2.322,92.45199999999998,-5.136
351,-2.322,102.71600000000001,-5.55
352,-2.324,112.86599999999999,-5.958
353,-2.168,122.848,-6.366
354,-2.01,132.83,-6.7459999999999996
355,-1.9739999999999998,143.012,-7.096000000000001
356,-1.702,153.026,-7.442
357,-1.626,162.95200000000003,-7.74
358,-1.7419999999999998,172.852,-8.02
359,-1.936,182.866,-8.33
360,-1.5100000000000002,192.844,-8.662
361,-1.202,202.89000000000001,-8.922
362,-1.8579999999999999,212.84599999999995,-9.133999999999999
363,-1.47,222.88400000000001,-9.459999999999999
364,-1.278,233.07,-9.722
365,-1.356,243.51399999999998,-9.95
366,-1.434,253.64000000000001,-10.190000000000001
367,-1.4739999999999998,263.766,-10.440000000000001
368,-1.2779999999999998,274.06000000000006,-10.706
369,-1.1620000000000001,284.416,-10.940000000000001
370,-1.2,294.54800000000006,-11.144
371,-1.278,304.816,-11.352
372,-1.084,314.88599999999997,-11.584
373,-0.93,324.984,-11.776
374,-1.1239999999999999,335.06000000000006,-11.937999999999999
375,-1.084,345.244,-12.134
376,-1.0859999999999999,355.286,-12.322
377,-1.046,365.30199999999996,-12.514
378,-1.2,375.514,-12.702
379,-1.162,385.72400000000005,-12.916
380,-0.97,395.45799999999997,-13.11
381,-0.966,405.38599999999997,-13.276
382,-1.202,415.258,-13.443999999999999
383,-1.046,425.102,-13.654000000000002
384,-0.8540000000000001,434.94399999999996,-13.831999999999999
385,-0.7,444.934,-13.98
386,-1.278,454.776,-14.102
387,-1.084,464.62,-14.318000000000001
388,-1.2759999999999998,474.34799999999996,-14.498000000000001
389,-0.966,484.334,-14.725999999999999
390,-0.7739999999999999,494.46000000000004,-14.894
391,-0.9279999999999999,504.4440000000001,-15.022
392,-0.694,514.2320000000001,-15.184000000000001
393,-0.852,523.99,-15.3
394,-1.0859999999999999,533.75,-15.445999999999998
395,-0.812,543.4799999999999,-15.628
396,-1.704,553.268,-15.766
397,-1.4700000000000002,563.302,-16.068
398,-1.86,573.174,-16.314
399,-1.8579999999999999,582.926,-16.636000000000003
400,-1.5859999999999999,592.992,-16.964
401,-1.818,602.9739999999999,-17.238
402,-1.7060000000000002,613.04,-17.558
403,-1.936,623.0200000000001,-17.862000000000002
404,-2.052,632.972,-18.196
405,-1.8960000000000001,643.0039999999999,-18.556
406,-1.936,653.238,-18.895999999999997
407,-2.052,663.36,-19.244
408,-2.5580000000000007,673.3960000000001,-19.601999999999997
409,-1.9360000000000004,683.4860000000001,-20.054
410,-2.09,693.8059999999999,-20.407999999999998
411,-1.936,703.8999999999999,-20.774
412,-1.8200000000000003,714.0200000000001,-21.113999999999997
413,-1.8579999999999999,723.832,-21.43
414,-2.44,733.326,-21.738
415,-1.47,743.674,-22.18
416,-1.9739999999999998,754.1099999999999,-22.446000000000005
417,-2.286,764.09,-22.790000000000003
418,-1.7399999999999998,774.294,-23.192
419,-1.9740000000000002,784.5020000000002,-23.506
420,-2.0159999999999996,794.6800000000001,-23.857999999999997
421,-1.9760000000000002,804.6899999999999,-24.21
422,-1.5879999999999999,814.7280000000001,-24.548000000000002
423,-1.548,824.6780000000001,-24.83
424,-1.7440000000000002,834.406,-25.085999999999995
