,theta,x,y
85,0.0,0.0,0.0
86,0.57,0.7,0.0
87,0.57,7.72,0.07
88,0.38,21.34,0.21
89,0.38,36.5,0.31
90,-0.19,49.56,0.4
91,-0.38,60.37,0.36
92,-0.77,69.92,0.3
93,-1.34,79.89,0.16
94,-0.77,89.85,-0.07
95,-0.57,99.82,-0.2
96,-0.38,109.79,-0.3
97,-0.77,121.02,-0.38
98,-1.15,131.97,-0.53
99,-1.72,142.22,-0.73
100,-1.72,152.61,-1.04
101,-1.53,162.85,-1.35
102,-1.72,172.54,-1.61
103,-1.72,183.2,-1.93
104,-1.15,194.57,-2.27
105,-1.53,204.96,-2.48
106,-2.3,214.78,-2.75
107,-2.11,226.43,-3.21
108,-1.92,237.79,-3.63
109,-2.11,247.76,-3.96
110,-2.49,257.3,-4.32
111,-3.06,265.85,-4.69
112,-3.83,273.42,-5.09
113,-3.64,282.25,-5.68
114,-3.26,292.62,-6.34
115,-4.02,302.71,-6.92
116,-5.55,314.2,-7.73
117,-6.13,326.08,-8.88
118,-5.94,336.83,-10.03
119,-5.75,346.46,-11.04
120,-5.75,355.68,-11.96
121,-5.55,364.2,-12.82
122,-5.17,371.75,-13.56
123,-4.41,379.86,-14.29
124,-2.68,388.68,-14.97
125,-1.34,399.48,-15.48
126,-0.96,410.99,-15.74
127,-0.77,422.36,-15.93
128,-0.38,433.03,-16.08
129,-0.0,442.02,-16.14
130,0.19,449.74,-16.14
131,0.57,458.44,-16.11
132,0.38,467.01,-16.02
133,0.57,477.54,-15.95
134,1.15,488.63,-15.84
135,1.72,499.16,-15.63
136,0.96,509.54,-15.32
137,0.77,518.95,-15.16
138,1.34,527.79,-15.04
139,2.3,536.36,-14.84
140,3.06,544.77,-14.5
141,2.49,554.17,-14.0
142,1.53,564.69,-13.54
143,-0.19,575.5,-13.25
144,-0.96,586.45,-13.29
145,-1.53,596.42,-13.46
146,-2.11,606.38,-13.72
147,-2.87,615.36,-14.05
148,-2.87,624.06,-14.49
149,-3.64,632.19,-14.9
150,-3.83,640.74,-15.44
151,-4.21,650.54,-16.1
152,-4.21,660.62,-16.84
153,-4.79,670.57,-17.57
154,-5.55,681.48,-18.49
155,-5.55,693.22,-19.63
156,-5.17,703.56,-20.64
157,-5.75,712.93,-21.48
158,-6.13,721.87,-22.38
159,-6.51,729.97,-23.25
160,-6.9,738.62,-24.24
161,-7.85,749.07,-25.5
162,-8.43,760.34,-27.06
163,-8.62,771.03,-28.64
164,-8.81,781.16,-30.18
165,-8.62,790.46,-31.62
166,-8.81,799.48,-32.99
167,-9.0,807.12,-34.17
168,-8.04,815.3,-35.47
169,-7.47,818.5,-35.92
