,theta,x,y
255,0.0,0.0,0.0
256,-0.19,2.41,0.0
257,-0.77,9.93,-0.03
258,-0.19,19.44,-0.15
259,-0.58,29.38,-0.19
260,-0.19,39.03,-0.29
261,0.0,48.53,-0.32
262,0.58,58.33,-0.32
263,-0.19,67.98,-0.22
264,0.39,77.77,-0.25
265,0.39,87.42,-0.19
266,0.58,97.49,-0.12
267,-0.39,107.57,-0.02
268,-0.39,117.5,-0.08
269,-0.39,127.15,-0.15
270,-0.39,137.09,-0.22
271,-0.19,146.88,-0.28
272,-0.19,157.1,-0.32
273,0.0,166.61,-0.35
274,0.39,175.69,-0.35
275,0.58,185.2,-0.29
276,0.0,194.99,-0.19
277,0.19,204.5,-0.19
278,0.0,214.29,-0.15
279,0.77,223.94,-0.15
280,0.77,233.31,-0.03
281,0.0,243.1,0.11
282,0.97,252.61,0.11
283,0.97,262.82,0.28
284,0.58,273.04,0.45
285,0.58,282.97,0.55
286,0.77,292.91,0.65
287,1.16,303.12,0.79
288,0.77,313.34,1.0
289,0.97,323.41,1.13
290,0.58,333.35,1.3
291,0.97,343.56,1.41
292,1.55,353.92,1.58
293,0.39,364.14,1.86
294,0.39,373.79,1.92
295,1.16,383.72,1.99
296,0.19,393.23,2.18
297,0.39,403.59,2.22
298,0.58,413.66,2.28
299,1.36,423.6,2.39
300,0.58,433.24,2.61
301,0.77,443.04,2.71
302,0.77,452.69,2.84
303,0.97,462.76,2.98
304,1.16,472.27,3.14
305,0.97,482.06,3.34
306,0.39,491.56,3.5
307,0.77,501.5,3.57
308,0.58,511.29,3.7
309,0.77,521.22,3.8
310,0.58,531.02,3.93
311,0.77,541.09,4.03
312,1.36,550.88,4.17
313,0.39,560.96,4.4
314,0.0,570.32,4.47
315,0.0,579.69,4.47
316,-0.19,588.63,4.47
317,-0.58,598.85,4.43
318,-0.58,608.78,4.33
319,-0.19,619.28,4.23
320,0.0,630.21,4.19
321,-0.39,640.14,4.19
322,-0.77,650.08,4.12
323,-0.58,660.15,3.99
324,-0.58,670.09,3.89
325,0.0,680.16,3.78
326,0.19,689.67,3.78
327,-0.77,699.75,3.82
328,-0.19,710.11,3.68
329,0.0,720.47,3.64
330,-0.19,730.26,3.64
331,-0.19,740.19,3.61
332,0.39,749.98,3.58
333,0.0,759.07,3.64
334,-0.58,768.72,3.64
335,0.58,779.22,3.53
336,0.19,789.44,3.63
337,-0.39,799.51,3.67
338,0.58,809.87,3.6
339,-0.77,819.95,3.7
