,theta,x,y
340,0.0,0.0,0.0
341,0.0,0.0,0.0
342,0.0,1.42,0.0
343,-0.77,8.52,0.0
344,-1.55,18.45,-0.13
345,-1.55,28.95,-0.42
346,-1.94,40.58,-0.73
347,-2.9,48.95,-1.02
348,-2.32,53.34,-1.24
349,-2.71,62.98,-1.63
350,-3.1,73.76,-2.14
351,-3.87,84.81,-2.74
352,-4.84,96.0,-3.49
353,-5.42,106.6,-4.39
354,-6.39,117.2,-5.4
355,-7.55,127.92,-6.6
356,-7.16,138.89,-8.05
357,-6.78,149.59,-9.4
358,-6.0,160.3,-10.67
359,-6.0,171.03,-11.8
360,-6.0,181.76,-12.93
361,-6.0,189.66,-13.76
362,-5.61,194.18,-14.23
363,-4.84,204.34,-15.23
364,-4.45,214.81,-16.12
365,-4.65,225.42,-16.94
366,-4.65,235.89,-17.79
367,-4.26,246.92,-18.69
368,-3.68,257.82,-19.5
369,-3.48,268.44,-20.19
370,-3.68,278.78,-20.82
371,-3.1,289.69,-21.52
372,-2.71,300.46,-22.1
373,-2.52,311.37,-22.62
374,-2.32,322.01,-23.08
375,-2.52,332.92,-23.53
376,-2.32,344.12,-24.02
377,-2.13,355.33,-24.47
378,-0.97,366.1,-24.87
379,-0.97,377.17,-25.06
380,-0.97,381.15,-25.13
381,0.77,384.41,-25.18
382,0.19,394.2,-25.05
383,-0.39,404.84,-25.02
384,-1.16,415.63,-25.09
385,-1.94,426.13,-25.3
386,-1.94,437.19,-25.67
387,-1.74,448.4,-26.05
388,-1.94,458.75,-26.37
389,-1.74,469.39,-26.73
390,-1.74,480.17,-27.06
391,-1.36,490.38,-27.37
392,-1.16,500.74,-27.61
393,-0.58,511.67,-27.83
394,-0.19,522.17,-27.94
395,-0.19,532.95,-27.98
396,-0.19,536.93,-27.99
397,-0.0,540.48,-28.0
398,-0.39,549.84,-28.0
399,-1.36,560.49,-28.07
400,-2.32,570.84,-28.32
401,-3.29,581.76,-28.76
402,-4.26,592.67,-29.39
403,-4.65,603.14,-30.17
404,-4.45,614.03,-31.05
405,-4.65,624.65,-31.88
406,-5.03,635.11,-32.73
407,-4.84,645.43,-33.64
408,-4.84,656.61,-34.59
409,-4.45,667.35,-35.5
410,-4.26,677.96,-36.32
411,-4.26,688.72,-37.12
412,-4.07,699.62,-37.94
413,-4.26,710.52,-38.71
414,-3.87,721.56,-39.53
415,-4.26,732.32,-40.26
416,-4.07,743.5,-41.09
417,-4.07,754.82,-41.9
418,-3.68,766.15,-42.7
419,-3.87,774.22,-43.22
420,-4.45,779.18,-43.56
421,-4.65,789.5,-44.36
422,-5.03,800.54,-45.26
423,-5.03,811.56,-46.23
424,-4.26,822.31,-47.18
