,theta,x,y
0,0.0,0.0,0.0
1,-2.52,3.83,0.0
2,-6.58,12.48,-0.38
3,-5.42,22.07,-1.49
4,-3.29,31.25,-2.36
5,-3.29,40.6,-2.9
6,-2.32,50.66,-3.47
7,-2.32,60.59,-3.88
8,-2.13,70.37,-4.27
9,-1.94,80.16,-4.64
10,-2.52,89.94,-4.97
11,-2.9,100.15,-5.42
12,-2.9,110.36,-5.93
13,-2.32,120.42,-6.45
14,-2.71,130.35,-6.85
15,-2.32,139.98,-7.3
16,-1.55,149.91,-7.71
17,-2.32,159.56,-7.97
18,-1.36,169.34,-8.36
19,-1.36,179.27,-8.6
20,-1.55,189.06,-8.83
21,-2.13,198.85,-9.1
22,-1.74,209.06,-9.48
23,-1.55,219.13,-9.78
24,-1.94,228.78,-10.04
25,-1.55,238.57,-10.37
26,-1.16,248.78,-10.65
27,-1.74,259.14,-10.86
28,-1.55,269.21,-11.17
29,-1.74,279.28,-11.44
30,-1.55,289.35,-11.74
31,-1.74,299.99,-12.03
32,-1.94,310.35,-12.35
33,-1.55,320.56,-12.69
34,-1.16,330.49,-12.96
35,-1.36,340.57,-13.17
36,-0.97,350.5,-13.4
37,-1.55,360.57,-13.57
38,-0.58,370.36,-13.84
39,-1.55,380.15,-13.93
40,-1.36,390.23,-14.21
41,-1.55,400.58,-14.45
42,-1.16,410.51,-14.72
43,-1.16,420.45,-14.92
44,-1.55,430.09,-15.12
45,-1.94,439.74,-15.38
46,-0.77,449.39,-15.7
47,-1.16,459.32,-15.84
48,-1.16,468.97,-16.03
49,-1.74,478.47,-16.23
50,-1.55,488.26,-16.52
51,-0.97,498.33,-16.8
52,-1.36,508.27,-16.97
53,-1.36,518.48,-17.21
54,-1.16,528.27,-17.44
55,-1.16,537.92,-17.63
56,-1.74,547.71,-17.83
57,-1.36,557.64,-18.13
58,-2.52,566.58,-18.35
59,-1.94,576.64,-18.79
60,-2.52,586.43,-19.12
61,-2.52,596.35,-19.56
62,-2.52,606.28,-19.99
63,-2.32,616.63,-20.45
64,-2.52,626.98,-20.87
65,-2.52,636.91,-21.3
66,-2.52,646.83,-21.74
67,-2.32,656.9,-22.18
68,-2.32,667.11,-22.6
69,-2.13,677.17,-23.0
70,-2.71,687.24,-23.38
71,-2.52,697.31,-23.86
72,-2.9,707.8,-24.32
73,-3.1,718.43,-24.86
74,-2.32,728.63,-25.41
75,-2.71,738.27,-25.8
76,-3.1,747.06,-26.21
77,-2.13,757.69,-26.79
78,-2.32,768.33,-27.19
79,-2.71,778.25,-27.59
80,-2.13,788.32,-28.06
81,-2.13,798.53,-28.44
82,-2.71,808.88,-28.83
83,-2.13,819.23,-29.32
84,-1.55,829.02,-29.68
